Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2001,Yokohama Bay Stars,azuma-001kaz,Kazumasa Azuma,19,0,0,NA,21,3,0,0,0,0,0,3,6,7,7,3,6,0,2,1,0,1,22,4,18,9,18,6,0.33
2001,Yokohama Bay Stars,bowers001sha,Shane Bowers,29,3,13,0.188,4.39,26,26,0,0,0,0,127,129,65,62,9,48,3,95,4,0,4,548,1.394,9.1,0.6,3.4,6.7,1.98
2001,Yokohama Bay Stars,fukumo001kaz,Kazuo Fukumori,24,1,2,0.333,3.48,5,5,0,0,0,0,31,20,12,12,5,10,0,23,0,0,0,120,0.968,5.8,1.5,2.9,6.7,2.3
2001,Yokohama Bay Stars,gotoh-001shi,Shinya Goto,18,0,0,NA,0,1,0,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,13.5,NA
2001,Yokohama Bay Stars,holzem001mar,Mark Holzemer*,31,0,2,0,9,6,6,0,0,0,0,19,31,24,19,3,12,0,10,0,0,0,100,2.263,14.7,1.4,5.7,4.7,0.83
2001,Yokohama Bay Stars,hosomi001kaz,Kazushi Hosomi,28,0,5,0,6.59,14,8,1,0,0,0,42.1,49,35,31,3,17,2,17,1,0,4,190,1.559,10.4,0.6,3.6,3.6,1
2001,Yokohama Bay Stars,inamin001shi,Shigeo Inamine*,22,0,0,NA,Inf,1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA,0
2001,Yokohama Bay Stars,kanda-001dai,Daisuke Kanda,23,2,0,1,2.45,5,1,2,0,0,0,11,7,3,3,2,2,0,4,0,0,0,40,0.818,5.7,1.6,1.6,3.3,2
2001,Yokohama Bay Stars,kawaha001ryu,Ryuichi Kawahara*,29,0,2,0,7.42,15,5,0,0,0,0,30.1,35,25,25,4,27,1,23,3,0,1,151,2.044,10.4,1.2,8,6.8,0.85
2001,Yokohama Bay Stars,kawamu001tak,Takeo Kawamura,29,6,6,0.5,4.18,27,15,3,0,0,0,90.1,94,43,42,8,29,3,49,0,0,2,379,1.362,9.4,0.8,2.9,4.9,1.69
2001,Yokohama Bay Stars,kizuka001ats,Atsushi Kizuka,23,9,5,0.643,2.48,69,0,21,0,0,3,90.2,58,25,25,10,26,7,70,3,0,1,344,0.926,5.8,1,2.6,6.9,2.69
2001,Yokohama Bay Stars,kohiya001mas,Masahito Kohiyama,32,0,0,NA,4.97,7,0,1,0,0,0,12.2,16,11,7,1,7,0,11,1,0,0,61,1.816,11.4,0.7,5,7.8,1.57
2001,Yokohama Bay Stars,komiya001sat,Satoru Komiyama,35,12,9,0.571,3.03,24,24,0,6,3,0,148.2,150,55,50,9,30,1,74,8,0,2,612,1.211,9.1,0.5,1.8,4.5,2.47
2001,Yokohama Bay Stars,maeda-001kaz,Kazuyuki Maeda,25,0,0,NA,13.5,2,0,1,0,0,0,2,3,3,3,1,4,0,1,0,0,0,13,3.5,13.5,4.5,18,4.5,0.25
2001,Yokohama Bay Stars,miura-001dai,Daisuke Miura,27,11,6,0.647,2.88,26,25,1,5,2,0,168.2,137,56,54,14,53,6,135,2,0,1,673,1.126,7.3,0.7,2.8,7.2,2.55
2001,Yokohama Bay Stars,morina001mas,Masao Morinaka*,27,3,2,0.6,5.23,35,0,11,0,0,0,32.2,38,22,19,7,14,0,22,2,0,0,153,1.592,10.5,1.9,3.9,6.1,1.57
2001,Yokohama Bay Stars,nakano001sus,Susumu Nakanowatari,24,5,1,0.833,2.61,63,0,15,0,0,0,86.1,68,28,25,6,28,2,57,7,0,3,351,1.112,7.1,0.6,2.9,5.9,2.04
2001,Yokohama Bay Stars,nomura001hir,Hiroki Nomura*,32,4,5,0.444,4.44,14,14,0,2,1,0,75,86,37,37,8,15,0,32,4,0,0,318,1.347,10.3,1,1.8,3.8,2.13
2001,Yokohama Bay Stars,saito-001tak,Takashi Saito,31,7,1,0.875,1.67,50,0,43,0,0,27,64.2,51,12,12,6,14,3,60,0,0,0,251,1.005,7.1,0.8,1.9,8.4,4.29
2001,Yokohama Bay Stars,sugimo001yu-,Yu Sugimoto,28,1,0,1,2.39,9,4,1,0,0,0,26.1,24,7,7,1,8,0,18,1,0,2,109,1.215,8.2,0.3,2.7,6.2,2.25
2001,Yokohama Bay Stars,sugiya001ken,Kento Sugiyama*,32,0,1,0,4.76,32,0,4,0,0,0,17,19,10,9,3,9,0,12,3,0,0,81,1.647,10.1,1.6,4.8,6.4,1.33
2001,Yokohama Bay Stars,takesh001shi,Shintaro Takeshita*,29,1,0,1,3.16,53,0,4,0,0,0,42.2,49,21,15,6,17,0,29,1,0,0,189,1.547,10.3,1.3,3.6,6.1,1.71
