Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2002,Fukuoka Daiei Hawks,doi---001mas,Masahiro Doi*,30,0,0,NA,0,1,0,1,0,0,0,1,3,2,0,0,0,0,1,0,0,0,7,3,27,0,0,9,NA
2002,Fukuoka Daiei Hawks,higasa001mas,Masahito Higasa*,31,0,0,NA,4.5,2,0,1,0,0,0,4,7,2,2,0,1,0,2,0,0,0,19,2,15.8,0,2.3,4.5,2
2002,Fukuoka Daiei Hawks,hoshin001jun,Junji Hoshino,28,9,10,0.474,3.76,33,21,4,2,1,0,138.2,133,66,58,19,35,6,68,12,1,1,582,1.212,8.6,1.2,2.3,4.4,1.94
2002,Fukuoka Daiei Hawks,iijima001kaz,Kazuhiko Iijima,25,3,3,0.5,3.89,24,1,5,0,0,1,34.2,30,15,15,4,17,2,26,6,0,0,149,1.356,7.8,1,4.4,6.8,1.53
2002,Fukuoka Daiei Hawks,kimura001shi,Shigeru Kimura,26,0,0,NA,9.72,7,0,1,0,0,0,8.1,10,9,9,2,11,1,5,1,0,1,43,2.52,10.8,2.2,11.9,5.4,0.45
2002,Fukuoka Daiei Hawks,kurano001shi,Shinji Kurano,27,1,0,1,7.71,9,0,4,0,0,0,9.1,14,8,8,3,2,0,8,0,0,0,44,1.714,13.5,2.9,1.9,7.7,4
2002,Fukuoka Daiei Hawks,matsu-001nob,Nobuyasu Matsu*,25,0,1,0,5.11,7,0,0,0,0,0,12.1,11,7,7,2,3,0,4,1,0,1,50,1.135,8,1.5,2.2,2.9,1.33
2002,Fukuoka Daiei Hawks,matsum001aki,Akira Matsumoto,24,0,2,0,3.21,11,0,6,0,0,0,14,15,5,5,2,5,1,8,2,1,1,63,1.429,9.6,1.3,3.2,5.1,1.6
2002,Fukuoka Daiei Hawks,mizuta001aki,Akio Mizuta,28,3,0,1,2.62,6,5,0,2,0,0,34.1,30,10,10,5,12,0,25,0,0,2,143,1.223,7.9,1.3,3.1,6.6,2.08
2002,Fukuoka Daiei Hawks,nagai-001tom,Tomohiro Nagai,26,3,5,0.375,5.05,17,12,2,1,1,0,71.1,67,40,40,10,27,2,64,4,0,2,306,1.318,8.5,1.3,3.4,8.1,2.37
2002,Fukuoka Daiei Hawks,ogura-001shi,Shinsuke Ogura*,21,0,1,0,6.55,7,1,3,0,0,0,11,13,8,8,3,5,0,9,0,1,1,49,1.636,10.6,2.5,4.1,7.4,1.8
2002,Fukuoka Daiei Hawks,okamot001kat,Katsunori Okamoto,29,5,1,0.833,1.51,48,0,21,0,0,8,53.2,40,10,9,5,10,5,65,1,0,1,213,0.932,6.7,0.8,1.7,10.9,6.5
2002,Fukuoka Daiei Hawks,pedraz001rod,Rod Pedraza,32,1,2,0.333,3.3,34,0,29,0,0,21,30,36,11,11,4,5,1,16,0,0,0,128,1.367,10.8,1.2,1.5,4.8,3.2
2002,Fukuoka Daiei Hawks,raggio001bra,Brady Raggio,29,6,5,0.545,5.44,15,15,0,0,0,0,82.2,95,51,50,9,20,0,49,4,2,3,361,1.391,10.3,1,2.2,5.3,2.45
2002,Fukuoka Daiei Hawks,saitoh001kaz,Kazumi Saito,24,4,1,0.8,2.94,10,10,0,0,0,0,70.1,53,24,23,4,21,0,63,3,0,3,282,1.052,6.8,0.5,2.7,8.1,3
2002,Fukuoka Daiei Hawks,sakumo001mas,Masahiro Sakumoto*,27,0,0,NA,4.91,7,0,1,0,0,0,11,16,6,6,3,5,1,8,2,0,1,54,1.909,13.1,2.5,4.1,6.5,1.6
2002,Fukuoka Daiei Hawks,satoh-001mak,Makoto Sato,27,0,0,NA,1.42,7,0,6,0,0,0,6.1,4,1,1,0,2,0,2,0,0,0,23,0.947,5.7,0,2.8,2.8,1
2002,Fukuoka Daiei Hawks,shinoh001tak,Takayuki Shinohara*,25,0,0,NA,0.83,19,0,1,0,0,0,21.2,10,2,2,0,7,1,20,0,0,2,82,0.785,4.2,0,2.9,8.3,2.86
2002,Fukuoka Daiei Hawks,sugiuc001tos,Toshiya Sugiuchi*,21,2,2,0.5,5.93,11,9,1,0,0,0,44,48,29,29,5,23,3,46,4,0,1,204,1.614,9.8,1,4.7,9.4,2
2002,Fukuoka Daiei Hawks,suzuki001tai,Taira Suzuki,32,1,1,0.5,5.25,12,0,2,0,0,0,12,11,9,7,2,4,0,11,2,0,3,52,1.25,8.3,1.5,3,8.3,2.75
2002,Fukuoka Daiei Hawks,tanoue001kei,Keisaburo Tanoue,30,6,9,0.4,3.93,26,24,1,4,1,0,148.2,154,75,65,19,30,0,83,3,0,1,622,1.238,9.3,1.2,1.8,5,2.77
2002,Fukuoka Daiei Hawks,teraha001hay,Hayato Terahara,18,6,2,0.75,3.59,14,7,4,0,0,1,57.2,53,24,23,5,15,0,41,1,0,4,237,1.179,8.3,0.8,2.3,6.4,2.73
2002,Fukuoka Daiei Hawks,wakata001ken,Kenichi Wakatabe,32,10,8,0.556,2.99,26,20,1,7,1,0,147.2,152,59,49,10,36,4,96,6,0,2,617,1.273,9.3,0.6,2.2,5.9,2.67
2002,Fukuoka Daiei Hawks,watana003mas,Masakazu Watanabe*,36,1,1,0.5,2.66,57,0,11,0,0,1,40.2,38,12,12,5,21,5,23,1,0,0,175,1.451,8.4,1.1,4.6,5.1,1.1
2002,Fukuoka Daiei Hawks,yamada001aki,Akichika Yamada,23,5,6,0.455,5.24,18,15,2,1,0,0,91,92,55,53,17,39,2,82,5,1,3,403,1.44,9.1,1.7,3.9,8.1,2.1
2002,Fukuoka Daiei Hawks,yoshid001shu,Shuji Yoshida*,35,7,5,0.583,3.13,62,0,14,0,0,3,77.2,73,29,27,9,28,4,68,2,0,1,322,1.3,8.5,1,3.2,7.9,2.43
2002,Fukuoka Daiei Hawks,yoshit001shi,Shintaro Yoshitake,27,0,0,NA,3.52,6,0,2,0,0,0,7.2,9,9,3,2,2,0,9,1,0,0,35,1.435,10.6,2.3,2.3,10.6,4.5
