Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2003,Hanshin Tigers,andoh-001yuy,Yuya Ando,25,5,2,0.714,1.62,51,0,13,0,0,5,61,44,11,11,2,19,2,60,1,0,1,245,1.033,6.5,0.3,2.8,8.9,3.16
2003,Hanshin Tigers,egusa-001hir,Hirotaka Egusa*,22,0,0,NA,6,1,0,0,0,0,0,3,4,2,2,1,2,0,5,1,0,0,15,2,12,3,6,15,2.5
2003,Hanshin Tigers,fujika001kyu,Kyuji Fujikawa,22,1,1,0.5,3.38,17,2,4,0,0,0,29.1,28,12,11,4,12,1,19,1,0,2,126,1.364,8.6,1.2,3.7,5.8,1.58
2003,Hanshin Tigers,fujita001tai,Taiyo Fujita,23,1,2,0.333,3.09,5,5,0,0,0,0,23.1,21,8,8,3,11,0,14,0,0,0,99,1.371,8.1,1.2,4.2,5.4,1.27
2003,Hanshin Tigers,fukuha001shi,Shinobu Fukuhara,26,2,2,0.5,2.86,5,4,1,0,0,0,22,20,9,7,3,10,0,27,0,0,0,96,1.364,8.2,1.2,4.1,11,2.7
2003,Hanshin Tigers,igawa-001kei,Kei Igawa*,23,20,5,0.8,2.8,29,29,0,8,2,0,206,184,72,64,15,58,3,179,3,0,5,839,1.175,8,0.7,2.5,7.8,3.09
2003,Hanshin Tigers,irabu-001hid,Hideki Irabu,34,13,8,0.619,3.85,27,27,0,3,0,0,173,186,77,74,24,47,0,164,6,0,4,730,1.347,9.7,1.2,2.4,8.5,3.49
2003,Hanshin Tigers,ishige001hir,Hiroshi Ishige,32,1,1,0.5,3.26,17,0,5,0,0,0,19.1,9,8,7,4,9,0,19,0,0,2,75,0.931,4.2,1.9,4.2,8.8,2.11
2003,Hanshin Tigers,iyono-001tak,Takateru Iyono,22,1,1,0.5,6.23,6,0,2,0,0,0,4.1,4,3,3,0,3,0,4,1,0,0,19,1.615,8.3,0,6.2,8.3,1.33
2003,Hanshin Tigers,kanaza001tak,Takehito Kanazawa,24,0,1,0,2.75,36,0,12,0,0,0,55.2,48,23,17,7,10,0,44,1,0,2,225,1.042,7.8,1.1,1.6,7.1,4.4
2003,Hanshin Tigers,kawaji001tet,Tetsuro Kawajiri,34,1,1,0.5,9,2,1,1,0,0,0,5,10,5,5,1,1,0,5,0,0,0,26,2.2,18,1.8,1.8,9,5
2003,Hanshin Tigers,kubota001tom,Tomoyuki Kubota,22,5,5,0.5,3.12,26,10,6,0,0,0,89.1,89,35,31,5,27,2,100,6,0,2,383,1.299,9,0.5,2.7,10.1,3.7
2003,Hanshin Tigers,moore-002war,Trey Moore*,30,10,6,0.625,4.35,21,20,1,1,1,0,111.2,122,59,54,7,39,1,94,5,0,3,493,1.442,9.8,0.6,3.1,7.6,2.41
2003,Hanshin Tigers,nakamu001yas,Yasuhiro Nakamura*,24,0,0,NA,10.5,5,0,3,0,0,0,6,6,7,7,0,5,0,5,3,0,1,32,1.833,9,0,7.5,7.5,1
2003,Hanshin Tigers,pote--001lou,Lou Pote,31,0,1,0,9.64,8,0,5,0,0,1,9.1,16,10,10,1,1,1,8,1,1,0,45,1.821,15.4,1,1,7.7,8
2003,Hanshin Tigers,riggan001jer,Jerrod Riggan,29,3,0,1,1.51,29,0,9,0,0,0,35.2,29,8,6,2,11,0,30,2,0,0,146,1.121,7.3,0.5,2.8,7.6,2.73
2003,Hanshin Tigers,sakumo001mas,Masahiro Sakumoto*,28,0,0,NA,12.66,6,0,2,0,0,0,10.2,21,15,15,7,4,0,7,1,0,1,55,2.344,17.7,5.9,3.4,5.9,1.75
2003,Hanshin Tigers,santoh001hir,Hiroshi Santo*,24,0,0,NA,2.7,5,0,2,0,0,0,6.2,5,2,2,0,5,0,5,0,0,0,29,1.5,6.8,0,6.8,6.8,1
2003,Hanshin Tigers,shibat001kaz,Kazuya Shibata*,35,1,0,1,1.5,9,0,1,0,0,0,6,7,1,1,0,0,0,4,3,0,0,26,1.167,10.5,0,0,6,NA
2003,Hanshin Tigers,shimoy001tsu,Tsuyoshi Shimoyanagi*,35,10,5,0.667,3.73,26,24,0,3,1,0,137.2,138,63,57,20,25,0,135,7,1,3,573,1.184,9,1.3,1.6,8.8,5.4
2003,Hanshin Tigers,sugiya001nao,Naohisa Sugiyama,22,0,2,0,7.71,3,2,1,0,0,0,11.2,12,10,10,1,3,0,8,0,0,1,48,1.286,9.3,0.8,2.3,6.2,2.67
2003,Hanshin Tigers,tanina001shi,Shinji Taninaka,30,3,3,0.5,5.88,29,1,7,0,0,0,33.2,44,23,22,8,19,2,17,3,0,2,160,1.871,11.8,2.1,5.1,4.5,0.89
2003,Hanshin Tigers,willia003jef,Jeff Williams*,31,1,1,0.5,1.54,52,0,41,0,0,25,52.2,36,9,9,5,13,3,57,7,0,2,207,0.93,6.2,0.9,2.2,9.7,4.38
2003,Hanshin Tigers,yabu--001kei,Keiichi Yabu,34,8,3,0.727,3.96,23,15,1,0,0,0,97.2,97,50,43,13,27,0,67,2,0,4,405,1.27,8.9,1.2,2.5,6.2,2.48
2003,Hanshin Tigers,yoshin001mak,Makoto Yoshino*,25,1,1,0.5,3.27,56,0,8,0,0,0,41.1,26,16,15,2,14,2,31,6,0,0,169,0.968,5.7,0.4,3,6.8,2.21
