Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2009,Fukuoka Softbank Hawks,arakak001nag,Nagisa Arakaki,29,0,2,0,7.91,4,4,NA,0,0,0,19.1,31,17,17,5,10,0,15,1,0,3,95,2.121,14.4,2.3,4.7,7,1.5
2009,Fukuoka Softbank Hawks,falken001bri,Brian Falkenborg,31,6,0,1,1.74,46,0,NA,0,0,1,51.2,39,11,10,1,9,0,62,1,0,1,199,0.929,6.8,0.2,1.6,10.8,6.89
2009,Fukuoka Softbank Hawks,fujiok001yos,Yoshiaki Fujioka,24,5,8,0.385,4.6,38,14,NA,0,0,0,101.2,98,57,52,10,38,0,82,4,0,5,434,1.338,8.7,0.9,3.4,7.3,2.16
2009,Fukuoka Softbank Hawks,german001jus,Justin Germano,26,5,4,0.556,4.38,14,13,NA,1,0,0,76,92,40,37,6,10,0,42,6,2,0,328,1.342,10.9,0.7,1.2,5,4.2
2009,Fukuoka Softbank Hawks,houlto001den,D.J. Houlton,29,11,8,0.579,2.89,25,25,NA,3,0,0,171,137,58,55,22,43,0,138,6,0,2,680,1.053,7.2,1.2,2.3,7.3,3.21
2009,Fukuoka Softbank Hawks,iwasak001sho,Sho Iwasaki,19,0,1,0,6.23,1,1,NA,0,0,0,4.1,7,5,3,0,1,0,1,0,0,0,19,1.846,14.5,0,2.1,2.1,1
2009,Fukuoka Softbank Hawks,kamiuc001yas,Yasushi Kamiuchi*,25,2,3,0.4,3.89,26,2,NA,0,0,0,34.2,26,18,15,4,22,0,33,2,1,4,152,1.385,6.8,1,5.7,8.6,1.5
2009,Fukuoka Softbank Hawks,kattoh001kei,Keisuke Katto,25,0,0,NA,2.7,6,0,NA,0,0,0,6.2,5,3,2,1,1,0,4,1,0,1,28,0.9,6.8,1.4,1.4,5.4,4
2009,Fukuoka Softbank Hawks,kim---001mu-,Mu-Young Kim,23,0,0,NA,9,1,0,NA,0,0,0,1,1,1,1,0,1,0,1,0,0,0,5,2,9,0,9,9,1
2009,Fukuoka Softbank Hawks,kume--001yuk,Yuki Kume,23,1,0,1,2.37,18,0,NA,0,0,0,19,14,7,5,2,9,0,13,0,0,0,78,1.211,6.6,0.9,4.3,6.2,1.44
