Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2011,Chiba Lotte Marines,abe---000kaz,Kazunari Abe,22,0,2,0,12.96,3,3,0,0,0,0,8.1,17,12,12,1,7,0,3,2,0,0,50,2.88,18.4,1.1,7.6,3.2,0.43
2011,Chiba Lotte Marines,furuya001tak,Takuya Furuya*,29,1,0,1,5.68,21,0,3,0,0,0,19,25,16,12,0,9,0,14,1,0,1,91,1.789,11.8,0,4.3,6.6,1.56
2011,Chiba Lotte Marines,hattor001yas,Yasutaka Hattori*,28,0,0,NA,10.8,5,0,1,0,0,0,1.2,4,2,2,0,0,0,1,0,0,0,8,2.4,21.6,0,0,5.4,NA
2011,Chiba Lotte Marines,ito---001yos,Yoshihiro Ito,29,1,1,0.5,2.29,50,0,6,0,0,0,55,49,17,14,2,18,0,48,2,0,1,227,1.218,8,0.3,2.9,7.9,2.67
2011,Chiba Lotte Marines,karaka001yuk,Yuki Karakawa,21,12,6,0.667,2.41,24,24,0,5,3,0,168.1,146,50,45,6,35,0,122,8,0,1,681,1.075,7.8,0.3,1.9,6.5,3.49
2011,Chiba Lotte Marines,kawago001hid,Hidetaka Kawagoe,38,0,0,NA,1.37,18,0,4,0,0,0,19.2,17,4,3,0,2,0,15,0,0,2,77,0.966,7.8,0,0.9,6.9,7.5
2011,Chiba Lotte Marines,kimura000yut,Yuta Kimura*,26,0,1,0,3.38,13,0,5,0,0,0,16,12,6,6,0,3,0,10,0,0,0,61,0.938,6.8,0,1.7,5.6,3.33
2011,Chiba Lotte Marines,kobaya002ats,Atsushi Kobayashi,25,1,5,0.167,5.8,9,6,1,0,0,0,35.2,42,25,23,5,10,0,22,0,0,2,160,1.458,10.6,1.3,2.5,5.6,2.2
2011,Chiba Lotte Marines,mitsuh001ats,Atsuhiro Mitsuhara,30,0,3,0,7.82,3,3,0,0,0,0,12.2,23,13,11,2,6,0,3,1,0,2,65,2.289,16.3,1.4,4.3,2.1,0.5
2011,Chiba Lotte Marines,murphy012wil,Bill Murphy*,30,2,5,0.286,3.98,10,10,0,0,0,0,52,56,30,23,1,20,0,33,2,2,1,236,1.462,9.7,0.2,3.5,5.7,1.65
2011,Chiba Lotte Marines,nakago001tai,Taiki Nakago,26,0,1,0,3.81,24,0,8,0,0,0,26,29,14,11,2,6,0,19,2,0,0,112,1.346,10,0.7,2.1,6.6,3.17
2011,Chiba Lotte Marines,naruse001yos,Yoshihisa Naruse*,25,10,12,0.455,3.27,26,26,0,6,3,0,189.2,188,75,69,15,18,0,151,1,0,3,765,1.086,8.9,0.7,0.9,7.2,8.39
2011,Chiba Lotte Marines,ohmine001yut,Yuta Ohmine,23,0,1,0,33.75,1,1,0,0,0,0,1.1,3,5,5,1,4,0,1,0,0,0,11,5.25,20.3,6.8,27,6.8,0.25
2011,Chiba Lotte Marines,otani-001tom,Tomohisa Ohtani,26,3,9,0.25,3.38,34,15,6,0,0,0,120,123,49,45,8,23,1,78,3,0,1,497,1.217,9.2,0.6,1.7,5.9,3.39
2011,Chiba Lotte Marines,ono---001shi,Shingo Ono,36,4,5,0.444,4.46,19,11,2,0,0,0,72.2,81,38,36,6,22,0,31,1,0,1,321,1.417,10,0.7,2.7,3.8,1.41
2011,Chiba Lotte Marines,penn--001hay,Hayden Penn,26,2,2,0.5,3.46,4,4,0,0,0,0,26,26,13,10,1,6,0,15,0,0,1,111,1.231,9,0.3,2.1,5.2,2.5
2011,Chiba Lotte Marines,rosa--001car,Carlos Rosa,26,3,4,0.429,2.08,62,0,26,0,0,1,73.2,62,17,17,2,19,0,48,3,2,1,297,1.1,7.6,0.2,2.3,5.9,2.53
2011,Chiba Lotte Marines,uchi--001tat,Tatsuya Uchi,25,1,1,0.5,2.19,21,0,5,0,0,0,24.2,17,6,6,1,7,1,24,2,0,1,100,0.973,6.2,0.4,2.6,8.8,3.43
2011,Chiba Lotte Marines,ueno--002hir,Hiroki Ueno,24,4,7,0.364,3.55,14,13,1,1,1,0,83.2,82,36,33,3,19,1,36,4,2,1,349,1.207,8.8,0.3,2,3.9,1.89
2011,Chiba Lotte Marines,watana001shu,Shunsuke Watanabe,34,7,9,0.438,3.68,24,24,0,1,0,0,132,139,58,54,11,39,0,43,6,0,1,566,1.348,9.5,0.8,2.7,2.9,1.1
2011,Chiba Lotte Marines,yabuta001yas,Yasuhiko Yabuta,38,1,2,0.333,1.75,53,0,48,0,0,31,56.2,38,11,11,4,13,1,57,0,0,1,217,0.9,6,0.6,2.1,9.1,4.38
2011,Chiba Lotte Marines,yamamo001kaz,Kazunori Yamamoto*,28,1,0,1,2.87,14,0,3,0,0,0,15.2,14,5,5,2,5,0,12,1,0,0,67,1.213,8,1.1,2.9,6.9,2.4
2011,Chiba Lotte Marines,yamamo001tet,Tetsuya Yamamoto,21,0,0,NA,5.63,11,0,5,0,0,0,16,23,10,10,0,7,0,12,1,0,0,77,1.875,12.9,0,3.9,6.8,1.71
2011,Chiba Lotte Marines,yoshim001yuj,Yuji Yoshimi*,33,1,3,0.25,3.72,24,4,7,0,0,0,46,56,21,19,3,19,1,34,1,0,5,205,1.63,11,0.6,3.7,6.7,1.79
