Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2013,Hokkaido Nippon Ham Fighters,arakak000hay,Hayato Arakaki,27,0,1,0,14.54,1,1,0,0,0,0,4.1,10,7,7,2,0,0,3,0,0,0,24,2.308,20.8,4.2,0,6.2,NA
2013,Hokkaido Nippon Ham Fighters,enoshi000yod,Yodai Enoshita,24,1,0,1,3.65,9,0,7,0,0,0,12.1,8,5,5,1,2,0,9,1,0,0,47,0.811,5.8,0.7,1.5,6.6,4.5
2013,Hokkaido Nippon Ham Fighters,inui--000mas,Masahiro Inui*,24,0,0,NA,6.04,19,0,10,0,0,0,28.1,36,19,19,2,13,0,22,1,0,1,132,1.729,11.4,0.6,4.1,7,1.69
2013,Hokkaido Nippon Ham Fighters,ishii-001yuy,Yuya Ishii*,31,4,6,0.4,2.74,51,0,7,0,0,0,46,45,18,14,2,23,1,35,0,0,1,202,1.478,8.8,0.4,4.5,6.8,1.52
2013,Hokkaido Nippon Ham Fighters,kagiya000yoh,Yohei Kagiya,22,2,3,0.4,3.33,38,2,14,0,0,1,54,41,21,20,4,33,0,42,1,0,1,231,1.37,6.8,0.7,5.5,7,1.27
2013,Hokkaido Nippon Ham Fighters,kawano000hid,Hidekazu Kawano,25,0,2,0,2.23,33,0,7,0,0,0,32.1,24,13,8,1,20,2,24,3,0,1,135,1.361,6.7,0.3,5.6,6.7,1.2
2013,Hokkaido Nippon Ham Fighters,keppel001rob,Bobby Keppel,31,2,5,0.286,6.14,8,8,0,0,0,0,36.2,41,28,25,3,20,0,16,4,0,1,171,1.664,10.1,0.7,4.9,3.9,0.8
2013,Hokkaido Nippon Ham Fighters,kisanu001hir,Hiroshi Kisanuki,33,9,8,0.529,3.66,24,24,0,2,1,0,145,141,64,59,10,50,1,95,5,0,8,620,1.317,8.8,0.6,3.1,5.9,1.9
2013,Hokkaido Nippon Ham Fighters,masui-001hir,Hirotoshi Masui,29,4,4,0.5,3.71,66,0,18,0,0,4,63,71,28,26,3,16,1,63,3,0,2,273,1.381,10.1,0.4,2.3,9,3.94
2013,Hokkaido Nippon Ham Fighters,miyani001nao,Naoki Miyanishi*,28,3,1,0.75,1.74,57,0,1,0,0,0,46.2,40,12,9,1,16,3,39,2,0,1,197,1.2,7.7,0.2,3.1,7.5,2.44
