Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2016,Saitama Seibu Lions,aiuchi000mak,Makoto Aiuchi,21,0,2,0,11.74,2,NA,NA,0,0,0,7.2,11,10,10,0,7,0,4,0,2,1,37,2.348,12.9,0,8.2,4.7,0.57
2016,Saitama Seibu Lions,fujiwa000ryo,Ryohei Fujiwara,30,2,0,1,2.08,10,NA,NA,0,0,0,13,11,3,3,0,3,0,9,1,0,0,52,1.077,7.6,0,2.1,6.2,3
2016,Saitama Seibu Lions,honda-000kei,Keisuke Honda,23,0,1,0,7.71,2,NA,NA,0,0,0,4.2,8,4,4,0,1,0,3,1,0,0,23,1.929,15.4,0,1.9,5.8,3
2016,Saitama Seibu Lions,iwao--001tos,Toshihiro Iwao,28,0,0,NA,9,2,NA,NA,0,0,0,3,5,3,3,0,2,0,1,0,0,0,13,2.333,15,0,6,3,0.5
2016,Saitama Seibu Lions,kikuch000yus,Yusei Kikuchi*,25,12,7,0.632,2.58,22,NA,NA,2,0,0,143,117,51,41,7,67,0,127,2,0,3,595,1.287,7.4,0.4,4.2,8,1.9
2016,Saitama Seibu Lions,kishi-001tak,Takayuki Kishi,31,9,7,0.563,2.49,19,NA,NA,2,1,0,130.1,123,42,36,8,36,0,104,1,0,0,541,1.22,8.5,0.6,2.5,7.2,2.89
2016,Saitama Seibu Lions,koishi000hir,Hirotaka Koishi*,29,0,2,0,3.74,50,NA,NA,0,0,1,74.2,62,33,31,2,39,2,55,13,0,3,324,1.353,7.5,0.2,4.7,6.6,1.41
2016,Saitama Seibu Lions,kokuba000tsu,Tsubasa Kokuba,22,0,0,NA,0,2,NA,NA,0,0,0,3,2,0,0,0,3,0,4,0,0,1,12,1.667,6,0,9,12,1.33
2016,Saitama Seibu Lions,kuo---000chu,Chun Lin Kuo,24,0,3,0,8.46,12,NA,NA,0,0,0,22.1,28,23,21,2,10,0,20,4,0,2,107,1.701,11.3,0.8,4,8.1,2
2016,Saitama Seibu Lions,lee---001che,C.C. Lee,29,0,0,NA,6.48,18,NA,NA,0,0,0,16.2,25,14,12,1,5,0,13,0,1,3,80,1.8,13.5,0.5,2.7,7,2.6
