Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2020,Hiroshima Carp,endo--000ats,Atsushi Endoh,21,5,6,0.455,3.87,19,NA,NA,2,0,0,107,90,53,46,13,52,2,97,4,1,2,464,1.327,7.6,1.1,4.4,8.2,1.87
2020,Hiroshima Carp,franzu000ger,Geronimo Franzua*,26,2,3,0.4,2.45,53,NA,NA,0,0,19,55,39,18,15,7,17,2,62,1,0,1,217,1.018,6.4,1.1,2.8,10.1,3.65
2020,Hiroshima Carp,fujii-000rei,Reira Fujii,20,0,0,NA,6,3,NA,NA,0,0,0,3,4,2,2,0,1,0,4,0,0,0,14,1.667,12,0,3,12,4
2020,Hiroshima Carp,horie-000ats,Atsuya Horie*,23,3,4,0.429,4.17,52,NA,NA,0,0,0,49.2,50,26,23,7,31,6,41,1,0,4,224,1.631,9.1,1.3,5.6,7.4,1.32
2020,Hiroshima Carp,ichiok000ryu,Ryuji Ichioka,29,0,1,0,6.23,19,NA,NA,0,0,1,17.1,25,12,12,2,5,0,14,1,0,0,81,1.731,13,1,2.6,7.3,2.8
2020,Hiroshima Carp,imamur001tak,Takeru Imamura,29,0,0,NA,12.46,6,NA,NA,0,0,0,4.1,10,6,6,0,2,0,1,0,0,1,25,2.769,20.8,0,4.2,2.1,0.5
2020,Hiroshima Carp,johnso009dan,DJ Johnson,30,0,0,NA,4.61,14,NA,NA,0,0,0,13.2,19,10,7,0,8,1,13,1,0,3,69,1.976,12.5,0,5.3,8.6,1.63
2020,Hiroshima Carp,johnso001kri,Kris Johnson*,35,0,7,0,6.1,10,NA,NA,0,0,0,51.2,60,38,35,3,25,0,35,1,0,5,237,1.645,10.5,0.5,4.4,6.1,1.4
2020,Hiroshima Carp,kemna-000mak,Makoto Kemna,25,1,1,0.5,3.88,41,NA,NA,0,0,0,51,37,22,22,3,23,1,55,1,0,3,212,1.176,6.5,0.5,4.1,9.7,2.39
2020,Hiroshima Carp,kikuch001yas,Yasunori Kikuchi,30,1,0,1,4.5,44,NA,NA,0,0,1,42,41,24,21,6,19,0,53,3,0,3,189,1.429,8.8,1.3,4.1,11.4,2.79
2020,Hiroshima Carp,kuri--000are,Aren Kuri,28,8,6,0.571,2.96,20,NA,NA,2,1,0,130.2,116,46,43,11,44,0,106,0,0,4,544,1.224,8,0.8,3,7.3,2.41
2020,Hiroshima Carp,montil000ema,Emailin Montilla*,24,0,0,NA,18,1,NA,NA,0,0,0,1,3,2,2,0,0,0,0,0,0,0,6,3,27,0,0,0,NA
2020,Hiroshima Carp,morish000mas,Masato Morishita,22,10,3,0.769,1.91,18,NA,NA,2,1,0,122.2,102,30,26,6,32,0,124,4,0,2,485,1.092,7.5,0.4,2.3,9.1,3.88
2020,Hiroshima Carp,nakamu000kyo,Kyohei Nakamura*,31,0,0,NA,0.96,14,NA,NA,0,0,0,9.1,7,1,1,0,8,0,4,1,0,0,44,1.607,6.8,0,7.7,3.9,0.5
2020,Hiroshima Carp,nakamu002yut,Yuta Nakamura,24,3,4,0.429,2.31,8,NA,NA,0,0,0,46.2,42,12,12,8,11,0,37,2,0,1,191,1.136,8.1,1.5,2.1,7.1,3.36
2020,Hiroshima Carp,nakata001ren,Ren Nakata,29,0,1,0,4.28,32,NA,NA,0,0,0,27.1,28,13,13,6,8,0,22,0,0,0,116,1.317,9.2,2,2.6,7.2,2.75
2020,Hiroshima Carp,nakaza000sho,Shota Nakazaki,27,1,0,1,9,6,NA,NA,0,0,0,5,8,5,5,3,3,0,3,0,0,0,25,2.2,14.4,5.4,5.4,5.4,1
2020,Hiroshima Carp,nomura001yus,Yusuke Nomura,31,6,3,0.667,4.58,13,NA,NA,0,0,0,70.2,81,36,36,9,22,1,35,3,0,0,309,1.458,10.3,1.1,2.8,4.5,1.59
2020,Hiroshima Carp,osera-001dai,Daichi Ohsera,29,5,4,0.556,4.41,11,NA,NA,2,0,0,63.1,70,33,31,6,14,1,38,1,0,0,272,1.326,9.9,0.9,2,5.4,2.71
2020,Hiroshima Carp,scott-000tay,Tayler Scott,28,0,3,0,15.75,7,NA,NA,0,0,0,8,17,14,14,1,8,1,7,1,0,0,49,3.125,19.1,1.1,9,7.9,0.88
2020,Hiroshima Carp,shimau000sot,Sotaro Shimauchi,23,1,0,1,4.54,38,NA,NA,0,0,0,37.2,29,23,19,1,28,2,48,1,0,1,166,1.513,6.9,0.2,6.7,11.5,1.71
2020,Hiroshima Carp,takaha000mik,Mikiya Takahashi*,23,0,0,NA,8.2,18,NA,NA,0,0,0,18.2,31,18,17,3,8,0,15,1,0,1,94,2.089,14.9,1.4,3.9,7.2,1.88
2020,Hiroshima Carp,tanaka001nor,Norihiko Tanaka,19,0,0,NA,0,2,NA,NA,0,0,0,2,1,0,0,0,1,0,0,0,0,0,8,1,4.5,0,4.5,0,0
2020,Hiroshima Carp,tokoda000hir,Hiroki Tokoda*,25,5,8,0.385,4.93,15,NA,NA,0,0,0,76.2,101,51,42,10,23,0,56,0,0,1,343,1.617,11.9,1.2,2.7,6.6,2.43
2020,Hiroshima Carp,yabuta000kaz,Kazuki Yabuta,27,1,2,0.333,4.6,28,NA,NA,0,0,0,47,44,25,24,5,31,2,33,0,0,6,213,1.596,8.4,1,5.9,6.3,1.06
2020,Hiroshima Carp,kato--008tak,Takuya Yasaki,25,0,0,NA,9.39,6,NA,NA,0,0,0,7.2,11,9,8,3,5,0,10,1,0,2,39,2.087,12.9,3.5,5.9,11.7,2
