Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2020,Tohoku Rakuten Golden Eagles,anraku000tom,Tomohiro Anraku,23,1,0,1,3.48,27,NA,NA,0,0,0,31,24,12,12,2,17,0,30,0,0,1,131,1.323,7,0.6,4.9,8.7,1.76
2020,Tohoku Rakuten Golden Eagles,aoyama001koj,Kouji Aoyama,36,2,0,1,4.35,11,NA,NA,0,0,0,10.1,11,6,5,0,6,0,8,0,0,1,50,1.645,9.6,0,5.2,7,1.33
2020,Tohoku Rakuten Golden Eagles,buseni000ala,Alan Busenitz,29,1,4,0.2,2.86,46,NA,NA,0,0,18,44,46,16,14,2,18,3,32,1,0,4,195,1.455,9.4,0.4,3.7,6.5,1.78
2020,Tohoku Rakuten Golden Eagles,chargo000jt-,JT Chargois,29,0,3,0,5.81,31,NA,NA,0,0,1,26.1,23,17,17,2,14,1,19,4,0,2,121,1.405,7.9,0.7,4.8,6.5,1.36
2020,Tohoku Rakuten Golden Eagles,fujihi000sho,Shoma Fujihira,21,0,0,NA,Inf,1,NA,NA,0,0,0,0,1,2,2,0,0,0,0,1,0,0,2,NA,NA,NA,NA,NA,NA
2020,Tohoku Rakuten Golden Eagles,fukui-000yuy,Yuya Fukui,32,0,4,0,5.46,7,NA,NA,0,0,0,29.2,26,18,18,2,14,0,18,2,0,0,128,1.348,7.9,0.6,4.2,5.5,1.29
2020,Tohoku Rakuten Golden Eagles,fukuya000hir,Hiroyuki Fukuyama,31,0,0,NA,0.75,14,NA,NA,0,0,0,12,12,1,1,1,5,1,8,0,0,0,49,1.417,9,0.8,3.8,6,1.6
2020,Tohoku Rakuten Golden Eagles,ikeda-000shu,Shun Ikeda*,27,1,0,1,4.32,21,NA,NA,0,0,0,16.2,21,8,8,0,7,0,13,0,0,0,77,1.68,11.3,0,3.8,7,1.86
2020,Tohoku Rakuten Golden Eagles,ishiba000ryo,Ryota Ishibashi,29,1,6,0.143,6.11,13,NA,NA,0,0,0,63.1,72,43,43,9,28,1,46,4,1,2,285,1.579,10.2,1.3,4,6.5,1.64
2020,Tohoku Rakuten Golden Eagles,johnso009dan,DJ Johnson,30,1,0,1,3.07,16,NA,NA,0,0,0,14.2,13,6,5,2,6,0,16,0,0,3,62,1.295,8,1.2,3.7,9.8,2.67
2020,Tohoku Rakuten Golden Eagles,kamata000yos,Yoshinao Kamata,26,0,0,NA,9.82,4,NA,NA,0,0,0,3.2,9,5,4,0,4,0,4,1,0,0,26,3.545,22.1,0,9.8,9.8,1
2020,Tohoku Rakuten Golden Eagles,karash001wat,Wataru Karashima*,29,1,3,0.25,4.93,19,NA,NA,0,0,1,38.1,43,22,21,6,15,0,26,3,0,2,170,1.513,10.1,1.4,3.5,6.1,1.73
2020,Tohoku Rakuten Golden Eagles,kishi-001tak,Takayuki Kishi,35,7,0,1,3.21,11,NA,NA,2,1,0,67.1,48,24,24,5,20,1,70,1,0,0,269,1.01,6.4,0.7,2.7,9.4,3.5
