Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2021,Orix Buffaloes,abe---000sho,Shota Abe,28,0,0,NA,7.36,4,NA,NA,0,0,0,3.2,4,3,3,1,1,0,3,0,0,0,16,1.364,9.8,2.5,2.5,7.4,3
2021,Orix Buffaloes,higa--001mot,Motoki Higa,38,1,0,1,1.77,32,NA,NA,0,0,0,20.1,14,4,4,2,4,4,15,0,0,0,75,0.885,6.2,0.9,1.8,6.6,3.75
2021,Orix Buffaloes,higgin001tyl,Tyler Higgins,30,1,2,0.333,2.53,49,NA,NA,0,0,2,46.1,37,14,13,3,19,0,36,1,0,1,195,1.209,7.2,0.6,3.7,7,1.89
2021,Orix Buffaloes,hirano001yos,Yoshihisa Hirano,37,1,3,0.25,2.3,46,NA,NA,0,0,29,43,30,11,11,4,9,0,37,0,0,1,163,0.907,6.3,0.8,1.9,7.7,4.11
2021,Orix Buffaloes,honda-000hit,Hitomi Honda,21,0,1,0,7.45,2,NA,NA,0,0,0,9.2,13,8,8,2,5,0,4,0,0,0,45,1.862,12.1,1.9,4.7,3.7,0.8
2021,Orix Buffaloes,kaida-000tom,Tomoyuki Kaida*,33,0,1,0,2.61,16,NA,NA,0,0,0,10.1,8,3,3,0,4,1,5,0,0,0,43,1.161,7,0,3.5,4.4,1.25
2021,Orix Buffaloes,kaneda000kaz,Kazuyuki Kaneda,30,0,0,NA,4.35,9,NA,NA,0,0,0,10.1,8,5,5,3,5,0,6,2,0,0,45,1.258,7,2.6,4.4,5.2,1.2
2021,Orix Buffaloes,masui-001hir,Hirotoshi Masui,37,3,6,0.333,4.94,15,NA,NA,0,0,0,71,77,47,39,8,29,0,45,2,0,2,309,1.493,9.8,1,3.7,5.7,1.55
2021,Orix Buffaloes,miyagi001hir,Hiroya Miyagi*,19,13,4,0.765,2.51,23,NA,NA,0,0,0,147,118,44,41,9,39,1,131,9,0,0,594,1.068,7.2,0.6,2.4,8,3.36
2021,Orix Buffaloes,murani000ryo,Ryota Muranishi,24,1,0,1,3.75,18,NA,NA,0,0,1,12,15,7,5,1,9,0,7,2,0,0,62,2,11.3,0.8,6.8,5.3,0.78
2021,Orix Buffaloes,nakaga000hay,Hayate Nakagawa,22,0,0,NA,0,1,NA,NA,0,0,0,1,2,0,0,0,0,0,0,0,0,0,5,2,18,0,0,0,NA
2021,Orix Buffaloes,nohmi-001ats,Atsushi Nohmi*,42,0,0,NA,4.03,26,NA,NA,0,0,2,22.1,26,11,10,2,11,2,19,3,0,0,103,1.657,10.5,0.8,4.4,7.7,1.73
2021,Orix Buffaloes,saito-000kok,Kohki Saitoh*,24,0,0,NA,10.13,4,NA,NA,0,0,0,2.2,2,3,3,1,2,0,3,0,0,0,12,1.5,6.8,3.4,6.8,10.1,1.5
2021,Orix Buffaloes,sakaki000tsu,Tsubasa Sakakibara,22,0,0,NA,15.43,1,NA,NA,0,0,0,2.1,4,4,4,0,5,0,2,0,0,0,16,3.857,15.4,0,19.3,7.7,0.4
2021,Orix Buffaloes,sawada000kei,Keisuke Sawada,27,0,0,NA,3.86,14,NA,NA,0,0,0,14,15,6,6,0,3,0,14,1,0,0,59,1.286,9.6,0,1.9,9,4.67
2021,Orix Buffaloes,sparkm000gle,Glenn Sparkman,29,0,1,0,6.88,6,NA,NA,0,0,0,17,15,13,13,4,8,0,14,1,1,0,73,1.353,7.9,2.1,4.2,7.4,1.75
2021,Orix Buffaloes,suzuki001koh,Kohei Suzuki,27,1,0,1,3.03,34,NA,NA,0,0,2,38.2,34,15,13,2,14,2,28,1,0,3,164,1.241,7.9,0.5,3.3,6.5,2
2021,Orix Buffaloes,suzuki000yu-,Yu Suzuki,24,0,0,NA,9,11,NA,NA,0,0,0,10,9,10,10,4,5,0,10,2,0,1,45,1.4,8.1,3.6,4.5,9,2
2021,Orix Buffaloes,tajima000dai,Daiki Tajima*,24,8,8,0.5,3.58,24,NA,NA,0,0,0,143.1,137,62,57,10,48,1,135,5,1,4,608,1.291,8.6,0.6,3,8.5,2.81
2021,Orix Buffaloes,takeya000dai,Daichi Takeyasu,26,3,2,0.6,4.44,17,NA,NA,0,0,0,48.2,48,26,24,4,19,0,26,1,0,0,207,1.377,8.9,0.7,3.5,4.8,1.37
2021,Orix Buffaloes,tomiya000ryo,Ryoga Tomiyama*,24,2,1,0.667,2.72,51,NA,NA,0,0,0,46.1,37,16,14,2,17,0,34,0,0,0,189,1.165,7.2,0.4,3.3,6.6,2
2021,Orix Buffaloes,urushi000tai,Taisei Urushihara,24,2,2,0.5,3.03,34,NA,NA,0,0,2,35.2,30,13,12,4,14,1,23,1,0,1,148,1.234,7.6,1,3.5,5.8,1.64
2021,Orix Buffaloes,vargas001ces,César Vargas,29,1,1,0.5,11,5,NA,NA,0,0,0,9,13,11,11,4,4,0,7,1,0,2,45,1.889,13,4,4,7,1.75
2021,Orix Buffaloes,yamada001nob,Nobuyoshi Yamada*,29,1,0,1,2.27,43,NA,NA,0,0,0,43.2,38,14,11,2,19,2,35,1,0,0,186,1.305,7.8,0.4,3.9,7.2,1.84
2021,Orix Buffaloes,yamamo004yos,Yoshinobu Yamamoto,22,18,5,0.783,1.39,26,NA,NA,6,4,0,193.2,124,37,30,7,40,1,206,2,0,3,736,0.847,5.8,0.3,1.9,9.6,5.15
2021,Orix Buffaloes,yamaok000tai,Taisuke Yamaoka,25,3,4,0.429,3.89,12,NA,NA,0,0,0,69.1,64,30,30,7,20,0,74,3,0,1,297,1.212,8.3,0.9,2.6,9.6,3.7
2021,Orix Buffaloes,yamasa000sac,Sachiya Yamasaki*,28,8,10,0.444,3.56,22,NA,NA,0,0,0,116.1,111,47,46,13,24,0,75,6,0,2,473,1.16,8.6,1,1.9,5.8,3.13
2021,Orix Buffaloes,yamaza000soi,Soichiro Yamazaki,23,2,2,0.5,3.69,9,NA,NA,0,0,0,39,32,16,16,1,20,0,29,5,0,0,169,1.333,7.4,0.2,4.6,6.7,1.45
2021,Orix Buffaloes,cho---000yak,Chang Yi,27,0,1,0,13.06,8,NA,NA,0,0,0,10.1,21,15,15,4,2,0,15,0,0,0,54,2.226,18.3,3.5,1.7,13.1,7.5
2021,Orix Buffaloes,yoshid000ryo,Ryo Yoshida,24,1,1,0.5,2.12,18,NA,NA,0,0,0,17,7,5,4,3,4,0,17,0,0,0,62,0.647,3.7,1.6,2.1,9,4.25
