Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Team,Year,PlayerID
1,Kohei Arihara,30,17,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,1,0,0,0,0,0,Fukuoka Softbank Hawks,2023,arihar000koh
2,Willians Astudillo,31,20,50,44,2,6,1,0,1,3,0,0,2,2,0.136,0.22,0.227,0.447,10,3,3,0,1,0,Fukuoka Softbank Hawks,2023,astudi001wil
3,Yugo Bandoh,27,30,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Fukuoka Softbank Hawks,2023,bando-000yug
4,Alfredo Despaigne,37,20,49,42,0,3,0,0,0,0,0,0,7,13,0.071,0.204,0.071,0.276,3,2,0,0,0,0,Fukuoka Softbank Hawks,2023,despai000alf
5,Kouya Fujii*,26,34,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Fukuoka Softbank Hawks,2023,fujii-000koy
6,Freddy Galvis#,33,19,34,33,1,5,0,0,0,1,0,0,0,11,0.152,0.177,0.152,0.328,5,1,1,0,0,0,Fukuoka Softbank Hawks,2023,galvis001fre
7,Courtney Hawkins,29,3,10,9,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,Fukuoka Softbank Hawks,2023,hawkin000cou
8,Nao Higashihama,33,17,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Fukuoka Softbank Hawks,2023,higash001nao
9,Kenta Imamiya,31,126,484,427,38,109,22,0,9,48,4,0,27,58,0.255,0.3,0.37,0.67,158,14,2,24,4,1,Fukuoka Softbank Hawks,2023,imamiy000ken
10,Tomoya Inoue,20,15,41,38,3,10,2,0,1,3,0,0,3,10,0.263,0.317,0.395,0.712,15,0,0,0,0,0,Fukuoka Softbank Hawks,2023,inoue-000tom
11,Shuta Ishikawa,31,23,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,Fukuoka Softbank Hawks,2023,ishika000syu
12,Ikumi Kai*,22,13,21,20,2,4,0,0,0,0,0,0,1,5,0.2,0.238,0.2,0.438,4,0,0,0,0,0,Fukuoka Softbank Hawks,2023,kai---000iku
13,Takuya Kai,30,139,420,366,35,74,16,1,10,44,0,0,31,117,0.202,0.269,0.333,0.602,122,5,3,18,2,0,Fukuoka Softbank Hawks,2023,kai---000tak
