Year,Team,PlayerID,Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2023,Chiba Lotte Marines,azuma-000yus,1,Yusuke Azuma,27,0,1,0,2.91,36,NA,NA,0,0,0,34,29,11,11,3,12,0,28,1,0,4,141,1.206,7.7,0.8,3.2,7.4,2.33
2023,Chiba Lotte Marines,castil014lui,2,Luis Castillo,28,3,3,0.5,3.12,12,NA,NA,0,0,0,49,52,18,17,2,3,0,34,2,0,1,200,1.122,9.6,0.4,0.6,6.2,11.33
2023,Chiba Lotte Marines,crisos000chr,3,Cristopher Crisostomo*,29,4,8,0.333,3.33,22,NA,NA,0,0,1,116.1,111,46,43,8,36,0,58,2,0,3,483,1.264,8.6,0.6,2.8,4.5,1.61
2023,Chiba Lotte Marines,hiroha000ats,4,Atsuya Hirohata,25,1,1,0.5,5.73,8,NA,NA,0,0,0,11,14,7,7,1,5,1,11,0,0,0,50,1.727,11.5,0.8,4.1,9,2.2
2023,Chiba Lotte Marines,iwashi000dai,5,Daiki Iwashita,26,1,0,1,2.93,27,NA,NA,0,0,0,30.2,25,11,10,2,14,3,28,1,0,3,130,1.272,7.3,0.6,4.1,8.2,2
2023,Chiba Lotte Marines,karaka001yuk,6,Yuki Karakawa,33,0,1,0,7.04,6,NA,NA,0,0,0,7.2,15,6,6,1,1,0,2,0,0,0,37,2.087,17.6,1.2,1.2,2.3,2
2023,Chiba Lotte Marines,kikuch000rik,7,Riku Kikuchi,23,0,1,0,2.25,1,NA,NA,0,0,0,4,7,4,1,1,3,0,0,0,0,2,22,2.5,15.8,2.3,6.8,0,0
2023,Chiba Lotte Marines,kuniyo000yuk,8,Yuki Kuniyoshi,31,0,0,NA,0,3,NA,NA,0,0,0,3.2,1,0,0,0,2,0,2,0,0,0,13,0.818,2.5,0,4.9,4.9,1
2023,Chiba Lotte Marines,masuda000nao,9,Naoya Masuda,33,2,5,0.286,3.71,58,NA,NA,0,0,36,53.1,49,23,22,9,14,1,54,1,0,4,222,1.181,8.3,1.5,2.4,9.1,3.86
2023,Chiba Lotte Marines,mima--000man,10,Manabu Mima,36,3,9,0.25,4.76,18,NA,NA,0,0,0,98.1,106,55,52,13,32,1,67,3,0,1,429,1.403,9.7,1.2,2.9,6.1,2.09
2023,Chiba Lotte Marines,mori--000ryo,11,Ryotaro Mori,24,1,4,0.2,6,7,NA,NA,0,0,0,33,41,23,22,3,10,0,29,2,0,0,153,1.545,11.2,0.8,2.7,7.9,2.9
2023,Chiba Lotte Marines,motoma000fum,12,Fumiya Motomae*,25,0,0,NA,3.6,1,NA,NA,0,0,0,5,4,2,2,1,4,0,5,0,0,0,22,1.6,7.2,1.8,7.2,9,1.25
2023,Chiba Lotte Marines,nakamo000shu,13,Shunsuke Nakamori,21,3,2,0.6,3.54,13,NA,NA,0,0,0,20.1,17,8,8,2,8,2,10,3,0,1,86,1.23,7.5,0.9,3.5,4.4,1.25
2023,Chiba Lotte Marines,nakamu001tos,14,Toshiya Nakamura*,26,3,1,0.75,2.31,17,NA,NA,0,0,0,23.1,22,6,6,0,6,0,19,1,0,1,99,1.2,8.5,0,2.3,7.3,3.17
2023,Chiba Lotte Marines,nishim001tak,15,Takahiro Nishimura,30,4,0,1,1.25,44,NA,NA,0,0,0,43.1,28,7,6,2,16,0,41,1,0,3,174,1.015,5.8,0.4,3.3,8.5,2.56
2023,Chiba Lotte Marines,nishin000yuj,16,Yuji Nishino,32,8,5,0.615,2.69,18,NA,NA,1,0,0,117,109,39,35,4,23,0,92,4,0,1,464,1.128,8.4,0.3,1.8,7.1,4
2023,Chiba Lotte Marines,ojima-000kaz,17,Kazuya Ojima*,26,10,6,0.625,3.47,25,NA,NA,0,0,0,158.1,143,64,61,14,57,0,114,6,0,2,657,1.263,8.1,0.8,3.2,6.5,2
2023,Chiba Lotte Marines,ono---001fum,18,Fumiya Ono,26,0,1,0,4.66,10,NA,NA,0,0,0,9.2,9,5,5,0,3,0,6,1,0,2,41,1.241,8.4,0,2.8,5.6,2
2023,Chiba Lotte Marines,onuma-000ken,19,Kenta Onuma,25,0,0,NA,9,4,NA,NA,0,0,0,7,9,7,7,1,3,0,4,1,0,0,34,1.714,11.6,1.3,3.9,5.1,1.33
2023,Chiba Lotte Marines,perdom002lui,20,Luis Perdomo,30,1,3,0.25,2.13,53,NA,NA,0,0,1,50.2,49,15,12,1,15,0,41,0,0,1,209,1.263,8.7,0.2,2.7,7.3,2.73
2023,Chiba Lotte Marines,sakamo000kos,21,Koshiro Sakamoto*,28,1,0,1,3.21,51,NA,NA,0,0,0,47.2,46,18,17,5,22,3,48,2,0,2,209,1.427,8.7,0.9,4.2,9.1,2.18
2023,Chiba Lotte Marines,sasaki000chi,22,Chihaya Sasaki,29,0,0,NA,3,2,NA,NA,0,0,0,3,6,2,1,0,0,0,0,1,0,0,15,2,18,0,0,0,NA
2023,Chiba Lotte Marines,sasaki000rok,23,Roki Sasaki,21,7,4,0.636,1.78,15,NA,NA,0,0,0,91,51,19,18,1,17,0,135,5,0,12,345,0.747,5,0.1,1.7,13.4,7.94
2023,Chiba Lotte Marines,sawada000kei,24,Keisuke Sawada,29,2,0,1,1.08,17,NA,NA,0,0,2,16.2,11,2,2,1,6,0,18,0,0,0,63,1.02,5.9,0.5,3.2,9.7,3
2023,Chiba Lotte Marines,sawamu000hir,25,Hirokazu Sawamura,35,4,3,0.571,4.91,34,NA,NA,0,0,3,33,33,18,18,6,18,2,24,1,1,0,148,1.545,9,1.6,4.9,6.5,1.33
2023,Chiba Lotte Marines,suzuki002sho,26,Shota Suzuki*,24,0,0,NA,2.76,13,NA,NA,0,0,0,16.1,12,8,5,2,7,0,13,0,0,0,67,1.163,6.6,1.1,3.9,7.2,1.86
2023,Chiba Lotte Marines,takano000shu,27,Shuta Takano*,24,0,0,NA,1.64,7,NA,NA,0,0,0,11,9,4,2,1,5,0,8,0,0,1,45,1.273,7.4,0.8,4.1,6.5,1.6
