Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1950,Mainichi Orions,aramak000ats,Atsushi Aramaki*,24,48,106,97,10,19,9,0,0,6,0,0,5,9,0.196,0.235,0.289,0.524,28,0,0,4,NA,NA
1950,Mainichi Orions,betto-000kao,Kaoru Betto,29,120,526,477,108,160,23,4,43,105,34,7,49,36,0.335,0.397,0.671,1.068,320,15,0,0,NA,NA
1950,Mainichi Orions,doigak000tak,Takeshi Doigaki,28,112,473,428,64,138,18,2,15,72,16,6,44,20,0.322,0.387,0.479,0.866,205,9,1,0,NA,NA
1950,Mainichi Orions,ebara-000yos,Yoshimi Ebara#,25,35,80,74,9,12,0,0,1,5,0,0,2,12,0.162,0.184,0.203,0.387,15,3,0,4,NA,NA
1950,Mainichi Orions,go----000sho,Shosei Go?,34,98,407,361,89,117,23,11,7,45,29,6,42,36,0.324,0.396,0.507,0.903,183,3,1,3,NA,NA
1950,Mainichi Orions,hagiwa000aki,Akira Hagiwara,23,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,3,4,3,0,0,0,NA,NA
1950,Mainichi Orions,hondo-000yas,Yasuya Hondo,32,120,503,468,73,143,20,2,12,84,13,6,26,18,0.306,0.346,0.434,0.78,203,11,3,6,NA,NA
1950,Mainichi Orions,hoshin000tak,Takeo Hoshino,21,10,11,11,0,1,0,0,0,0,0,0,0,2,0.091,0.091,0.091,0.182,1,2,0,0,NA,NA
1950,Mainichi Orions,imakur000isa,Isao Imakurusu,24,63,129,111,22,28,4,1,0,7,7,2,11,11,0.252,0.32,0.306,0.626,34,2,0,7,NA,NA
1950,Mainichi Orions,imakur000sun,Sunao Imakurusu,31,45,117,104,16,22,4,1,0,7,5,2,8,7,0.212,0.274,0.269,0.544,28,3,1,4,NA,NA
1950,Mainichi Orions,itoh--000sho,Shoshichi Ito,32,68,200,181,30,52,15,0,4,26,6,5,17,24,0.287,0.349,0.437,0.785,79,6,0,2,NA,NA
1950,Mainichi Orions,karita000his,Hisanori Karita,40,20,47,42,5,11,5,0,0,3,1,1,5,5,0.262,0.34,0.381,0.721,16,1,0,0,NA,NA
1950,Mainichi Orions,kataok000hir,Hirokuni Kataoka,33,63,171,155,22,47,11,2,4,26,1,1,15,18,0.303,0.365,0.477,0.842,74,3,0,1,NA,NA
1950,Mainichi Orions,komata000hid,Hideo Komata,25,7,7,6,0,2,0,0,0,0,0,0,1,1,0.333,0.429,0.333,0.762,2,0,0,0,NA,NA
1950,Mainichi Orions,kochi-000tak,Takuji Kouchi,30,120,554,514,78,147,25,5,5,53,28,16,35,33,0.286,0.332,0.383,0.715,197,11,0,5,NA,NA
1950,Mainichi Orions,miyake001tak,Takuzo Miyake,29,37,82,78,9,18,3,1,1,9,1,1,4,11,0.231,0.268,0.333,0.602,26,2,0,0,NA,NA
1950,Mainichi Orions,nagash000sus,Susumu Nagashima,29,33,55,49,5,12,0,0,1,8,0,0,5,5,0.245,0.327,0.306,0.633,15,1,1,0,NA,NA
1950,Mainichi Orions,nishim000yuk,Yukio Nishimoto*,30,76,219,197,22,50,9,1,1,18,13,7,22,6,0.254,0.329,0.325,0.654,64,4,0,0,NA,NA
1950,Mainichi Orions,nomura002tak,Takeshi Nomura,31,34,90,85,7,19,4,0,0,10,0,1,2,8,0.224,0.241,0.271,0.512,23,5,0,3,NA,NA
1950,Mainichi Orions,nomura000ter,Teruo Nomura,25,16,35,33,3,10,3,0,1,6,2,2,2,8,0.303,0.343,0.485,0.828,16,1,0,0,NA,NA
1950,Mainichi Orions,odano-000kas,Kashiwa Odano,33,41,81,77,18,20,6,2,1,14,4,0,3,10,0.26,0.288,0.429,0.716,33,1,0,1,NA,NA
1950,Mainichi Orions,odate-000isa,Isao Odate?,33,31,62,56,5,13,3,0,2,8,0,0,6,18,0.232,0.307,0.393,0.699,22,3,0,0,NA,NA
1950,Mainichi Orions,okuda-000gen,Gen Okuda,29,43,103,93,14,26,3,0,1,11,13,4,5,11,0.28,0.33,0.344,0.674,32,1,2,3,NA,NA
1950,Mainichi Orions,sato--000hei,Heishichi Sato,32,29,56,53,7,17,1,1,1,9,0,0,2,6,0.321,0.346,0.434,0.78,23,1,0,1,NA,NA
1950,Mainichi Orions,shirak000haj,Hajime Shirakawa,28,5,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,NA
1950,Mainichi Orions,sofue-000toi,Toichiro Sobue,27,5,4,2,0,0,0,0,0,0,0,0,1,1,0,0.333,0,0.333,0,0,0,1,NA,NA
1950,Mainichi Orions,tokura000kat,Katsuki Tokura,35,110,444,414,90,109,18,9,21,96,22,12,29,39,0.263,0.312,0.502,0.814,208,3,0,1,NA,NA
1950,Mainichi Orions,ueno--000shi,Shigeo Ueno,27,23,45,41,5,11,0,0,1,3,0,0,2,8,0.268,0.302,0.342,0.644,14,1,0,2,NA,NA
1950,Mainichi Orions,wakaba000hen,Tadashi Wakabayashi?,42,14,32,31,2,7,2,0,2,8,0,0,1,2,0.226,0.25,0.484,0.734,15,1,0,0,NA,NA
1950,Mainichi Orions,yuasa-001yos,Yoshio Yuasa,47,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
