Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1951,Kintetsu Pearls,aoike-000yos,Yoshimasa Aoike,32,80,250,223,23,49,3,0,5,14,5,0,20,15,0.22,0.287,0.3,0.587,67,6,1,6,NA,NA
1951,Kintetsu Pearls,goi---000koz,Kozo Goi,26,27,33,33,5,8,1,0,1,6,0,0,0,10,0.242,0.242,0.364,0.606,12,0,0,0,NA,NA
1951,Kintetsu Pearls,hattor001tsu,Tsutomu Hattori,27,18,10,10,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA,NA
1951,Kintetsu Pearls,hozan-000sho,Shoji Hozan,25,92,342,309,29,75,6,6,4,30,7,9,26,38,0.243,0.302,0.34,0.641,105,8,0,7,NA,NA
1951,Kintetsu Pearls,itoh--001tos,Toshio Ito,29,25,26,25,2,5,1,0,0,4,0,2,0,1,0.2,0.2,0.24,0.44,6,0,0,1,NA,NA
1951,Kintetsu Pearls,kagawa000hid,Hidemitsu Kagawa,21,15,16,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA,NA
1951,Kintetsu Pearls,karita000his,Hisanori Karita,41,48,140,124,18,34,7,0,2,12,3,3,14,15,0.274,0.348,0.379,0.727,47,4,0,2,NA,NA
1951,Kintetsu Pearls,kato--000har,Haruo Kato,34,69,216,199,14,43,12,0,2,19,2,0,16,14,0.216,0.278,0.307,0.584,61,4,1,0,NA,NA
1951,Kintetsu Pearls,kato--002mas,Masaichi Kato*,28,32,32,28,1,5,0,0,0,0,0,0,4,4,0.179,0.281,0.179,0.46,5,1,0,0,NA,NA
1951,Kintetsu Pearls,kuro--000shi,Shigeaki Kuroo,24,29,58,55,1,5,0,0,0,1,0,0,2,13,0.091,0.123,0.091,0.214,5,1,0,1,NA,NA
1951,Kintetsu Pearls,morish000shi,Shigeyoshi Morishita,31,92,379,350,36,80,12,3,12,59,2,3,27,41,0.229,0.288,0.383,0.671,134,9,2,0,NA,NA
1951,Kintetsu Pearls,muroka000mit,Mitsuo Murokawa,22,9,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
1951,Kintetsu Pearls,nagata000ryu,Takatsugu Nagata,32,31,62,56,10,14,2,0,1,4,0,0,4,8,0.25,0.312,0.339,0.651,19,0,1,1,NA,NA
1951,Kintetsu Pearls,sakamo000shi,Shigeru Sakamoto,30,98,414,361,60,94,12,0,1,19,38,21,45,32,0.26,0.347,0.302,0.649,109,2,3,5,NA,NA
1951,Kintetsu Pearls,sawafu000mit,Mitsuro Sawafuji,31,36,83,72,6,10,1,0,0,6,0,0,10,18,0.139,0.244,0.153,0.397,11,3,0,1,NA,NA
1951,Kintetsu Pearls,sekine000jun,Junzo Sekine*,24,52,93,89,4,23,3,1,0,11,0,0,3,3,0.258,0.29,0.315,0.605,28,0,1,0,NA,NA
1951,Kintetsu Pearls,shimak000kan,Kanenori Shimakata,33,46,135,125,12,21,3,1,2,9,2,0,9,10,0.168,0.224,0.256,0.48,32,0,0,1,NA,NA
1951,Kintetsu Pearls,shishi000zen,Zenjiro Shishido,26,45,115,105,5,17,4,2,0,9,2,1,6,2,0.162,0.214,0.238,0.452,25,2,1,3,NA,NA
1951,Kintetsu Pearls,tagawa000yut,Yutaka Tagawa,32,97,400,354,24,92,13,4,1,46,7,6,42,25,0.26,0.34,0.328,0.668,116,9,1,3,NA,NA
1951,Kintetsu Pearls,takech000fum,Fumio Takechi,24,39,97,86,7,19,2,0,0,6,0,0,7,8,0.221,0.28,0.244,0.524,21,3,0,4,NA,NA
1951,Kintetsu Pearls,wada--000his,Hisataro Wada,30,26,27,27,3,5,0,0,1,3,0,0,0,1,0.185,0.185,0.296,0.482,8,1,0,0,NA,NA
1951,Kintetsu Pearls,yamamo002shi,Shizuo Yamamoto*,29,93,355,314,35,68,10,4,1,21,5,7,32,30,0.217,0.289,0.283,0.572,89,5,0,9,NA,NA
1951,Kintetsu Pearls,yamash000yuz,Yuzuru Yamashita,25,78,183,162,15,33,6,1,4,15,8,4,17,23,0.204,0.287,0.327,0.615,53,1,2,2,NA,NA
1951,Kintetsu Pearls,yoshim000iwa,Iwao Yoshimura,31,49,77,71,7,13,2,1,0,5,0,1,4,10,0.183,0.227,0.239,0.466,17,2,0,2,NA,NA
