Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1951,Shochiku Robins,arakaw000sho,Shoji Arakawa,27,103,458,392,61,108,9,6,5,42,15,6,55,31,0.276,0.365,0.367,0.732,144,8,0,11,NA,NA
1951,Shochiku Robins,deguch000kaz,Kazufumi Deguchi,24,5,10,10,1,1,0,0,0,0,0,0,0,3,0.1,0.1,0.1,0.2,1,0,0,0,NA,NA
1951,Shochiku Robins,eda---000tak,Takashi Eda,28,28,62,55,3,11,0,0,1,1,1,0,7,13,0.2,0.29,0.255,0.545,14,2,0,0,NA,NA
1951,Shochiku Robins,hayash001shi,Shigeru Hayashi,27,19,21,17,2,5,0,0,0,1,0,0,1,3,0.294,0.333,0.294,0.627,5,0,0,3,NA,NA
1951,Shochiku Robins,hirano001ken,Kenji Hirano,23,41,126,121,11,24,5,1,4,18,1,1,3,38,0.198,0.224,0.355,0.579,43,1,1,1,NA,NA
1951,Shochiku Robins,iwamot000nob,Nobukazu Iwamoto*,30,16,27,26,4,5,0,0,0,3,0,0,1,10,0.192,0.222,0.192,0.415,5,0,0,0,NA,NA
1951,Shochiku Robins,iwamot001yos,Yoshiyuki Iwamoto,39,110,496,422,100,148,24,0,31,87,10,4,63,43,0.351,0.448,0.628,1.076,265,12,11,0,NA,NA
1951,Shochiku Robins,izutsu000ken,Kenichi Izutsu,31,32,45,43,1,2,0,0,0,1,0,0,1,9,0.047,0.068,0.047,0.115,2,1,0,1,NA,NA
1951,Shochiku Robins,kanaya000jir,Jiro Kanayama,28,109,522,473,83,127,18,3,4,36,42,14,38,39,0.269,0.323,0.345,0.668,163,3,0,11,NA,NA
1951,Shochiku Robins,kimura000tsu,Tsutomu Kimura,30,73,275,243,42,72,7,2,0,23,9,4,22,10,0.296,0.355,0.342,0.696,83,7,0,10,NA,NA
1951,Shochiku Robins,kobaya001aki,Akiyoshi Kobayashi,27,95,337,314,40,94,8,2,5,48,0,1,17,29,0.299,0.335,0.385,0.721,121,7,0,6,NA,NA
1951,Shochiku Robins,kobaya000tsu,Tsuneo Kobayashi*,25,55,118,115,14,28,5,0,2,15,0,0,3,16,0.244,0.263,0.339,0.602,39,1,0,0,NA,NA
1951,Shochiku Robins,koduru000mak,Makoto Kozuru,28,97,441,387,68,101,16,4,24,85,20,3,54,43,0.261,0.352,0.509,0.861,197,11,0,0,NA,NA
1951,Shochiku Robins,metoki000har,Haruo Medoki,26,26,46,41,7,8,0,0,2,9,0,0,4,9,0.195,0.283,0.342,0.624,14,1,1,0,NA,NA
1951,Shochiku Robins,mimura000isa,Isao Mimura,27,109,452,389,52,89,15,2,13,57,1,2,59,73,0.229,0.33,0.378,0.708,147,8,0,4,NA,NA
1951,Shochiku Robins,miyaza000jir,Jiro Miyazaki,31,97,372,347,35,94,10,3,7,36,6,3,16,23,0.271,0.305,0.378,0.682,131,4,1,8,NA,NA
1951,Shochiku Robins,miyaza000kii,Kiichiro Miyazawa*,24,1,2,2,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1,1,0,0,0,NA,NA
1951,Shochiku Robins,ooka--000tor,Torao Ooka,39,19,75,66,6,16,5,0,1,10,0,1,9,14,0.242,0.333,0.364,0.697,24,1,0,0,NA,NA
1951,Shochiku Robins,oshima000nob,Nobuo Oshima*,29,46,104,88,15,23,3,1,0,11,2,0,12,6,0.261,0.363,0.318,0.681,28,2,2,2,NA,NA
1951,Shochiku Robins,sanada000juz,Juzo Sanada,28,39,65,60,9,19,2,0,1,13,1,0,5,6,0.317,0.369,0.4,0.769,24,2,0,0,NA,NA
1951,Shochiku Robins,shimam000kaz,Kazuo Shimamoto,20,14,11,11,2,6,1,1,0,1,0,0,0,3,0.546,0.546,0.818,1.364,9,0,0,0,NA,NA
1951,Shochiku Robins,tsunas000shi,Shinya Tsunashima,31,39,52,46,6,14,2,1,0,3,3,1,6,4,0.304,0.385,0.391,0.776,18,2,0,0,NA,NA
1951,Shochiku Robins,yoshid000kaz,Kazuo Yoshida,35,101,428,394,47,91,17,3,5,55,9,2,31,25,0.231,0.29,0.327,0.618,129,12,2,1,NA,NA
