Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1954,Daiei Stars,akiyam002tak,Takeshi Akiyama*,18,27,36,35,1,7,0,0,0,1,0,0,1,6,0.2,0.222,0.2,0.422,7,0,0,0,0,NA
1954,Daiei Stars,arai--000tat,Tatsuo Arai,26,83,146,129,6,29,4,2,0,11,3,1,11,18,0.225,0.283,0.287,0.57,37,6,1,1,4,NA
1954,Daiei Stars,ban---000yuj,Yuji Ban,31,16,19,16,1,2,0,0,0,1,0,0,2,5,0.125,0.222,0.125,0.347,2,0,0,1,0,NA
1954,Daiei Stars,hataya000kiy,Kiyoshi Hataya,19,24,41,38,3,8,1,0,0,1,1,0,3,8,0.211,0.268,0.237,0.505,9,1,0,0,0,NA
1954,Daiei Stars,hayash000gii,Giichi Hayashi,34,42,102,101,1,17,3,0,0,4,0,0,0,8,0.168,0.168,0.198,0.366,20,4,0,1,0,NA
1954,Daiei Stars,himeno000yos,Yoshiharu Himeno,30,8,5,5,0,2,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,2,0,0,0,0,NA
1954,Daiei Stars,igaue-000jun,Jungo Igaue,37,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0.333,0,0.333,0,0,0,0,0,NA
1954,Daiei Stars,iijima000shi,Shigeya Iijima,35,121,491,418,44,109,18,0,10,61,4,6,58,46,0.261,0.357,0.376,0.732,157,12,7,3,5,NA
1954,Daiei Stars,iio---000tak,Takao Iio,20,36,51,45,5,6,2,0,0,3,0,0,5,16,0.133,0.22,0.178,0.398,8,3,0,1,0,NA
1954,Daiei Stars,kamiic000aki,Akio Kamiichi,21,48,129,112,10,17,8,0,1,6,1,0,14,29,0.152,0.252,0.25,0.502,28,2,1,2,0,NA
1954,Daiei Stars,kinosh000iku,Ikuhiko Kinoshita,22,44,59,56,1,11,2,0,0,1,0,0,2,17,0.196,0.22,0.232,0.452,13,0,0,0,1,NA
1954,Daiei Stars,masuda000tak,Takashi Masuda,32,119,336,297,21,68,14,3,5,25,17,12,29,25,0.229,0.308,0.347,0.655,103,7,6,2,2,NA
1954,Daiei Stars,murato000tat,Tatsuaki Murato,22,16,13,12,0,1,0,0,0,0,0,0,1,5,0.083,0.154,0.083,0.237,1,0,0,0,0,NA
1954,Daiei Stars,ninomi001mas,Masaaki Ninomiya,19,87,259,234,18,50,12,1,2,27,6,1,15,56,0.214,0.282,0.299,0.581,70,6,8,0,2,NA
1954,Daiei Stars,ogawa-000yos,Yoshiharu Ogawa,30,44,105,94,4,20,3,1,1,3,1,0,7,18,0.213,0.267,0.298,0.565,28,1,0,4,0,NA
1954,Daiei Stars,okamot003yos,Yoshinobu Okamoto,19,44,35,32,4,3,0,0,0,0,0,0,3,8,0.094,0.171,0.094,0.265,3,0,0,0,0,NA
1954,Daiei Stars,sakamo000bun,Bunjiro Sakamoto,28,127,551,526,74,137,28,9,12,42,18,5,12,53,0.261,0.278,0.416,0.694,219,6,1,11,1,NA
1954,Daiei Stars,sano--001yos,Yosuke Sano,19,72,176,153,11,28,3,1,0,8,2,2,21,49,0.183,0.286,0.216,0.501,33,11,1,1,0,NA
1954,Daiei Stars,shimad000yuz,Yuzo Shimada,24,136,585,506,53,117,17,6,7,29,18,11,66,58,0.231,0.319,0.33,0.649,167,11,1,9,3,NA
1954,Daiei Stars,sugawa000mic,Michihiro Sugawara,24,115,427,403,35,88,16,4,2,35,7,2,14,50,0.218,0.245,0.293,0.538,118,13,2,3,5,NA
1954,Daiei Stars,sugita000kaz,Kazuo Sugitani,21,8,12,10,1,1,0,0,0,0,0,0,2,5,0.1,0.25,0.1,0.35,1,0,0,0,0,NA
1954,Daiei Stars,sugiya002shi,Shinjiro Sugiyama*,23,55,94,86,5,21,1,0,0,3,2,1,5,12,0.244,0.283,0.256,0.538,22,1,0,2,1,NA
1954,Daiei Stars,tagawa000yut,Yutaka Tagawa,35,115,354,322,17,73,7,2,0,25,2,2,27,18,0.227,0.286,0.261,0.547,84,15,0,4,1,NA
1954,Daiei Stars,takama000tos,Toshio Takamatsu,34,38,61,53,5,13,2,1,0,3,0,0,4,5,0.245,0.298,0.321,0.619,17,0,0,4,0,NA
1954,Daiei Stars,takeuc000kaz,Kazuo Takeuchi*,22,42,86,80,5,12,3,0,0,5,0,0,5,23,0.15,0.198,0.188,0.385,15,2,0,0,1,NA
1954,Daiei Stars,takita000mas,Masaharu Takita*,27,117,495,434,50,123,26,6,7,39,12,7,58,43,0.283,0.368,0.419,0.787,182,9,1,0,2,NA
1954,Daiei Stars,taoka-000tos,Toshihisa Taoka,20,18,41,39,2,5,1,0,0,1,0,0,2,16,0.128,0.171,0.154,0.325,6,2,0,0,0,NA
1954,Daiei Stars,yabumo000kaz,Kazuo Yabumoto,23,7,7,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA
1954,Daiei Stars,yamada000kiy,Kiyoshi Yamada,33,84,264,216,12,41,7,0,0,16,4,3,38,23,0.19,0.315,0.222,0.537,48,3,2,7,1,NA
1954,Daiei Stars,yoshim000iwa,Iwao Yoshimura,34,94,205,178,12,21,3,0,0,5,2,0,17,46,0.118,0.207,0.135,0.342,24,3,3,7,0,NA
