Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1955,Nishitetsu Lions,ariyos000hir,Hiromasa Ariyoshi?,19,36,23,23,2,4,0,0,0,0,0,0,0,8,0.174,0.174,0.174,0.348,4,2,0,0,0,0
1955,Nishitetsu Lions,goto--000jun,Junjiro Goto,22,20,15,14,2,4,1,0,0,1,1,0,1,3,0.286,0.333,0.357,0.69,5,0,0,0,0,0
1955,Nishitetsu Lions,hibino000tak,Takeshi Hibino,35,113,321,280,21,65,12,0,1,29,3,2,26,26,0.232,0.299,0.286,0.585,80,5,2,10,3,1
1955,Nishitetsu Lions,hirats000tak,Takara Hiratsuka,19,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,Nishitetsu Lions,hiyama000sad,Sadao Hiyama*,21,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0
1955,Nishitetsu Lions,imakur000sun,Sunao Imakurusu,36,79,101,89,4,23,6,0,1,11,0,0,9,5,0.258,0.34,0.36,0.7,32,2,2,1,0,0
1955,Nishitetsu Lions,kawamu000his,Hisafumi Kawamura,21,58,102,94,3,10,3,0,0,3,0,0,4,23,0.106,0.143,0.138,0.281,13,3,0,4,0,0
1955,Nishitetsu Lions,kawasa000tok,Tokuji Kawasaki,34,57,104,95,6,16,2,1,0,8,0,0,6,13,0.168,0.226,0.211,0.436,20,1,1,2,0,0
1955,Nishitetsu Lions,kitaha000sat,Kei Kitahara,19,8,6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
1955,Nishitetsu Lions,kono--000aki,Akinobu Kono,24,141,453,397,53,97,12,5,3,28,17,4,36,54,0.244,0.313,0.322,0.635,128,9,4,15,1,0
1955,Nishitetsu Lions,kuboya000mak,Makoto Kuboyama,21,7,6,6,0,1,1,0,0,0,0,0,0,2,0.167,0.167,0.333,0.5,2,0,0,0,0,0
1955,Nishitetsu Lions,nagasa000mam,Mamoru Nagasaka,20,21,13,13,0,1,0,0,0,1,0,0,0,1,0.077,0.077,0.077,0.154,1,1,0,0,0,0
1955,Nishitetsu Lions,nagato000yuk,Yukichi Nagatoshi*,34,75,161,147,13,27,4,0,5,13,1,0,11,29,0.184,0.248,0.313,0.561,46,1,2,0,1,1
1955,Nishitetsu Lions,nakani000fut,Futoshi Nakanishi,22,135,549,473,96,157,28,4,35,98,19,12,71,91,0.332,0.419,0.63,1.049,298,10,2,0,3,17
1955,Nishitetsu Lions,nakata000jun,Junji Nakatani,37,104,343,312,52,92,22,3,8,43,4,4,24,29,0.295,0.346,0.462,0.808,144,10,2,2,3,1
1955,Nishitetsu Lions,nishim000sad,Sadao Nishimura,20,57,98,88,5,10,1,1,0,3,0,0,8,48,0.114,0.186,0.148,0.333,13,1,0,1,1,0
1955,Nishitetsu Lions,ogi---000aki,Akira Ogi,20,126,406,370,48,87,15,1,15,39,22,7,22,70,0.235,0.284,0.403,0.687,149,5,4,8,2,0
1955,Nishitetsu Lions,oshita000hir,Hiroshi Oshita*,32,139,524,469,74,141,21,5,12,63,7,3,44,55,0.301,0.357,0.444,0.8,208,6,0,5,6,7
1955,Nishitetsu Lions,otsu--000mam,Mamoru Otsu,24,56,97,85,4,18,3,0,0,10,0,0,0,17,0.212,0.207,0.247,0.454,21,1,0,10,2,0
1955,Nishitetsu Lions,owada-000aki,Akira Owada,21,32,33,33,3,7,0,0,2,4,0,0,0,13,0.212,0.212,0.394,0.606,13,0,0,0,0,0
1955,Nishitetsu Lions,sagawa000mor,Morikazu Sagawa*,19,10,11,10,1,2,0,1,0,1,0,0,1,1,0.2,0.273,0.4,0.673,4,0,0,0,0,0
1955,Nishitetsu Lions,sakaga000ats,Atsushi Sakagami,20,5,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1955,Nishitetsu Lions,sekigu000sei,Seiji Sekiguchi,29,134,501,456,67,136,28,6,14,66,11,4,37,95,0.298,0.353,0.478,0.831,218,8,2,5,1,0
1955,Nishitetsu Lions,shimab000yuk,Yukio Shimabara,22,27,16,15,2,3,1,0,0,0,1,0,0,4,0.2,0.2,0.267,0.467,4,1,0,1,0,0
1955,Nishitetsu Lions,takaku000ter,Teruyuki Takakura,20,136,459,427,59,118,18,1,17,71,33,9,27,57,0.276,0.325,0.443,0.767,189,7,4,0,1,0
1955,Nishitetsu Lions,takiuc000yas,Yasuo Takiuchi,19,41,13,11,6,0,0,0,0,0,5,3,2,8,0,0.154,0,0.154,0,0,0,0,0,0
1955,Nishitetsu Lions,tamaki000har,Haruo Tamaki,23,51,61,58,6,12,3,0,2,6,2,0,3,20,0.207,0.246,0.362,0.608,21,1,0,0,0,0
1955,Nishitetsu Lions,tamadu000yoj,Yoji Tamatsukuri*,18,71,89,71,15,16,3,0,0,9,6,5,16,10,0.225,0.364,0.268,0.631,19,0,0,1,1,0
1955,Nishitetsu Lions,toyoda000yas,Yasumitsu Toyoda,20,144,632,546,94,150,18,4,23,76,27,15,64,75,0.275,0.351,0.449,0.799,245,9,1,19,2,1
1955,Nishitetsu Lions,tsukam000ets,Etsuro Tsukamoto,30,112,284,254,26,57,8,1,2,23,14,5,21,33,0.224,0.289,0.287,0.577,73,7,3,4,2,0
1955,Nishitetsu Lions,wada--001hir,Hiromi Wada,18,6,8,7,1,3,1,0,0,0,0,0,0,1,0.429,0.429,0.571,1,4,0,0,1,0,0
1955,Nishitetsu Lions,wako--000tad,Tadao Wako,18,10,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1955,Nishitetsu Lions,yatsun000tom,Tomoyuki Yatsunami,24,7,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
