Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1955,Osaka Tigers,akimit000shi,Shinji Akimitsu*,19,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,Osaka Tigers,asagoe000kei,Keiichi Asagoe,18,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1955,Osaka Tigers,fujimu000fum,Fumio Fujimura,38,112,398,349,41,94,12,0,21,63,1,2,35,51,0.269,0.345,0.484,0.829,169,11,8,1,5,5
1955,Osaka Tigers,fujimu000tak,Takao Fujimura,34,27,44,40,2,8,2,0,0,2,0,0,1,17,0.2,0.214,0.25,0.464,10,0,0,2,1,0
1955,Osaka Tigers,goto--000tsu,Tsuguo Goto,31,69,158,156,6,35,5,0,1,15,0,2,1,16,0.224,0.228,0.276,0.503,43,5,0,0,1,0
1955,Osaka Tigers,ishiga000kaz,Kazuo Ishigaki,23,50,88,83,8,23,4,1,0,8,4,1,3,16,0.277,0.307,0.349,0.656,29,2,1,0,1,0
1955,Osaka Tigers,kajiok000tad,Tadayoshi Kajioka,34,9,14,11,1,1,0,0,0,0,0,0,1,1,0.091,0.167,0.091,0.258,1,0,0,2,0,0
1955,Osaka Tigers,kaneda003mas,Masayasu Kaneda*,34,126,549,488,47,124,16,4,2,32,11,14,53,57,0.254,0.327,0.316,0.642,154,5,1,4,3,1
1955,Osaka Tigers,kano--000koi,Koichi Kano,21,4,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1955,Osaka Tigers,kawani000tos,Toshio Kawanishi,35,7,12,9,1,2,1,0,0,2,0,0,0,0,0.222,0.222,0.333,0.556,3,0,0,3,0,0
1955,Osaka Tigers,kawadu000ken,Kenichi Kawazu,21,6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1955,Osaka Tigers,kimura002kaz,Kazuo Kimura,24,2,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1955,Osaka Tigers,komada000kei,Keiji Komada,29,14,24,21,1,5,0,0,0,2,0,0,1,3,0.238,0.273,0.238,0.511,5,0,0,2,0,0
1955,Osaka Tigers,koyama000mas,Masaaki Koyama,20,27,44,40,2,5,2,0,0,2,0,0,0,7,0.125,0.125,0.175,0.3,7,1,0,4,0,0
1955,Osaka Tigers,kusaka000aki,Akira Kusaka*,27,39,75,68,12,18,3,1,1,3,11,5,6,9,0.265,0.324,0.382,0.707,26,0,0,1,0,0
1955,Osaka Tigers,miyake000hid,Hideshi Miyake,21,126,409,385,34,95,11,5,3,24,18,9,19,67,0.247,0.283,0.325,0.608,125,7,1,3,1,1
1955,Osaka Tigers,miyaza000its,Itsuhito Miyazaki,19,7,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1955,Osaka Tigers,naiji-000mas,Masahiro Naiji,22,15,18,18,2,4,1,1,0,1,0,0,0,3,0.222,0.222,0.389,0.611,7,0,0,0,0,0
1955,Osaka Tigers,nishim002kaz,Kazunori Nishimura,19,60,105,97,3,13,1,0,0,1,0,0,6,29,0.134,0.185,0.144,0.329,14,0,0,2,0,0
1955,Osaka Tigers,nishio000shi,Shigetaka Nishio*,21,13,6,6,1,2,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,2,0,0,0,0,0
1955,Osaka Tigers,okada-000isa,Isao Okada,24,31,13,13,5,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
1955,Osaka Tigers,osaki-000mit,Mitsuo Osaki,23,39,55,53,3,9,1,0,0,2,0,0,1,6,0.17,0.185,0.189,0.374,10,1,0,1,0,0
1955,Osaka Tigers,sakaey000ets,Etsuo Sakaeya*,25,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,Osaka Tigers,sanada000juz,Juzo Sanada,32,16,19,19,2,5,1,0,0,1,0,0,0,4,0.263,0.263,0.316,0.579,6,1,0,0,0,0
1955,Osaka Tigers,shiras000cho,Choei Shirasaka,32,110,418,366,35,84,10,4,5,33,12,5,43,39,0.23,0.311,0.32,0.63,117,4,1,6,2,1
1955,Osaka Tigers,taki--000hid,Hideo Taki,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1955,Osaka Tigers,tamiya000ken,Kenjiro Tamiya*,27,117,458,427,41,123,25,2,4,43,21,14,20,48,0.288,0.336,0.384,0.72,164,5,11,0,0,1
1955,Osaka Tigers,tanida000hir,Hiromi Tanida,31,104,201,190,15,53,9,1,4,28,1,0,8,40,0.279,0.305,0.4,0.705,76,5,0,1,2,0
1955,Osaka Tigers,tokuam000shi,Shigeru Tokuami,31,105,304,287,11,63,6,3,0,20,3,3,8,13,0.22,0.239,0.261,0.501,75,9,1,3,5,2
1955,Osaka Tigers,watana005hir,Hiroyuki Watanabe,34,126,512,460,56,144,13,0,5,54,12,9,36,30,0.313,0.358,0.374,0.732,172,20,1,6,9,1
1955,Osaka Tigers,watana000sho,Shozo Watanabe,22,46,88,80,3,7,0,0,0,1,0,0,2,20,0.088,0.11,0.088,0.197,7,0,0,6,0,0
1955,Osaka Tigers,yamamo002tet,Tetsuya Yamamoto,20,54,73,69,8,17,2,0,0,2,1,0,3,9,0.246,0.288,0.275,0.563,19,0,1,0,0,0
1955,Osaka Tigers,yamana000mas,Masahiro Yamanaka*,18,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1955,Osaka Tigers,yokoya001koj,Mitsutsugu Yokoyama,22,69,122,111,16,23,6,0,2,10,3,2,7,21,0.207,0.256,0.315,0.572,35,3,1,1,2,0
1955,Osaka Tigers,yoshid000yos,Yoshio Yoshida,21,128,568,523,67,147,24,5,3,28,38,20,20,23,0.281,0.313,0.363,0.676,190,16,4,21,0,0
