Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1956,Nankai Hawks,anabuk000yos,Yoshio Anabuki,23,100,222,202,20,47,9,1,4,22,2,1,15,41,0.233,0.284,0.347,0.63,70,6,1,0,4,0
1956,Nankai Hawks,fujish000nob,Noboru Fujishige?,25,9,17,17,1,3,0,0,1,1,0,0,0,1,0.177,0.177,0.353,0.529,6,1,0,0,0,0
1956,Nankai Hawks,fukami000yas,Yasuhiro Fukami,36,17,15,13,1,3,3,0,0,1,0,0,2,5,0.231,0.333,0.462,0.795,6,0,0,0,0,0
1956,Nankai Hawks,hasega002shi,Shigeo Hasegawa*,23,125,321,284,33,80,16,2,4,37,7,5,31,36,0.282,0.363,0.394,0.757,112,2,5,1,0,0
1956,Nankai Hawks,hirose000yos,Yoshinori Hirose,19,19,26,25,4,10,1,1,0,5,2,0,1,3,0.4,0.423,0.52,0.943,13,1,0,0,0,0
1956,Nankai Hawks,horii-001kaz,Kazuo Horii,32,91,214,193,20,47,12,1,2,26,3,2,18,19,0.244,0.305,0.347,0.652,67,2,0,1,2,2
1956,Nankai Hawks,iida--000tok,Tokuji Iida,32,154,657,579,76,146,27,9,6,62,45,8,64,63,0.252,0.324,0.361,0.685,209,18,1,5,8,3
1956,Nankai Hawks,kageya000kaz,Kazuo Kageyama,29,109,291,235,44,55,13,3,4,15,14,8,40,39,0.234,0.343,0.366,0.709,86,1,1,11,4,1
1956,Nankai Hawks,kiduka000tad,Chusuke Kizuka,32,133,470,427,52,108,10,3,1,27,34,8,22,45,0.253,0.29,0.297,0.588,127,6,2,15,4,0
1956,Nankai Hawks,kotsuj000hid,Hideo Kotsuji,22,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,Nankai Hawks,kuroki000sad,Sadao Kuroki,21,5,5,3,0,0,0,0,0,0,0,0,1,2,0,0.25,0,0.25,0,0,0,1,0,0
1956,Nankai Hawks,maruko000hir,Hiroshi Maruko,23,13,9,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
1956,Nankai Hawks,masui-000mak,Makito Masui#,19,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,Nankai Hawks,matsui001jun,Jun Matsui,31,80,162,157,10,38,2,0,0,9,1,1,4,18,0.242,0.261,0.255,0.516,40,2,0,1,0,0
1956,Nankai Hawks,minaga000mut,Mutsuo Minagawa,20,60,46,37,2,4,1,0,0,1,0,0,3,11,0.108,0.175,0.135,0.31,5,1,0,6,0,0
1956,Nankai Hawks,minoha000hir,Hiroshi Minohara,26,139,474,422,33,102,18,1,7,41,14,7,40,76,0.242,0.31,0.339,0.649,143,14,3,6,3,0
1956,Nankai Hawks,morish000nob,Nobushige Morishita,22,148,597,538,77,153,25,2,6,61,56,22,26,33,0.284,0.329,0.372,0.701,200,2,13,13,7,1
1956,Nankai Hawks,nagami000tsu,Tsugunao Nagamitsu,19,55,54,48,1,5,0,0,0,1,0,0,5,24,0.104,0.189,0.104,0.293,5,0,0,1,0,0
1956,Nankai Hawks,nakamu000tai,Taisei Nakamura,20,30,35,33,3,5,0,0,0,1,0,0,0,4,0.152,0.177,0.152,0.328,5,1,1,1,0,0
1956,Nankai Hawks,nomo--000tok,Takumi Nomo*,25,39,83,73,6,17,1,2,0,9,0,1,4,15,0.233,0.273,0.301,0.574,22,0,0,6,0,0
1956,Nankai Hawks,nomura002kat,Katsuya Nomura,21,129,403,357,33,90,26,3,7,54,3,3,36,66,0.252,0.318,0.401,0.719,143,8,1,4,5,6
1956,Nankai Hawks,obata-000mas,Masaharu Obata,22,33,38,33,1,3,0,0,0,0,0,0,2,10,0.091,0.167,0.091,0.258,3,2,1,2,0,0
1956,Nankai Hawks,okamot000isa,Isami Okamoto,25,124,497,428,57,99,19,2,9,36,18,10,50,49,0.231,0.311,0.348,0.659,149,7,1,15,3,1
1956,Nankai Hawks,osawa-000kei,Keiji Osawa,24,145,439,386,40,100,11,2,4,30,18,12,34,56,0.259,0.318,0.329,0.647,127,5,1,15,3,1
1956,Nankai Hawks,oto---000yuk,Yuki Oto,24,97,21,20,18,4,0,0,0,0,15,6,0,7,0.2,0.2,0.2,0.4,4,0,0,1,0,0
1956,Nankai Hawks,shimab000ter,Teruo Shimabara*,29,87,106,93,8,13,1,0,1,12,1,2,11,11,0.14,0.231,0.183,0.414,17,1,0,2,0,2
1956,Nankai Hawks,shiras000yas,Yasuo Shirasaki,22,7,7,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
1956,Nankai Hawks,sugiya000koh,Kohei Sugiyama*,28,154,617,564,72,171,28,5,12,93,14,5,40,42,0.303,0.349,0.434,0.783,245,8,4,1,8,10
1956,Nankai Hawks,takuwa000mot,Motoji Takuwa,20,26,23,23,2,6,0,0,0,2,0,0,0,5,0.261,0.261,0.261,0.522,6,0,0,0,0,0
1956,Nankai Hawks,tanaka000ich,Ichiro Tanaka,24,40,53,45,3,8,2,0,0,2,1,1,6,8,0.178,0.289,0.222,0.511,10,0,1,1,0,0
1956,Nankai Hawks,tazawa000yos,Yoshio Tazawa,19,49,67,61,3,10,2,0,0,5,1,0,1,12,0.164,0.177,0.197,0.374,12,0,0,5,0,0
1956,Nankai Hawks,terada001yos,Yosuke Terada,21,144,306,267,23,66,9,0,7,32,3,3,26,56,0.247,0.325,0.36,0.684,96,3,6,4,3,2
1956,Nankai Hawks,togawa000ich,Ichiro Togawa,21,32,34,30,1,7,1,0,0,4,0,0,3,1,0.233,0.303,0.267,0.57,8,0,0,1,0,0
1956,Nankai Hawks,tomish000gor,Goro Tomishima,18,13,10,9,0,1,0,0,0,1,0,0,1,6,0.111,0.2,0.111,0.311,1,0,0,0,0,0
1956,Nankai Hawks,yamamo003yos,Yoshiji Yamamoto*,21,15,11,9,1,3,0,0,0,1,0,0,1,3,0.333,0.4,0.333,0.733,3,0,0,1,0,0
1956,Nankai Hawks,yuki--000sus,Susumu Yuki,35,3,3,2,0,2,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,1,0,0
