Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1958,Daimai Orions,arai--000shi,Shigeru Arai*,22,55,93,83,3,19,3,0,1,6,0,1,7,22,0.229,0.29,0.301,0.592,25,1,1,0,2,0
1958,Daimai Orions,arakaw000hir,Hiroshi Arakawa*,27,97,306,279,30,66,14,3,4,33,1,0,23,24,0.237,0.293,0.351,0.644,98,6,0,2,2,1
1958,Daimai Orions,aramak000ats,Atsushi Aramaki*,32,52,87,75,9,17,2,0,0,2,1,1,8,13,0.227,0.301,0.253,0.555,19,1,0,4,0,0
1958,Daimai Orions,daigo-000tak,Takeo Daigo,19,92,273,252,10,48,8,1,0,11,0,1,19,43,0.191,0.247,0.23,0.477,58,7,0,2,0,1
1958,Daimai Orions,enomot000kih,Kihachi Enomoto*,21,123,492,431,63,112,27,1,13,43,6,5,52,68,0.26,0.34,0.418,0.758,180,4,2,4,3,5
1958,Daimai Orions,esaki-000ter,Teruo Esaki,23,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,Daimai Orions,fukuts000kat,Katsuya Fukutsuka,19,7,2,2,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1,1,0,0,0,0,0
1958,Daimai Orions,hashim000chi,Chikara Hashimoto,24,75,92,82,9,13,2,0,1,5,5,3,7,30,0.159,0.233,0.22,0.453,18,0,1,2,0,0
1958,Daimai Orions,hatta-000tad,Tadashi Hatta*,21,46,129,121,11,32,9,1,0,8,4,5,4,13,0.265,0.288,0.355,0.643,43,2,0,4,0,0
1958,Daimai Orions,hirai-000yos,Yoshiaki Hirai,24,60,73,72,12,16,2,1,0,2,14,3,1,9,0.222,0.233,0.278,0.511,20,0,0,0,0,0
1958,Daimai Orions,katsur000tak,Takao Katsuragi,22,125,514,482,65,147,30,5,20,85,17,3,23,41,0.305,0.337,0.512,0.849,247,15,2,3,4,5
1958,Daimai Orions,komori000kos,Kosei Komori,26,68,156,142,16,28,7,2,0,10,6,2,14,35,0.197,0.269,0.275,0.544,39,1,0,0,0,1
1958,Daimai Orions,mihira000har,Haruki Mihira*,19,42,30,26,1,1,0,0,0,0,0,0,3,4,0.039,0.138,0.039,0.176,1,1,0,1,0,0
1958,Daimai Orions,miura-004mas,Masayoshi Miura,24,42,60,53,1,2,0,0,0,2,0,0,3,7,0.038,0.105,0.038,0.143,2,0,1,3,0,0
1958,Daimai Orions,moroki000mot,Motohiro Moroki,24,102,283,259,22,55,8,2,5,26,15,5,14,56,0.212,0.263,0.317,0.579,82,4,4,5,1,0
