Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1960,Taiyo Whales,akiyam000nob,Noboru Akiyama,26,61,87,80,3,10,3,0,0,4,0,1,0,26,0.125,0.124,0.163,0.286,13,1,0,6,1,0
1960,Taiyo Whales,aso---000san,Saneo Aso,22,92,146,138,8,35,7,1,1,17,0,0,6,23,0.254,0.281,0.341,0.621,47,4,0,0,2,2
1960,Taiyo Whales,doi---000kiy,Kiyoshi Doi,27,117,318,269,13,57,10,0,2,22,4,6,32,46,0.212,0.298,0.271,0.569,73,2,1,16,0,2
1960,Taiyo Whales,edamur000tsu,Tsutomu Edamura,27,23,27,26,2,2,0,0,0,1,0,0,0,7,0.077,0.077,0.077,0.154,2,1,0,1,0,0
1960,Taiyo Whales,fuda--000tos,Toshio Fuda,18,2,5,5,1,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,1,0,0,0,0,0
1960,Taiyo Whales,gondo-000mas,Masatoshi Gondo*,26,50,55,51,4,16,2,1,0,5,0,0,2,11,0.314,0.34,0.392,0.732,20,0,0,2,0,0
1960,Taiyo Whales,haijim000his,Hisami Haijima,25,13,11,10,0,0,0,0,0,0,0,0,1,6,0,0.091,0,0.091,0,0,0,0,0,0
1960,Taiyo Whales,hamana000yos,Yoshikazu Hamanaka,22,94,152,135,12,25,3,1,1,11,12,3,4,23,0.185,0.213,0.244,0.457,33,3,1,11,1,0
1960,Taiyo Whales,hayama000jir,Jiro Hayama,19,11,2,2,2,2,1,0,0,0,0,0,0,0,1,1,1.5,2.5,3,0,0,0,0,0
1960,Taiyo Whales,honda-000tak,Takeshi Honda,22,17,14,13,0,1,0,0,0,0,1,0,1,4,0.077,0.143,0.077,0.22,1,0,0,0,0,0
1960,Taiyo Whales,iwamot003tak,Takashi Iwamoto,30,116,341,316,36,73,18,3,2,20,6,11,17,40,0.231,0.275,0.326,0.601,103,4,2,6,0,1
1960,Taiyo Whales,iwaoka000yas,Yasuhiro Iwaoka,26,53,69,63,5,9,3,0,1,4,3,0,6,10,0.143,0.217,0.238,0.456,15,0,0,0,0,0
1960,Taiyo Whales,kanemi000hid,Hidenori Kanemitsu*,25,83,187,180,14,46,12,0,5,20,3,0,5,22,0.256,0.274,0.406,0.68,73,4,0,1,1,0
1960,Taiyo Whales,koda--001mas,Masaru Koda,21,24,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1960,Taiyo Whales,kondo-000aki,Akihito Kondo,22,117,425,389,38,88,17,5,4,40,17,7,25,82,0.226,0.272,0.327,0.599,127,6,0,10,1,2
1960,Taiyo Whales,kondo-000har,Haruhiko Kondo,24,31,32,29,3,2,1,0,0,0,0,0,2,5,0.069,0.129,0.103,0.232,3,0,0,1,0,0
1960,Taiyo Whales,kondo-000kaz,Kazuhiko Kondo*,24,128,525,459,60,145,21,4,7,55,20,12,55,45,0.316,0.387,0.425,0.811,195,5,1,5,5,5
1960,Taiyo Whales,kuroki000hir,Hiroshige Kuroki,27,19,21,20,2,4,0,1,0,0,0,0,1,5,0.2,0.238,0.3,0.538,6,0,0,0,0,0
1960,Taiyo Whales,kuroki000mot,Motoyasu Kuroki,24,100,365,340,31,79,15,3,9,37,22,7,17,75,0.232,0.269,0.374,0.643,127,13,1,5,2,2
1960,Taiyo Whales,kuwata000tak,Takeshi Kuwata,23,114,443,392,50,118,15,7,16,67,16,3,44,72,0.301,0.373,0.497,0.87,195,10,3,0,4,12
1960,Taiyo Whales,mine--000kun,Kuniyasu Mine,19,32,12,11,0,2,1,0,0,0,0,0,0,5,0.182,0.182,0.273,0.455,3,0,0,1,0,0
1960,Taiyo Whales,miyamo001kaz,Kazuyoshi Miyamoto,23,37,16,16,2,3,0,0,1,1,0,0,0,4,0.188,0.188,0.375,0.563,6,0,0,0,0,0
1960,Taiyo Whales,nakamu000tos,Toshiyuki Nakamura,23,34,61,57,1,7,1,0,0,1,0,1,2,8,0.123,0.153,0.14,0.293,8,1,0,2,0,0
1960,Taiyo Whales,nishiy000hid,Hidehito Nishiyama,22,3,4,4,0,1,1,0,0,0,0,0,0,1,0.25,0.25,0.5,0.75,2,0,0,0,0,0
1960,Taiyo Whales,oishi-001mas,Masahiko Oishi,24,51,43,37,2,5,1,0,0,1,1,0,3,18,0.135,0.2,0.162,0.362,6,0,0,3,0,0
1960,Taiyo Whales,okiyam000ter,Terutoshi Okiyama*,27,106,282,242,33,59,8,4,1,16,17,3,27,54,0.244,0.317,0.322,0.64,78,2,0,11,2,0
1960,Taiyo Whales,shiban000tad,Tadao Shibano,22,20,26,21,4,3,0,0,1,3,1,1,4,7,0.143,0.269,0.286,0.555,6,0,0,0,1,0
1960,Taiyo Whales,shimad000gen,Gentaro Shimada,20,50,82,76,4,5,0,0,0,3,0,0,3,27,0.066,0.101,0.066,0.167,5,4,0,3,0,0
1960,Taiyo Whales,shimad000yuk,Yukio Shimada*,23,72,115,101,13,25,5,2,4,12,2,1,10,16,0.248,0.319,0.455,0.774,46,3,1,2,1,1
1960,Taiyo Whales,shiman000mas,Masanobu Shimano,20,68,107,96,6,16,3,0,1,8,0,0,8,31,0.167,0.229,0.229,0.458,22,0,0,2,1,0
1960,Taiyo Whales,suzuki007tak,Takashi Suzuki*,26,46,47,45,3,7,3,1,1,4,0,0,2,13,0.156,0.192,0.333,0.525,15,0,0,0,0,0
1960,Taiyo Whales,suzuki009tak,Takeshi Suzuki,28,76,271,252,29,53,8,1,0,16,12,5,13,27,0.21,0.252,0.25,0.502,63,4,1,5,0,3
1960,Taiyo Whales,tomita000tak,Takayoshi Tomita,19,1,4,3,0,0,0,0,0,0,0,0,1,1,0,0.25,0,0.25,0,0,0,0,0,0
1960,Taiyo Whales,watana000kiy,Kiyoshi Watanabe,27,120,315,274,30,58,10,1,3,13,12,9,32,72,0.212,0.296,0.288,0.585,79,7,1,8,0,0
