Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1960,Toei Flyers,ando--000jun,Junzo Ando,25,26,52,46,2,10,1,0,0,4,0,0,4,9,0.217,0.28,0.239,0.519,11,1,0,2,0,0
1960,Toei Flyers,busuji000sho,Shoichi Busujima*,24,119,446,406,53,111,14,2,7,31,12,3,34,37,0.273,0.33,0.37,0.7,150,2,1,4,1,2
1960,Toei Flyers,dobash000mas,Masayuki Dobashi,24,44,101,95,6,20,1,0,2,10,0,0,0,19,0.211,0.208,0.284,0.493,27,2,0,5,1,0
1960,Toei Flyers,fujino000tak,Takashi Fujino,19,11,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1960,Toei Flyers,goto--000tak,Takeharu Goto,22,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1960,Toei Flyers,harimo000isa,Isao Harimoto*,20,106,414,384,49,116,25,3,16,56,15,4,26,56,0.302,0.35,0.508,0.858,195,1,3,0,1,6
1960,Toei Flyers,hashim000sta,Stanley Hashimoto?,27,77,176,164,11,35,4,0,1,9,1,1,5,23,0.213,0.24,0.256,0.496,42,5,1,5,1,0
1960,Toei Flyers,hashiz000fum,Fumio Hashizume*,23,45,38,38,2,4,0,0,0,1,0,0,0,11,0.105,0.105,0.105,0.211,4,1,0,0,0,0
1960,Toei Flyers,inagak000mas,Masao Inagaki,24,102,331,297,32,80,8,3,2,21,13,5,21,31,0.269,0.324,0.337,0.661,100,4,4,7,2,0
1960,Toei Flyers,ishiha000ter,Teruo Ishihara,30,33,54,49,4,7,1,0,0,0,1,0,0,3,0.143,0.16,0.163,0.323,8,1,1,4,0,0
1960,Toei Flyers,kanaya000kat,Katsumi Kanayama,27,32,28,27,2,4,0,0,0,1,0,0,0,11,0.148,0.148,0.148,0.296,4,0,0,1,0,0
1960,Toei Flyers,kawaha002aki,Akira Kawaharada*,19,6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1960,Toei Flyers,kawadu000ken,Kenichi Kawazu,26,34,85,78,7,15,2,1,1,10,2,3,4,13,0.192,0.247,0.282,0.529,22,3,2,0,1,0
1960,Toei Flyers,kimura000gun,Gunji Kimura,21,41,61,57,6,8,3,0,3,10,0,0,4,24,0.14,0.197,0.351,0.548,20,0,0,0,0,0
1960,Toei Flyers,kubota000osa,Osamu Kubota,25,48,52,50,5,14,3,0,1,4,0,0,0,10,0.28,0.28,0.4,0.68,20,1,0,2,0,0
1960,Toei Flyers,kurosa000tak,Takeshi Kurosaki,19,7,13,11,0,3,0,0,0,1,0,0,1,2,0.273,0.308,0.273,0.58,3,0,0,0,1,0
1960,Toei Flyers,ladra-001jac,Jack Ladra,27,103,363,335,40,82,16,5,4,32,14,5,22,71,0.245,0.294,0.358,0.652,120,6,2,2,2,2
1960,Toei Flyers,makino000nob,Noboru Makino,23,11,7,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
1960,Toei Flyers,maruya000mas,Masami Maruyama,23,22,44,39,1,13,3,0,0,2,0,1,4,7,0.333,0.395,0.41,0.806,16,2,0,1,0,0
1960,Toei Flyers,matsum002shu,Shunichi Matsumoto,19,11,10,10,2,2,1,0,0,0,1,0,0,2,0.2,0.2,0.3,0.5,3,0,0,0,0,0
1960,Toei Flyers,matsuo000mas,Masatoshi Matsuoka,27,101,288,263,23,72,5,2,4,19,3,8,15,20,0.274,0.311,0.354,0.664,93,8,0,8,2,0
1960,Toei Flyers,mizuno000sad,Sadao Mizuno,23,17,18,17,0,1,0,0,0,0,1,0,1,7,0.059,0.111,0.059,0.17,1,0,0,0,0,0
1960,Toei Flyers,okada-000tad,Tadahiro Okada,25,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1960,Toei Flyers,ryu---000ken,Kenichi Ryu,23,35,19,18,0,2,0,0,0,0,0,0,1,6,0.111,0.158,0.111,0.269,2,0,0,0,0,0
1960,Toei Flyers,saga--000ken,Kenshiro Saga,22,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1960,Toei Flyers,saionj000aki,Akio Saionji,22,116,417,371,42,82,14,3,14,33,16,4,39,81,0.221,0.295,0.388,0.684,144,6,1,4,2,0
1960,Toei Flyers,shimad000yuj,Yuji Shimada*,25,60,94,85,9,20,2,0,2,6,2,2,8,23,0.235,0.309,0.329,0.638,28,1,1,0,0,1
1960,Toei Flyers,takagi000kim,Kimio Takagi*,29,73,149,132,9,25,1,0,1,4,2,6,9,17,0.189,0.239,0.22,0.459,29,0,0,7,1,0
1960,Toei Flyers,takano001kaz,Kazuhiko Takano,20,32,42,39,1,3,1,1,0,1,0,0,0,21,0.077,0.077,0.154,0.231,6,3,0,3,0,0
1960,Toei Flyers,takash000mas,Masayoshi Takashima,22,49,110,101,7,22,1,1,1,9,0,0,7,21,0.218,0.269,0.277,0.546,28,2,0,2,0,0
1960,Toei Flyers,takei-000edd,Eddie Takei?,21,117,335,318,14,52,7,2,0,22,4,0,8,63,0.164,0.186,0.198,0.384,63,4,1,7,1,0
1960,Toei Flyers,tomina000tad,Kakuro Tominaga,23,6,6,6,1,1,0,0,0,0,0,0,0,2,0.167,0.167,0.167,0.333,1,0,0,0,0,0
1960,Toei Flyers,tsukam000ets,Etsuro Tsukamoto,35,41,65,61,6,13,3,0,0,3,0,1,4,10,0.213,0.262,0.262,0.524,16,1,0,0,0,1
1960,Toei Flyers,yamamo000hac,Hachiro Yamamoto,22,119,424,402,47,100,10,4,13,53,16,7,13,45,0.249,0.278,0.391,0.668,157,10,3,6,0,2
1960,Toei Flyers,yamamo003yos,Yoshiji Yamamoto*,25,46,58,51,5,9,0,0,0,2,0,0,4,18,0.177,0.236,0.177,0.413,9,0,0,3,0,0
1960,Toei Flyers,yoshid000kat,Katsutoyo Yoshida,25,130,523,462,50,117,21,3,8,44,11,8,50,110,0.253,0.324,0.364,0.688,168,13,0,8,3,2
