Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1964,Hiroshima Carp,anan--000jun,Junro Anan,26,137,504,468,29,115,15,2,6,47,4,3,25,39,0.246,0.286,0.325,0.611,152,13,2,8,1,1
1964,Hiroshima Carp,aniya-000soh,Sohachi Aniya,19,38,21,19,0,4,0,0,0,1,0,0,0,7,0.211,0.211,0.211,0.421,4,0,0,2,0,0
1964,Hiroshima Carp,doi---000fum,Fumio Doi,23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,Hiroshima Carp,fujii-000hir,Hiromu Fujii,28,133,480,403,51,92,20,0,13,45,4,3,61,46,0.228,0.334,0.375,0.709,151,16,5,7,4,2
1964,Hiroshima Carp,harada000yos,Yoshiomi Harada,21,5,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
1964,Hiroshima Carp,hiraya001sat,Satoshi Hirayama,34,25,26,22,1,4,2,1,0,4,2,0,3,7,0.182,0.28,0.364,0.644,8,0,0,1,0,0
1964,Hiroshima Carp,hirose000mas,Masahiko Hirose,30,33,15,13,0,1,0,0,0,0,0,0,1,7,0.077,0.143,0.077,0.22,1,0,0,1,0,0
1964,Hiroshima Carp,ikeda-000hid,Hidetoshi Ikeda,27,36,80,76,3,15,2,0,0,4,0,0,2,10,0.197,0.218,0.224,0.442,17,2,0,2,0,0
1964,Hiroshima Carp,inao--000yos,Yoshifumi Inao,27,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1964,Hiroshima Carp,jono--000kat,Katsuhiro Jono,19,15,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1964,Hiroshima Carp,kawaha000mas,Masakazu Kawahara,27,21,35,28,1,4,0,0,0,1,0,0,4,4,0.143,0.25,0.143,0.393,4,1,0,3,0,0
1964,Hiroshima Carp,kinosh000kyo,Kyozo Kinoshita*,27,31,29,24,1,4,1,0,0,0,0,0,4,6,0.167,0.31,0.208,0.519,5,0,1,0,0,0
1964,Hiroshima Carp,koba--000tak,Takeshi Koba,28,120,524,476,44,104,10,2,2,25,57,18,35,51,0.219,0.272,0.261,0.532,124,12,1,9,3,2
1964,Hiroshima Carp,kosaka000yos,Yoshitaka Kosaka,28,69,129,118,5,17,1,0,2,12,3,0,6,19,0.144,0.189,0.203,0.392,24,4,1,2,2,1
1964,Hiroshima Carp,kubo--000sho,Shoji Kubo,22,53,55,48,5,8,1,0,1,2,0,0,6,8,0.167,0.273,0.25,0.523,12,1,1,0,0,0
1964,Hiroshima Carp,miura-000kaz,Kazumi Miura,22,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1964,Hiroshima Carp,miyaga000tak,Takao Miyagawa*,28,60,106,95,7,32,6,0,3,22,1,0,7,7,0.337,0.396,0.495,0.891,47,2,3,0,1,0
1964,Hiroshima Carp,morika000tak,Takuro Morikawa*,22,21,20,17,1,1,0,0,0,0,0,0,1,6,0.059,0.111,0.059,0.17,1,0,0,2,0,0
1964,Hiroshima Carp,morina000kat,Katsuya Morinaga*,30,131,433,387,42,114,15,3,12,53,5,3,39,34,0.295,0.36,0.442,0.802,171,7,2,2,3,3
1964,Hiroshima Carp,nagao-000tat,Tatsuo Nagao,24,16,22,21,0,1,0,0,0,1,0,0,0,6,0.048,0.046,0.048,0.093,1,1,0,0,1,0
1964,Hiroshima Carp,nishik000kat,Katsuhiro Nishikawa,20,27,25,21,1,1,1,0,0,0,0,0,3,8,0.048,0.167,0.095,0.262,2,1,0,1,0,0
1964,Hiroshima Carp,oba---000sus,Susumu Oba*,23,47,34,33,0,7,0,1,0,3,0,0,1,8,0.212,0.235,0.273,0.508,9,0,0,0,0,0
1964,Hiroshima Carp,ogawa-004hir,Hirofumi Ogawa,19,18,30,28,1,11,2,0,0,2,1,0,1,6,0.393,0.414,0.464,0.878,13,1,0,1,0,0
1964,Hiroshima Carp,oishi-000kiy,Kiyoshi Oishi,24,52,98,84,7,11,1,0,3,5,0,0,2,22,0.131,0.151,0.25,0.401,21,1,0,12,0,0
1964,Hiroshima Carp,okitsu000tat,Tatsuo Okitsu,28,131,520,464,63,125,16,2,17,55,7,5,44,73,0.269,0.34,0.422,0.762,196,15,6,5,1,1
1964,Hiroshima Carp,owada-000aki,Akira Owada,30,139,593,556,58,155,20,3,18,59,15,13,25,51,0.279,0.312,0.423,0.735,235,11,3,6,3,3
1964,Hiroshima Carp,ryu---000ken,Kenichi Ryu,27,59,44,36,2,5,1,0,0,1,0,0,3,5,0.139,0.205,0.167,0.372,6,0,0,5,0,0
1964,Hiroshima Carp,saiga-000yuk,Yukio Saiga,20,2,2,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,1,0,0,0,0,0
1964,Hiroshima Carp,sasaki000yuz,Yuzo Sasaki,24,89,81,72,11,11,2,0,0,2,4,0,5,12,0.153,0.208,0.181,0.388,13,0,0,4,0,0
1964,Hiroshima Carp,sonoda000tos,Toshihiko Sonoda,19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,Hiroshima Carp,takaok000shi,Shigeki Takaoka,20,25,26,23,2,8,1,0,0,4,0,0,2,4,0.348,0.423,0.391,0.814,9,0,1,0,0,0
1964,Hiroshima Carp,tanaka003tak,Takashi Tanaka,28,132,350,321,24,65,7,1,0,20,3,2,16,39,0.203,0.24,0.231,0.47,74,3,1,8,4,1
1964,Hiroshima Carp,ugari-000mic,Michio Ukari,27,49,60,56,4,12,0,0,0,4,0,0,1,9,0.214,0.228,0.214,0.442,12,1,0,3,0,0
1964,Hiroshima Carp,urushi000kat,Katsuhisa Urushihata,24,58,112,103,11,17,5,0,2,8,1,1,5,15,0.165,0.211,0.272,0.483,28,1,1,3,0,0
1964,Hiroshima Carp,yagi--000tak,Takashi Yagi*,23,6,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
1964,Hiroshima Carp,yamamo006kaz,Kazuyoshi Yamamoto*,25,111,464,396,51,115,24,2,11,44,1,2,60,33,0.29,0.386,0.444,0.83,176,3,4,0,4,4
1964,Hiroshima Carp,yokomi000kat,Katsura Yokomizo*,28,97,284,256,37,72,6,3,8,28,8,9,20,20,0.281,0.331,0.422,0.753,108,1,1,3,4,1
