Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1964,Kokutetsu Swallows,hanzaw000shi,Shiro Hanzawa,19,34,52,43,2,3,0,0,0,3,0,0,4,14,0.07,0.149,0.07,0.219,3,0,0,5,0,0
1964,Kokutetsu Swallows,hirai-000yos,Yoshiaki Hirai,30,76,37,35,14,6,0,0,0,0,14,3,1,3,0.171,0.194,0.171,0.366,6,1,0,1,0,0
1964,Kokutetsu Swallows,hiraiw000tsu,Tsuguo Hiraiwa,28,66,142,131,7,34,5,0,1,6,1,0,4,20,0.26,0.279,0.321,0.6,42,3,0,6,1,0
1964,Kokutetsu Swallows,hoshiy000yos,Shintoku Hoshiyama*,25,111,273,246,18,67,10,0,4,28,3,4,23,33,0.272,0.331,0.362,0.693,89,4,0,1,3,3
1964,Kokutetsu Swallows,ishiok000koz,Kozo Ishioka,23,25,15,14,0,3,0,0,0,2,0,0,1,3,0.214,0.267,0.214,0.481,3,0,0,0,0,0
1964,Kokutetsu Swallows,kaneda002mas,Masaichi Kaneda*,30,49,126,114,11,27,6,0,3,13,0,0,8,15,0.237,0.287,0.368,0.655,42,5,0,4,0,0
1964,Kokutetsu Swallows,kobuch000tai,Taisuke Kobuchi,29,127,436,399,52,122,14,3,15,48,12,9,23,81,0.306,0.351,0.469,0.819,187,13,5,8,1,0
1964,Kokutetsu Swallows,kurash000kes,Kesanori Kurashima,24,15,10,10,0,2,1,0,0,0,0,0,0,2,0.2,0.2,0.3,0.5,3,1,0,0,0,0
1964,Kokutetsu Swallows,machid000yuk,Yukihiko Machida,30,81,150,128,13,28,4,0,3,7,8,0,19,35,0.219,0.324,0.32,0.645,41,6,1,2,0,0
1964,Kokutetsu Swallows,maruya000kan,Kanji Maruyama,24,84,259,245,29,68,14,1,1,9,4,8,9,35,0.278,0.303,0.355,0.658,87,8,0,5,0,0
1964,Kokutetsu Swallows,miyamo000tos,Toshio Miyamoto,31,72,112,97,3,26,5,0,0,6,1,1,10,17,0.268,0.351,0.32,0.671,31,3,3,1,1,0
1964,Kokutetsu Swallows,morita002yos,Yoshimi Moritaki,26,44,44,42,4,3,0,0,0,0,0,0,2,18,0.071,0.114,0.071,0.185,3,0,0,0,0,0
1964,Kokutetsu Swallows,murata000gen,Genichi Murata,26,27,36,32,3,7,3,0,0,0,0,0,0,5,0.219,0.242,0.313,0.555,10,0,1,3,0,0
1964,Kokutetsu Swallows,negoro000hir,Hiromitsu Negoro,27,118,383,356,24,87,15,2,5,33,3,2,14,32,0.244,0.28,0.34,0.62,121,11,5,5,3,5
1964,Kokutetsu Swallows,nishio000sei,Seikichi Nishioka,27,49,49,48,0,10,3,1,0,0,0,0,1,4,0.208,0.225,0.313,0.537,15,0,0,0,0,0
1964,Kokutetsu Swallows,okamot002yos,Yoshitaka Okamoto,23,4,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1964,Kokutetsu Swallows,sato--000iss,Issei Sato,19,7,11,11,0,2,0,0,0,1,0,0,0,4,0.182,0.182,0.182,0.364,2,0,0,0,0,0
1964,Kokutetsu Swallows,sato--000sus,Susumu Sato,21,50,65,59,1,10,0,0,0,4,0,0,2,16,0.17,0.197,0.17,0.366,10,0,0,4,0,0
1964,Kokutetsu Swallows,shibut000sei,Seiji Shibutani*,25,52,44,39,2,4,0,0,0,0,0,0,2,14,0.103,0.146,0.103,0.249,4,0,0,3,0,0
1964,Kokutetsu Swallows,shinod000isa,Isamu Shinoda,23,61,51,49,6,6,1,0,0,1,1,0,1,11,0.122,0.137,0.143,0.28,7,3,0,0,1,0
1964,Kokutetsu Swallows,sugimo000kim,Kimitaka Sugimoto,25,127,458,417,38,93,9,1,10,36,5,2,32,56,0.223,0.279,0.321,0.601,134,6,1,7,1,0
1964,Kokutetsu Swallows,suzuki000kiy,Kiyotake Suzuki,23,22,2,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,0
1964,Kokutetsu Swallows,takaba000tsu,Tsuneo Takabayashi,26,112,337,295,32,61,9,2,4,18,16,5,31,47,0.207,0.289,0.292,0.58,86,6,3,8,0,2
1964,Kokutetsu Swallows,takaya000tad,Tadakatsu Takayama,20,127,427,407,33,89,13,1,18,55,4,2,13,90,0.219,0.246,0.388,0.634,158,12,3,0,4,0
1964,Kokutetsu Swallows,tokuta000sad,Sadayuki Tokutake,26,140,592,540,63,142,18,2,15,65,5,7,45,46,0.263,0.319,0.387,0.706,209,24,1,2,4,0
1964,Kokutetsu Swallows,toyoda000yas,Yasumitsu Toyoda,29,120,469,393,71,108,20,2,24,59,7,5,72,63,0.275,0.385,0.519,0.904,204,14,0,1,3,8
1964,Kokutetsu Swallows,tsuchi002mas,Masataka Tsuchiya,28,69,179,161,12,38,5,0,1,17,8,1,15,20,0.236,0.301,0.286,0.587,46,2,0,3,0,0
1964,Kokutetsu Swallows,wakebe000yos,Yoshio Wakebe,23,116,437,376,48,92,12,0,13,45,9,8,46,56,0.245,0.329,0.38,0.709,143,11,2,11,2,0
