Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1965,Sankei Swallows,akai--000kiy,Kiyoji Akai*,21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,Sankei Swallows,taigo-000tos,Toshimitsu Daigo,21,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1965,Sankei Swallows,fukuto000kun,Kunio Fukutomi*,22,109,246,226,15,53,12,1,2,12,3,4,16,63,0.235,0.288,0.323,0.611,73,3,1,3,0,1
1965,Sankei Swallows,hanzaw000shi,Shiro Hanzawa,20,3,5,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,1,0,0,1,0,0
1965,Sankei Swallows,hiraiw000tsu,Tsuguo Hiraiwa,29,72,139,130,6,27,1,0,1,5,0,0,7,26,0.208,0.254,0.239,0.492,31,6,1,1,0,2
1965,Sankei Swallows,hoshiy000yos,Shintoku Hoshiyama*,26,89,232,210,19,43,8,1,3,15,1,1,21,33,0.205,0.28,0.295,0.575,62,6,1,0,0,0
1965,Sankei Swallows,hosoda000mas,Masahiko Hosoda,18,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,Sankei Swallows,ishido000shi,Shiroku Ishido,24,56,58,48,2,2,0,0,0,1,0,0,7,16,0.042,0.164,0.042,0.205,2,0,0,3,0,0
1965,Sankei Swallows,ishiok000koz,Kozo Ishioka,24,28,9,8,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0
1965,Sankei Swallows,kameda000nob,Nobuo Kameda,25,27,30,30,0,6,0,0,0,2,0,0,0,6,0.2,0.2,0.2,0.4,6,0,0,0,0,0
1965,Sankei Swallows,kobaya000mak,Makoto Kobayashi,20,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1965,Sankei Swallows,kobuch000tai,Taisuke Kobuchi,30,130,456,407,45,100,13,0,17,48,18,6,35,111,0.246,0.31,0.403,0.713,164,14,5,5,4,2
1965,Sankei Swallows,kurash000kes,Kesanori Kurashima,25,15,16,16,0,3,0,0,0,0,0,0,0,7,0.188,0.188,0.188,0.375,3,1,0,0,0,0
1965,Sankei Swallows,maruya000kan,Kanji Maruyama,25,122,409,372,28,91,12,4,2,16,4,9,24,33,0.245,0.293,0.315,0.607,117,10,2,9,2,0
1965,Sankei Swallows,matsum000yus,Yusaku Matsumoto*,25,3,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,1,0,0,0,0,0
1965,Sankei Swallows,morita002yos,Yoshimi Moritaki,27,16,6,6,0,1,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.333,1,0,0,0,0,0
