Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1967,Sankei Atoms,akai--000kiy,Kiyoji Akai*,23,9,5,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1967,Sankei Atoms,asano-000kei,Keishi Asano,18,51,41,37,1,4,1,0,0,1,0,0,0,7,0.108,0.105,0.135,0.24,5,1,0,3,1,0
1967,Sankei Atoms,fukuto000kun,Kunio Fukutomi*,24,93,148,134,24,29,5,2,2,5,1,2,10,24,0.216,0.274,0.328,0.602,44,1,1,2,1,1
1967,Sankei Atoms,hamagu000mas,Masanobu Hamaguchi,19,10,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1967,Sankei Atoms,hosoda000mas,Masahiko Hosoda,20,5,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,1,0,0,0,0,0
1967,Sankei Atoms,inoue-000yoi,Yoichi Inoue,18,6,3,3,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
1967,Sankei Atoms,ishido000shi,Shiroku Ishido,26,51,87,74,2,9,0,0,0,1,0,0,5,23,0.122,0.188,0.122,0.309,9,0,1,7,0,0
1967,Sankei Atoms,ishiok000koz,Kozo Ishioka,26,24,14,14,1,2,0,0,0,1,0,0,0,8,0.143,0.143,0.143,0.286,2,0,0,0,0,0
1967,Sankei Atoms,jackso001lou,Lou Jackson*,31,117,480,439,72,130,27,1,28,79,13,7,36,76,0.296,0.351,0.554,0.904,243,10,2,1,2,9
1967,Sankei Atoms,kato--000tos,Toshio Kato,19,41,48,45,1,4,0,0,0,2,0,0,2,9,0.089,0.146,0.089,0.235,4,0,1,0,0,0
1967,Sankei Atoms,kido--000nor,Norifumi Kido,28,104,319,289,22,72,12,2,5,25,2,3,28,54,0.249,0.316,0.356,0.672,103,7,0,2,0,1
1967,Sankei Atoms,kobuch000tai,Taisuke Kobuchi,32,91,213,189,29,48,8,1,12,29,5,2,20,38,0.254,0.335,0.497,0.832,94,7,3,1,0,1
