Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1977,Crown Lighter Lions,doi---002mas,Masahiro Doi,33,123,495,428,45,106,8,0,24,67,3,4,57,35,0.248,0.34,0.435,0.775,186,10,5,1,4,4
1977,Crown Lighter Lions,hansen004rob,Bob Hansen*,29,125,489,449,53,121,14,0,20,60,2,3,39,66,0.27,0.327,0.434,0.762,195,4,0,0,1,1
1977,Crown Lighter Lions,hasega000kaz,Kazuo Hasegawa*,32,82,218,207,14,51,7,0,5,17,0,2,5,10,0.246,0.269,0.353,0.621,73,5,2,2,2,0
1977,Crown Lighter Lions,hirose000osa,Osamu Hirose,30,103,346,308,27,84,10,1,4,30,1,5,25,28,0.273,0.334,0.351,0.685,108,6,4,8,1,1
1977,Crown Lighter Lions,kanesh000osa,Osamu Kaneshiro,22,8,6,5,2,0,0,0,0,0,0,0,0,4,0,0.167,0,0.167,0,0,1,0,0,0
1977,Crown Lighter Lions,kawamu000hir,Hiroaki Kawamura,24,61,8,6,8,0,0,0,0,0,1,1,1,1,0,0.25,0,0.25,0,0,1,0,0,0
1977,Crown Lighter Lions,kusuki000tor,Toru Kusuki,26,76,145,135,14,35,4,0,1,14,4,3,4,20,0.259,0.284,0.311,0.595,42,2,1,4,1,0
1977,Crown Lighter Lions,mayumi001aki,Akinobu Mayumi,23,116,295,276,37,72,9,1,6,14,21,8,8,35,0.261,0.28,0.366,0.646,101,5,0,9,2,0
1977,Crown Lighter Lions,motoi-000mit,Mitsuo Motoi,30,119,494,422,48,111,13,5,11,39,22,16,57,74,0.263,0.35,0.396,0.746,167,7,1,11,3,1
1977,Crown Lighter Lions,nishid000tak,Takahiro Nishida,26,3,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1977,Crown Lighter Lions,nishiz000mas,Masaji Nishizawa,30,13,14,13,0,2,1,0,0,0,0,0,1,2,0.154,0.214,0.231,0.445,3,1,0,0,0,1
1977,Crown Lighter Lions,ota---001tak,Takuji Ota,26,96,292,273,30,72,6,0,13,40,5,1,13,41,0.264,0.297,0.429,0.725,117,8,1,2,3,1
1977,Crown Lighter Lions,rosari001ang,Jimmy Rosario#,32,107,290,257,27,56,9,0,5,18,5,4,29,57,0.218,0.3,0.311,0.611,80,6,1,3,0,0
1977,Crown Lighter Lions,shimad000kei,Keiichi Shimazu,28,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,Crown Lighter Lions,suzuki000har,Haruhiko Suzuki*,25,97,151,138,11,23,2,1,3,12,0,1,11,28,0.167,0.227,0.261,0.488,36,5,0,1,1,0
1977,Crown Lighter Lions,suzuki000ter,Teruo Suzuki,30,14,3,3,1,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,1,0,0,0,0,0
1977,Crown Lighter Lions,takeno000mas,Masashi Takenouchi,32,119,421,388,58,102,11,0,26,51,9,4,19,54,0.263,0.314,0.492,0.807,191,12,11,1,2,3
1977,Crown Lighter Lions,tokuya000fum,Fumimune Tokuyama*,22,23,22,21,1,0,0,0,0,0,0,0,1,6,0,0.046,0,0.046,0,0,0,0,0,0
1977,Crown Lighter Lions,tsuboi000shi,Shinzaburo Tsuboi,31,58,60,54,5,11,2,0,0,3,1,0,4,10,0.204,0.259,0.241,0.499,13,2,0,2,0,0
1977,Crown Lighter Lions,wakana001yos,Yoshiharu Wakana,23,103,340,318,29,93,10,1,4,29,1,8,10,29,0.293,0.323,0.368,0.691,117,7,5,6,1,0
1977,Crown Lighter Lions,yamamu000yos,Yoshinori Yamamura,22,88,216,200,13,43,7,2,0,18,0,2,8,27,0.215,0.261,0.27,0.531,54,5,5,1,2,0
1977,Crown Lighter Lions,yoshio000sat,Satoru Yoshioka*,28,114,424,387,44,88,14,1,6,36,15,2,21,43,0.227,0.269,0.315,0.585,122,7,2,12,2,0
