Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1978,Hankyu Braves,fujii-000eij,Eiji Fujii*,38,35,48,45,1,8,2,0,0,5,0,0,1,2,0.178,0.192,0.222,0.414,10,0,0,1,1,1
1978,Hankyu Braves,fukumo000yut,Yutaka Fukumoto*,30,130,595,526,107,171,35,10,8,34,70,21,60,65,0.325,0.399,0.475,0.874,250,4,5,3,1,4
1978,Hankyu Braves,hiraba000jir,Jiro Hirabayashi#,29,48,18,15,10,3,0,0,0,0,2,1,3,1,0.2,0.333,0.2,0.533,3,2,0,0,0,0
1978,Hankyu Braves,inoue-001osa,Osamu Inoue,31,76,116,101,31,29,8,0,5,11,6,5,11,20,0.287,0.363,0.515,0.878,52,3,1,3,0,0
1978,Hankyu Braves,kato--002hid,Hideji Kato*,30,120,500,427,65,109,16,4,24,86,7,3,55,80,0.255,0.344,0.48,0.824,205,6,8,0,10,6
1978,Hankyu Braves,kawamu000ken,Kenichiro Kawamura,30,70,156,145,19,41,6,2,9,32,0,0,9,14,0.283,0.321,0.538,0.858,78,4,0,0,2,1
1978,Hankyu Braves,kobaya002shi,Shinya Kobayashi*,25,19,8,8,1,2,0,0,0,0,2,0,0,0,0.25,0.25,0.25,0.5,2,0,0,0,0,0
1978,Hankyu Braves,marcan001rob,Robert Marcano,27,126,517,488,78,157,28,7,27,94,9,6,14,38,0.322,0.346,0.574,0.92,280,9,7,3,5,0
1978,Hankyu Braves,minoda000koj,Koji Minoda,26,125,488,423,85,130,19,6,17,65,61,19,37,37,0.307,0.371,0.501,0.872,212,2,8,16,4,0
1978,Hankyu Braves,nagaik000ats,Atsushi Nagaike,34,55,120,104,10,27,1,0,5,21,0,0,14,13,0.26,0.342,0.414,0.755,43,3,0,0,2,0
1978,Hankyu Braves,nakaza000shi,Shinji Nakazawa,32,118,353,306,33,73,11,0,7,40,1,6,33,48,0.239,0.314,0.343,0.657,105,7,2,9,3,0
1978,Hankyu Braves,ohashi000yut,Yutaka Ohashi,32,106,254,220,31,48,10,0,6,23,12,3,14,44,0.218,0.276,0.346,0.622,76,2,4,15,1,2
1978,Hankyu Braves,okuma-000tad,Tadayoshi Okuma,34,76,205,182,15,42,6,0,1,15,2,0,9,18,0.231,0.276,0.28,0.556,51,5,3,9,2,0
1978,Hankyu Braves,osumi-000mas,Masato Osumi*,30,87,28,26,5,3,2,0,0,1,0,2,2,2,0.115,0.179,0.192,0.371,5,0,0,0,0,0
1978,Hankyu Braves,sasamo000shi,Shinji Sasamoto,26,37,21,19,8,1,0,0,0,1,0,1,2,3,0.053,0.143,0.053,0.196,1,0,0,0,0,0
1978,Hankyu Braves,shimat000kin,Kinji Shimatani,33,123,490,436,66,130,16,1,22,76,5,2,37,44,0.298,0.363,0.491,0.854,214,17,10,2,5,2
1978,Hankyu Braves,takai-000yas,Yasuhiro Takai,33,116,424,377,47,114,13,1,22,77,1,1,33,45,0.302,0.356,0.517,0.873,195,10,2,5,7,4
1978,Hankyu Braves,uno---000ter,Teruyuki Uno,26,25,24,21,2,3,0,1,1,3,0,0,3,3,0.143,0.25,0.381,0.631,8,0,0,0,0,0
1978,Hankyu Braves,watana000tsu,Tsutomu Watanabe,29,2,4,4,1,3,1,0,0,0,0,0,0,1,0.75,0.75,1,1.75,4,0,0,0,0,0
1978,Hankyu Braves,willia002ber,Bernie Williams,29,117,448,403,64,119,16,2,18,66,11,10,31,69,0.295,0.351,0.479,0.83,193,2,7,1,6,4
1978,Hankyu Braves,yamada000his,Hisashi Yamada,29,35,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1978,Hankyu Braves,yoshiz000tos,Toshiyuki Yoshizawa,23,91,103,98,21,26,2,0,4,17,10,5,3,15,0.265,0.301,0.408,0.709,40,1,2,0,0,0
