Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1982,Chunichi Dragons,aoyama000his,Hisato Aoyama,25,10,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1982,Chunichi Dragons,donoue000ter,Terashi Donoue,31,28,12,11,1,3,1,0,0,1,0,0,0,2,0.273,0.273,0.364,0.636,4,0,0,1,0,0
1982,Chunichi Dragons,fujina000yuk,Yukio Fujinami*,31,74,92,85,9,22,7,0,2,10,2,1,5,5,0.259,0.297,0.412,0.709,35,1,0,1,1,0
1982,Chunichi Dragons,fujisa000kim,Kimiya Fujisawa,30,28,17,16,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,1,0,0
1982,Chunichi Dragons,goto--000nor,Norihide Goto,22,10,7,7,0,1,0,0,0,0,0,0,0,2,0.143,0.143,0.143,0.286,1,0,0,0,0,0
1982,Chunichi Dragons,hirano000ken,Ken Hirano#,27,125,514,448,58,129,13,5,4,33,20,9,12,60,0.288,0.307,0.366,0.673,164,1,1,51,2,0
1982,Chunichi Dragons,hirata000tsu,Tsuneo Hirata*,26,15,14,13,1,2,0,0,0,0,0,0,0,5,0.154,0.214,0.154,0.368,2,0,1,0,0,0
1982,Chunichi Dragons,hoshin000sen,Senichi Hoshino,35,18,24,16,1,5,0,0,0,2,0,0,1,3,0.313,0.333,0.313,0.646,5,0,0,6,1,0
1982,Chunichi Dragons,ishii-000aki,Akio Ishii,26,60,48,45,4,9,3,0,1,4,2,0,2,9,0.2,0.25,0.333,0.583,15,1,1,0,0,0
1982,Chunichi Dragons,kaku--000gen,Genji Kaku,25,35,59,53,4,8,2,0,0,4,1,0,1,18,0.151,0.164,0.189,0.352,10,0,0,4,1,0
1982,Chunichi Dragons,kamika000sei,Seiji Kamikawa*,22,99,254,233,20,53,8,0,2,17,4,4,12,21,0.228,0.269,0.288,0.557,67,4,2,5,2,2
1982,Chunichi Dragons,kanaya002tak,Takuji Kanayama,30,23,52,47,6,13,0,0,2,4,0,0,2,15,0.277,0.306,0.404,0.71,19,0,0,3,0,0
1982,Chunichi Dragons,kawama000yon,Yonetoshi Kawamata*,21,24,26,26,1,4,0,1,0,0,0,1,0,5,0.154,0.154,0.231,0.385,6,0,0,0,0,0
1982,Chunichi Dragons,kimata000tat,Tatsuhiko Kimata,37,48,55,53,3,9,0,0,1,3,0,0,2,7,0.17,0.2,0.226,0.426,12,3,0,0,0,0
1982,Chunichi Dragons,komats000tat,Tatsuo Komatsu,23,28,13,12,2,4,0,0,0,0,0,0,0,5,0.333,0.333,0.333,0.667,4,0,0,1,0,0
1982,Chunichi Dragons,kuriok000hid,Hidetoshi Kurioka,21,9,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1982,Chunichi Dragons,macha-001ken,Ken Macha,31,130,538,483,57,150,20,2,23,76,1,1,49,74,0.311,0.374,0.503,0.877,243,10,2,1,3,2
1982,Chunichi Dragons,masaok000shi,Shinji Masaoka,32,92,14,13,12,3,1,0,0,1,1,4,1,2,0.231,0.286,0.308,0.593,4,0,0,0,0,0
1982,Chunichi Dragons,misawa000jun,Jun Misawa*,29,30,51,47,2,5,0,0,0,3,0,1,0,14,0.106,0.104,0.106,0.211,5,1,0,3,1,0
1982,Chunichi Dragons,miyako000yuj,Yujiro Miyako*,23,43,80,71,6,9,1,0,0,6,0,0,1,16,0.127,0.139,0.141,0.28,10,0,0,8,0,0
1982,Chunichi Dragons,mizuta000hir,Hiroaki Mizutani*,28,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,Chunichi Dragons,nakao-000tak,Takayoshi Nakao,26,119,434,394,47,111,12,2,18,47,7,2,28,61,0.282,0.325,0.459,0.784,181,3,0,6,6,7
1982,Chunichi Dragons,okawar000sak,Sakae Okawara,29,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,Chunichi Dragons,onoue-000aki,Akira Onoue,23,50,73,65,11,14,4,0,1,9,2,2,4,17,0.215,0.292,0.323,0.615,21,4,3,1,0,0
1982,Chunichi Dragons,oshima000yas,Yasunori Oshima,31,124,466,416,43,112,14,0,18,60,5,3,44,60,0.269,0.341,0.433,0.774,180,9,3,0,3,3
