Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1987,Lotte Orions,aikoh-001tak,Takeshi Aiko*,24,105,316,292,39,76,20,2,8,31,2,5,18,44,0.26,0.304,0.425,0.728,124,8,1,3,2,1
1987,Lotte Orions,fujiku000kaz,Kazumasa Fujikura,29,3,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1987,Lotte Orions,furuka000shi,Shinichi Furukawa,23,80,242,221,26,49,8,1,12,34,9,1,14,56,0.222,0.271,0.43,0.701,95,7,2,2,3,1
1987,Lotte Orions,hakama000hid,Hidetoshi Hakamada,31,117,304,264,23,56,6,0,3,16,3,1,17,38,0.212,0.276,0.269,0.545,71,10,7,14,2,0
1987,Lotte Orions,itoh--000fum,Fumio Ito,21,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1987,Lotte Orions,kamika000sei,Seiji Kamikawa*,27,96,283,262,28,67,12,0,6,29,6,6,13,15,0.256,0.287,0.37,0.657,97,5,0,4,4,0
1987,Lotte Orions,lee---001ler,Leron Lee*,39,104,422,379,41,103,15,0,9,41,3,1,41,52,0.272,0.341,0.383,0.724,145,9,0,0,2,11
1987,Lotte Orions,maruya000kaz,Kazuhito Maruyama*,26,50,80,72,12,21,5,0,3,13,1,0,5,13,0.292,0.354,0.486,0.841,35,3,2,1,0,0
1987,Lotte Orions,mizuka000yos,Yoshio Mizukami,29,119,404,361,34,95,18,0,9,42,14,12,19,66,0.263,0.301,0.388,0.688,140,6,2,18,4,0
1987,Lotte Orions,morita000yos,Yoshihiko Morita,25,51,25,20,11,3,0,0,0,2,1,1,4,4,0.15,0.292,0.15,0.442,3,0,0,1,0,0
1987,Lotte Orions,nishim001nor,Norifumi Nishimura#,27,114,491,440,55,116,11,4,2,27,41,14,29,49,0.264,0.311,0.321,0.631,141,4,2,18,2,0
1987,Lotte Orions,okabe-000aki,Akihito Okabe*,24,43,104,95,10,23,1,0,4,13,0,0,8,13,0.242,0.298,0.379,0.677,36,4,0,0,1,0
1987,Lotte Orions,saito-000ko-,Ko Saito,29,82,154,141,15,39,2,4,3,15,0,0,10,23,0.277,0.322,0.411,0.734,58,4,0,2,1,0
1987,Lotte Orions,sato--002ken,Kenichi Sato,27,116,367,315,47,72,17,2,9,33,11,2,28,45,0.229,0.292,0.381,0.673,120,6,2,18,4,0
1987,Lotte Orions,satoh-001yuk,Yukihiko Sato,19,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1987,Lotte Orions,shoji-000tom,Tomohisa Shoji,34,71,133,119,9,30,6,0,2,15,2,5,10,16,0.252,0.313,0.353,0.666,42,2,1,2,1,0
1987,Lotte Orions,takaza000hid,Hideaki Takazawa,28,128,514,455,64,133,20,2,11,50,27,11,33,54,0.292,0.351,0.418,0.769,190,10,10,13,3,4
1987,Lotte Orions,tanoku000tos,Toshio Tanokura,33,78,167,141,20,49,10,1,9,24,3,3,24,34,0.348,0.44,0.624,1.064,88,3,0,1,1,2
1987,Lotte Orions,yamamo000koj,Koji Yamamoto*,35,95,274,251,29,80,12,0,6,42,2,0,18,34,0.319,0.371,0.438,0.81,110,5,3,2,0,0
1987,Lotte Orions,yokota000mas,Masashi Yokota*,24,125,441,399,52,112,19,5,7,51,26,4,25,49,0.281,0.321,0.406,0.727,162,4,0,14,3,2
1987,Lotte Orions,yoshio000tos,Toshiaki Yoshioka,35,39,55,50,3,8,2,0,1,8,1,0,4,14,0.16,0.218,0.26,0.478,13,0,0,0,1,0
