Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1990,Yokohama Taiyo Whales,akimot001koh,Kosaku Akimoto,22,67,124,115,10,23,6,1,3,11,0,1,7,29,0.2,0.242,0.348,0.59,40,3,0,0,2,0
1990,Yokohama Taiyo Whales,aoyama001mic,Michio Aoyama,30,62,71,63,13,9,1,2,2,4,2,0,2,13,0.143,0.194,0.318,0.512,20,1,2,4,0,0
1990,Yokohama Taiyo Whales,azuse-000kot,Kotaro Azuse*,23,13,9,8,0,1,0,0,0,0,0,0,0,3,0.125,0.125,0.125,0.25,1,0,0,1,0,0
1990,Yokohama Taiyo Whales,choshi000tos,Toshio Choshi,28,37,77,61,7,17,1,1,0,2,0,1,12,15,0.279,0.397,0.328,0.725,20,0,0,4,0,2
1990,Yokohama Taiyo Whales,daimon000kaz,Kazuhiko Daimon,25,30,38,35,2,6,0,0,0,1,0,0,0,11,0.171,0.171,0.171,0.343,6,0,0,3,0,0
1990,Yokohama Taiyo Whales,endo--000kaz,Kazuhiko Endo,35,45,14,13,0,1,0,0,0,1,0,0,0,7,0.077,0.077,0.077,0.154,1,0,0,1,0,0
1990,Yokohama Taiyo Whales,futamu000tad,Tadami Futamura,30,31,85,73,5,16,4,0,2,9,0,0,9,9,0.219,0.31,0.356,0.666,26,2,1,1,1,0
1990,Yokohama Taiyo Whales,hino--000yos,Yoshiaki Hino,28,25,34,31,3,8,2,0,0,6,0,1,2,12,0.258,0.303,0.323,0.626,10,0,0,1,0,0
1990,Yokohama Taiyo Whales,hirats000kat,Katsuhiro Hiratsuka,24,23,46,40,7,9,3,0,0,5,0,0,5,7,0.225,0.304,0.3,0.604,12,0,0,0,1,0
1990,Yokohama Taiyo Whales,ichika000kaz,Kazumasa Ichikawa,31,71,146,127,12,36,7,2,2,20,1,0,10,14,0.284,0.34,0.417,0.758,53,3,2,5,2,4
1990,Yokohama Taiyo Whales,inoue-001jun,Jun Inoue*,20,4,4,4,0,1,0,0,0,1,0,0,0,3,0.25,0.25,0.25,0.5,1,0,0,0,0,0
1990,Yokohama Taiyo Whales,ishii-003tak,Takuro Ishii*,19,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Yokohama Taiyo Whales,kakeha000mit,Mitsunori Kakehata,27,27,25,20,3,7,2,0,1,3,0,0,2,8,0.35,0.409,0.6,1.009,12,0,0,3,0,0
1990,Yokohama Taiyo Whales,kamoga000shi,Shigeharu Kamogawa,24,5,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1990,Yokohama Taiyo Whales,kato--000hir,Hirokazu Kato#,38,63,60,54,7,17,1,0,1,4,1,1,6,10,0.315,0.383,0.389,0.772,21,2,0,0,0,0
1990,Yokohama Taiyo Whales,komaza001yuk,Yukiichi Komazaki*,30,24,25,24,1,5,0,0,0,2,0,0,0,6,0.208,0.24,0.208,0.448,5,1,1,0,0,0
1990,Yokohama Taiyo Whales,koyama000aki,Akiyoshi Koyama,29,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1990,Yokohama Taiyo Whales,matsum000yut,Yutaka Matsumoto,27,39,5,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
1990,Yokohama Taiyo Whales,meyer-001tan,Joey Meyer,28,104,426,378,59,104,18,0,26,77,0,1,40,82,0.275,0.347,0.529,0.877,200,13,4,0,4,2
1990,Yokohama Taiyo Whales,miyash000shi,Masahiko Miyashita*,28,5,7,7,1,1,0,0,0,0,0,0,0,4,0.143,0.143,0.143,0.286,1,0,0,0,0,0
1990,Yokohama Taiyo Whales,miyaza000fut,Futoshi Miyazato*,25,108,267,236,34,73,7,1,1,30,13,3,24,20,0.309,0.37,0.36,0.73,85,3,0,5,2,2
