Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1994,Yokohama Bay Stars,akimot001koh,Kosaku Akimoto,26,49,66,60,4,14,4,0,0,3,0,0,6,18,0.233,0.303,0.3,0.603,18,1,0,0,0,1
1994,Yokohama Bay Stars,braggs001gle,Glenn Braggs,31,122,534,448,84,141,25,1,35,91,1,0,68,83,0.315,0.414,0.609,1.023,273,14,12,0,6,2
1994,Yokohama Bay Stars,hara--000shi,Shinji Hara*,31,28,29,28,2,7,0,0,0,4,0,0,1,5,0.25,0.276,0.25,0.526,7,0,0,0,0,0
1994,Yokohama Bay Stars,haru--001tos,Toshio Haru,24,53,187,168,26,50,12,2,3,10,7,3,13,33,0.298,0.366,0.446,0.812,75,1,5,1,0,0
1994,Yokohama Bay Stars,hataya001hit,Hitoshi Hatayama,30,127,510,449,51,131,27,1,11,46,1,1,50,105,0.292,0.367,0.43,0.797,193,12,4,6,1,0
1994,Yokohama Bay Stars,horie-000ken,Kenji Horie,23,20,27,21,1,7,0,0,0,0,0,0,6,5,0.333,0.482,0.333,0.815,7,1,0,0,0,0
1994,Yokohama Bay Stars,igaras001hid,Hideki Igarashi,24,38,20,19,0,1,0,0,0,1,0,0,0,12,0.053,0.053,0.053,0.105,1,0,0,1,0,0
1994,Yokohama Bay Stars,ishii-003tak,Takuro Ishii*,23,130,559,451,68,113,21,2,3,40,10,6,69,66,0.251,0.35,0.326,0.676,147,6,0,39,0,0
1994,Yokohama Bay Stars,kato--004mas,Masato Kato*,21,27,27,26,1,1,0,0,0,2,0,0,1,16,0.039,0.074,0.039,0.113,1,2,0,0,0,0
1994,Yokohama Bay Stars,kawasa001yos,Yoshifumi Kawasaki,22,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,1,0,0
1994,Yokohama Bay Stars,kohiya001mas,Masahito Kohiyama,25,28,12,11,0,3,0,0,0,2,0,0,0,4,0.273,0.273,0.273,0.545,3,0,0,1,0,0
1994,Yokohama Bay Stars,komada001nor,Norihiro Komada*,31,130,558,525,60,149,33,2,13,68,0,1,28,95,0.284,0.321,0.429,0.749,225,29,2,0,3,3
1994,Yokohama Bay Stars,manei-001tak,Takashi Manei,21,15,28,26,3,7,0,0,0,5,0,0,1,5,0.269,0.296,0.269,0.566,7,0,0,1,0,0
1994,Yokohama Bay Stars,miura-001dai,Daisuke Miura,20,22,12,10,1,1,0,0,0,0,0,0,1,3,0.1,0.182,0.1,0.282,1,1,0,1,0,0
1994,Yokohama Bay Stars,miyaga000kaz,Kazuhiko Miyakawa*,25,4,6,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1994,Yokohama Bay Stars,miyaza000fut,Futoshi Miyazato*,29,91,144,126,28,30,3,0,0,12,6,2,14,9,0.238,0.317,0.262,0.579,33,3,1,2,1,1
1994,Yokohama Bay Stars,mizuo-001yos,Yoshitaka Mizuo*,26,13,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,Yokohama Bay Stars,morita001kok,Koki Morita,24,47,13,13,0,1,0,0,0,0,0,0,0,7,0.077,0.077,0.077,0.154,1,0,0,0,0,0
1994,Yokohama Bay Stars,moriya000ryo,Ryoji Moriyama,30,19,4,3,0,2,0,0,0,1,0,0,0,1,0.667,0.667,0.667,1.333,2,0,0,1,0,0
1994,Yokohama Bay Stars,nagaik001yas,Yasuo Nagaike,20,46,89,71,7,17,2,0,0,3,2,0,9,10,0.239,0.337,0.268,0.605,19,1,2,6,1,0
1994,Yokohama Bay Stars,nakamu001hid,Hideo Nakamura,26,18,18,17,1,2,0,0,0,1,0,0,1,8,0.118,0.167,0.118,0.284,2,1,0,0,0,0
1994,Yokohama Bay Stars,nomura001hir,Hiroki Nomura*,25,14,27,23,2,5,3,0,0,3,0,0,2,6,0.217,0.28,0.348,0.628,8,0,0,2,0,0
1994,Yokohama Bay Stars,ohka--001tom,Tomo Ohka#,18,17,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1994,Yokohama Bay Stars,okamot000tor,Toru Okamoto*,29,7,10,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0
1994,Yokohama Bay Stars,okawa-000tak,Takashi Okawa#,26,8,3,3,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
1994,Yokohama Bay Stars,ohtsuk001yos,Yoshiki Otsuka,28,4,4,4,2,2,0,0,2,5,0,0,0,0,0.5,0.5,2,2.5,8,0,0,0,0,0
1994,Yokohama Bay Stars,rose--006rob,Bobby Rose,27,130,574,510,71,151,28,4,15,86,1,1,55,72,0.296,0.362,0.455,0.817,232,25,2,0,7,0
1994,Yokohama Bay Stars,saeki-001tak,Takahiro Saeki*,24,107,318,283,31,73,20,0,11,44,3,0,30,59,0.258,0.333,0.445,0.779,126,7,3,0,2,1
1994,Yokohama Bay Stars,saito-001tak,Takashi Saito*,24,28,67,63,2,13,2,0,0,4,0,0,4,32,0.206,0.254,0.238,0.492,15,1,0,0,0,0
1994,Yokohama Bay Stars,sasaki001kaz,Kazuhiro Sasaki,26,31,8,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0
1994,Yokohama Bay Stars,shimad001nao,Naoya Shimada,24,50,30,20,1,4,0,0,0,3,0,0,4,5,0.2,0.333,0.2,0.533,4,0,0,6,0,0
1994,Yokohama Bay Stars,shimiz000yos,Yoshiyuki Shimizu,30,13,17,12,1,1,1,0,0,1,1,1,4,5,0.083,0.313,0.167,0.479,2,0,0,1,0,0
1994,Yokohama Bay Stars,shindo001tat,Tatsuya Shindo,24,80,327,283,34,67,14,2,4,23,3,5,34,40,0.237,0.321,0.343,0.664,97,6,2,6,2,1
