Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1995,Seibu Lions,abe---001osa,Osamu Abe*,32,32,48,47,2,5,0,0,1,4,0,0,1,18,0.106,0.125,0.17,0.295,8,2,0,0,0,1
1995,Seibu Lions,ando--000shi,Shinji Ando*,24,13,16,13,0,3,1,0,0,6,0,1,2,3,0.231,0.313,0.308,0.62,4,0,0,0,1,0
1995,Seibu Lions,destra001ore,Orestes Destrade#,33,46,188,163,17,40,6,1,6,23,1,1,24,45,0.245,0.34,0.405,0.745,66,6,0,0,1,1
1995,Seibu Lions,hanyud002tad,Tadakatsu Haniyuda?,31,45,35,30,6,4,0,0,0,3,4,0,3,8,0.133,0.212,0.133,0.345,4,2,0,2,0,0
1995,Seibu Lions,itoh--001tsu,Tsutomu Ito,32,125,429,386,40,95,21,0,6,43,9,4,27,59,0.246,0.302,0.347,0.65,134,8,5,9,2,0
1995,Seibu Lions,jackso002dar,Darrin Jackson,31,128,554,506,66,146,28,3,20,68,9,9,34,104,0.289,0.338,0.474,0.812,240,9,4,9,1,1
1995,Seibu Lions,kakiuc001tet,Tetsuya Kakiuchi,25,95,339,305,40,66,10,2,14,37,2,3,27,107,0.216,0.288,0.4,0.688,122,5,4,2,1,2
1995,Seibu Lions,kiyoha001kaz,Kazuhiro Kiyohara,27,118,505,404,63,99,13,3,25,64,2,0,90,111,0.245,0.392,0.478,0.87,193,6,9,0,2,1
1995,Seibu Lions,kuroda001sat,Satoshi Kuroda,20,1,4,4,0,2,1,0,0,1,0,0,0,1,0.5,0.5,0.75,1.25,3,0,0,0,0,0
1995,Seibu Lions,matsui001kaz,Kazuo Matsui#,19,69,219,204,25,45,9,1,2,15,21,1,7,26,0.221,0.245,0.304,0.549,62,4,0,7,1,0
1995,Seibu Lions,miyaji001kat,Katsuhiko Miyaji*,23,13,26,23,3,3,1,0,1,2,2,1,3,3,0.13,0.231,0.304,0.535,7,1,0,0,0,0
1995,Seibu Lions,mori--001hir,Hiroyuki Mori*,32,70,152,135,12,39,9,0,4,17,0,0,15,35,0.289,0.362,0.444,0.806,60,4,1,0,1,0
1995,Seibu Lions,naraha001hir,Hiroshi Narahara,27,102,245,208,19,47,5,1,0,13,19,6,16,29,0.226,0.282,0.26,0.542,54,1,1,18,2,0
1995,Seibu Lions,ohtsuk001koj,Koji Otsuka#,27,50,87,79,5,19,2,1,0,1,2,0,7,15,0.241,0.302,0.291,0.593,23,2,0,1,0,1
1995,Seibu Lions,sasaki001mak,Makoto Sasaki*,29,130,579,535,63,145,27,2,17,55,18,7,37,89,0.271,0.321,0.424,0.746,227,10,3,3,1,8
1995,Seibu Lions,suzuki001ken,Ken Suzuki*,25,124,467,416,39,105,10,0,12,42,0,2,45,63,0.252,0.328,0.363,0.691,151,10,3,1,2,1
1995,Seibu Lions,takagi001hir,Hiroyuki Takagi*,22,19,24,22,3,5,1,0,0,1,0,2,1,5,0.227,0.292,0.273,0.564,6,0,1,0,0,0
1995,Seibu Lions,tanabe001nor,Norio Tanabe,29,117,389,348,38,89,14,1,6,40,8,6,20,55,0.256,0.299,0.353,0.652,123,16,3,14,4,0
1995,Seibu Lions,tomash001sei,Seiji Tomashino,31,57,72,58,14,13,2,1,0,6,6,1,6,8,0.224,0.288,0.293,0.581,17,2,0,6,2,0
1995,Seibu Lions,tsuji-000hat,Hatsuhiko Tsuji,36,107,370,307,31,73,8,2,2,20,7,8,45,30,0.238,0.342,0.296,0.638,91,4,4,13,1,0
1995,Seibu Lions,ueda--001hir,Hiroaki Ueda#,26,73,14,10,4,1,0,0,0,0,2,0,3,4,0.1,0.357,0.1,0.457,1,0,1,0,0,1
1995,Seibu Lions,ueda--000yuk,Yukihiro Ueda,30,44,57,51,1,6,0,0,0,3,0,0,4,10,0.118,0.182,0.118,0.299,6,0,0,2,0,0
1995,Seibu Lions,uenaka000yos,Yoshinari Uenaka,25,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,Seibu Lions,yokota000mas,Masashi Yokota*,32,14,20,19,0,3,1,0,0,0,0,0,0,1,0.158,0.158,0.211,0.368,4,0,0,1,0,0
1995,Seibu Lions,yoshit000har,Haruki Yoshitake*,34,31,46,37,5,9,3,0,0,2,0,0,9,8,0.243,0.391,0.324,0.716,12,0,0,0,0,0
