Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1997,Fukuoka Daiei Hawks,akiyam001koj,Koji Akiyama,35,97,421,371,46,91,20,2,12,52,11,5,43,62,0.245,0.329,0.407,0.736,151,9,4,2,1,0
1997,Fukuoka Daiei Hawks,bonish001koj,Koji Bonishi*,28,5,11,11,1,1,0,0,1,2,0,0,0,2,0.091,0.091,0.364,0.455,4,0,0,0,0,0
1997,Fukuoka Daiei Hawks,fujimo002hir,Hiroshi Fujimoto,33,28,39,31,2,2,0,0,0,0,0,1,6,7,0.065,0.216,0.065,0.281,2,1,0,2,0,0
1997,Fukuoka Daiei Hawks,hamana001chi,Chihiro Hamana*,27,116,422,370,45,89,12,1,5,31,18,5,30,61,0.241,0.295,0.319,0.614,118,5,1,15,6,0
1997,Fukuoka Daiei Hawks,honma-001mit,Mitsuru Homma*,24,18,6,5,7,2,0,0,0,0,0,1,1,2,0.4,0.5,0.4,0.9,2,0,0,0,0,0
1997,Fukuoka Daiei Hawks,iguchi001tad,Tadahito Iguchi,22,76,252,217,31,44,6,3,8,23,3,3,24,67,0.203,0.304,0.369,0.673,80,4,8,2,1,0
1997,Fukuoka Daiei Hawks,johjim001ken,Kenji Johjima,21,120,470,432,49,133,24,2,15,68,6,2,22,62,0.308,0.343,0.477,0.82,206,15,5,4,7,1
1997,Fukuoka Daiei Hawks,kawago001tor,Toru Kawagoe,30,33,58,50,6,12,2,0,2,5,0,1,3,8,0.24,0.296,0.4,0.696,20,0,1,4,0,0
1997,Fukuoka Daiei Hawks,kawano001ryo,Ryo Kawano,26,57,142,133,11,29,4,0,7,24,0,0,6,28,0.218,0.261,0.406,0.667,54,4,2,0,1,0
1997,Fukuoka Daiei Hawks,kokubo001hir,Hiroki Kokubo,25,135,588,527,88,159,37,3,36,114,4,3,52,112,0.302,0.366,0.588,0.954,310,16,4,0,5,2
1997,Fukuoka Daiei Hawks,matsun002hir,Hiromi Matsunaga#,36,15,34,24,6,3,1,0,1,3,1,1,8,7,0.125,0.344,0.292,0.636,7,0,0,2,0,0
1997,Fukuoka Daiei Hawks,matsun001nob,Nobuhiko Matsunaka*,23,20,48,43,4,9,1,0,0,6,0,1,2,13,0.209,0.255,0.233,0.488,10,2,1,1,1,0
1997,Fukuoka Daiei Hawks,murama001ari,Arihito Muramatsu*,24,131,551,477,59,115,15,4,0,29,42,23,58,56,0.241,0.327,0.289,0.616,138,5,3,12,1,2
1997,Fukuoka Daiei Hawks,nishij001tak,Takayuki Nishijima*,25,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Fukuoka Daiei Hawks,ohmich001nor,Noriyoshi Omichi,27,130,521,441,55,129,17,2,6,46,1,3,60,60,0.293,0.373,0.381,0.754,168,13,2,9,9,0
1997,Fukuoka Daiei Hawks,pirkl-001gre,Greg Pirkl,26,16,49,47,3,10,2,0,2,5,0,0,1,10,0.213,0.245,0.383,0.628,18,5,1,0,0,0
1997,Fukuoka Daiei Hawks,shibah001hir,Hiroshi Shibahara*,23,66,98,88,6,14,1,0,1,2,0,1,5,28,0.159,0.204,0.205,0.409,18,1,0,5,0,1
1997,Fukuoka Daiei Hawks,suzuki002yos,Yoshihiro Suzuki*,34,65,37,35,11,7,0,0,0,4,0,1,2,5,0.2,0.243,0.2,0.443,7,0,0,0,0,0
1997,Fukuoka Daiei Hawks,tamura001fug,Fujio Tamura,37,22,31,25,3,6,0,0,0,2,0,0,3,5,0.24,0.321,0.24,0.561,6,1,0,3,0,0
1997,Fukuoka Daiei Hawks,wakai-000mot,Motoyasu Wakai*,33,80,224,194,22,56,6,0,1,17,0,0,27,20,0.289,0.371,0.335,0.706,65,3,0,0,3,1
1997,Fukuoka Daiei Hawks,yanagi001shi,Shikato Yanagita,28,110,320,275,31,66,9,2,1,30,6,2,25,30,0.24,0.305,0.298,0.603,82,4,2,15,3,1
1997,Fukuoka Daiei Hawks,yoshim003kaz,Kazuyoshi Yoshimoto*,25,3,6,6,1,2,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,2,0,0,0,0,0
1997,Fukuoka Daiei Hawks,yoshin001koi,Koichiro Yoshinaga*,28,132,521,443,57,133,21,0,29,73,0,1,75,72,0.3,0.403,0.544,0.947,241,11,1,2,0,12
1997,Fukuoka Daiei Hawks,yugami000hir,Hiroshi Yugamidani,31,101,327,296,41,89,10,2,5,28,2,1,18,52,0.301,0.346,0.399,0.744,118,4,4,6,3,0
