Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1997,Hiroshima Toyo Carp,asai--001its,Itsuki Asai*,25,87,88,77,4,18,2,1,1,6,1,0,10,17,0.234,0.33,0.325,0.654,25,2,1,0,0,3
1997,Hiroshima Toyo Carp,chiyom001aki,Shoshi Chiyomaru,26,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Hiroshima Toyo Carp,etoh--001aki,Akira Eto,27,110,479,393,78,99,12,3,28,76,3,0,81,92,0.252,0.384,0.512,0.896,201,6,4,0,1,4
1997,Hiroshima Toyo Carp,fukuch001kaz,Kazuki Fukuchi#,21,2,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1997,Hiroshima Toyo Carp,hasega001mas,Masayuki Hasegawa,19,2,5,5,2,2,0,0,0,1,0,0,0,2,0.4,0.4,0.4,0.8,2,0,0,0,0,0
1997,Hiroshima Toyo Carp,kanemo001tom,Tomoaki Kanemoto*,29,133,552,465,77,140,17,2,33,82,13,9,80,104,0.301,0.404,0.559,0.963,260,8,3,0,4,5
1997,Hiroshima Toyo Carp,kato--000shi,Shinichi Kato,31,17,15,12,1,1,0,0,0,0,0,0,1,3,0.083,0.154,0.083,0.237,1,0,0,2,0,0
1997,Hiroshima Toyo Carp,kikuch001tsu,Tsuyoshi Kikuchihara*,22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Hiroshima Toyo Carp,kimura001tak,Takuya Kimura#,25,77,88,78,17,18,1,0,0,5,8,1,8,25,0.231,0.302,0.244,0.546,19,0,0,2,0,0
1997,Hiroshima Toyo Carp,kitoh-001mak,Makoto Kito,32,17,15,14,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,0
