Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1997,Osaka Kintetsu Buffaloes,abe---001osa,Osamu Abe*,34,81,195,173,16,52,11,0,2,24,2,2,18,27,0.301,0.359,0.399,0.758,69,3,0,0,4,1
1997,Osaka Kintetsu Buffaloes,arai--001yuk,Yukio Arai*,32,13,20,15,1,5,1,0,0,4,0,0,1,1,0.333,0.316,0.4,0.716,6,0,0,1,3,0
1997,Osaka Kintetsu Buffaloes,clark-003phi,Phil Clark,29,135,569,526,61,174,27,0,23,93,1,3,29,67,0.331,0.373,0.513,0.886,270,23,9,0,5,6
1997,Osaka Kintetsu Buffaloes,fujita001jir,Jiro Fujitate,26,13,19,16,1,4,1,0,0,2,0,0,3,4,0.25,0.368,0.313,0.681,5,0,0,0,0,0
1997,Osaka Kintetsu Buffaloes,furuku001ken,Kenji Furukubo,33,79,151,136,14,39,11,1,2,11,0,0,9,37,0.287,0.331,0.427,0.758,58,0,0,6,0,0
1997,Osaka Kintetsu Buffaloes,iriki-001sat,Satoshi Iriki,30,7,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
1997,Osaka Kintetsu Buffaloes,isobe-001koi,Koichi Isobe*,23,62,147,133,15,31,7,0,0,6,3,2,5,23,0.233,0.262,0.286,0.548,38,1,1,6,2,0
1997,Osaka Kintetsu Buffaloes,kawagu001ken,Kenshi Kawaguchi*,21,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Osaka Kintetsu Buffaloes,matoya001tet,Tetsuya Matoyama,26,100,255,223,25,44,6,0,4,22,4,1,13,62,0.197,0.247,0.278,0.525,62,0,3,12,4,0
1997,Osaka Kintetsu Buffaloes,mifune001hid,Hideyuki Mifune,30,12,23,20,3,2,0,0,1,2,2,0,1,3,0.1,0.136,0.25,0.386,5,0,0,1,1,0
1997,Osaka Kintetsu Buffaloes,mizugu001eij,Eiji Mizuguchi,28,120,488,388,54,110,16,2,7,50,10,1,52,42,0.284,0.37,0.389,0.759,151,7,3,42,3,1
1997,Osaka Kintetsu Buffaloes,moriya001kaz,Kazuto Moriyama#,23,8,2,2,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
1997,Osaka Kintetsu Buffaloes,muraka001tak,Takayuki Murakami,31,102,142,126,19,34,6,1,4,12,3,4,6,27,0.27,0.308,0.429,0.737,54,2,1,9,0,0
1997,Osaka Kintetsu Buffaloes,mutoh-001tak,Takashi Muto*,24,119,447,390,55,110,13,7,0,29,26,11,25,54,0.282,0.325,0.351,0.677,137,0,1,29,2,0
1997,Osaka Kintetsu Buffaloes,nakamu001nor,Norihiro Nakamura,23,128,519,455,54,109,22,3,19,68,3,2,54,105,0.24,0.325,0.426,0.751,194,13,5,2,3,5
1997,Osaka Kintetsu Buffaloes,nakane001hit,Hitoshi Nakane,30,45,133,112,10,21,5,1,1,9,2,1,16,21,0.188,0.29,0.277,0.567,31,1,1,2,2,1
1997,Osaka Kintetsu Buffaloes,oishi-001dai,Daijiro Oishi,38,73,183,151,24,40,6,0,2,13,2,2,22,22,0.265,0.356,0.344,0.7,52,2,1,6,3,1
1997,Osaka Kintetsu Buffaloes,ohmura001nao,Naoyuki Omura*,21,97,367,327,53,92,17,5,1,30,15,5,26,44,0.281,0.335,0.373,0.708,122,5,1,12,1,0
1997,Osaka Kintetsu Buffaloes,rhodes001kar,Karl Rhodes*,28,135,607,511,88,157,37,0,22,102,22,8,87,109,0.307,0.409,0.509,0.917,260,7,4,0,5,6
1997,Osaka Kintetsu Buffaloes,suguro000hir,Hironori Suguro,33,72,151,138,19,38,11,2,0,8,1,2,11,22,0.275,0.329,0.384,0.713,53,5,0,2,0,0
1997,Osaka Kintetsu Buffaloes,suzuki003tak,Takahisa Suzuki,33,125,489,436,45,114,18,3,10,53,9,4,42,67,0.262,0.328,0.385,0.713,168,10,2,7,2,1
1997,Osaka Kintetsu Buffaloes,takumi001mas,Masahiro Takumi*,29,6,11,11,3,3,0,0,0,0,1,0,0,2,0.273,0.273,0.273,0.545,3,0,0,0,0,0
1997,Osaka Kintetsu Buffaloes,yamamo002kaz,Kazunori Yamamoto*,39,93,291,250,31,66,7,0,12,37,1,3,35,51,0.264,0.36,0.436,0.796,109,6,3,2,1,2
1997,Osaka Kintetsu Buffaloes,yoshid001tak,Takashi Yoshida,30,11,6,5,1,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,1,0,0
1997,Osaka Kintetsu Buffaloes,yoshio001yuj,Yuji Yoshioka,25,22,33,27,8,7,1,0,2,4,2,0,3,9,0.259,0.375,0.519,0.894,14,0,2,1,0,0
