Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1999,Orix Blue Wave,aikawa001ryo,Ryota Aikawa,22,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1999,Orix Blue Wave,fujii-001yas,Yasuo Fujii*,36,115,403,323,39,79,17,0,15,51,0,2,74,92,0.245,0.39,0.437,0.826,141,1,4,0,2,2
1999,Orix Blue Wave,fukuto001hir,Hiroki Fukutome,24,9,15,13,0,1,0,0,0,1,0,0,2,4,0.077,0.2,0.077,0.277,1,0,0,0,0,0
1999,Orix Blue Wave,gonzal001pau,Paul Gonzalez*,30,8,16,16,2,3,1,0,1,1,0,0,0,6,0.188,0.188,0.438,0.625,7,1,0,0,0,0
1999,Orix Blue Wave,goshim001yuj,Yuji Goshima*,23,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1999,Orix Blue Wave,hidaka001tak,Takeshi Hidaka*,21,96,267,239,22,44,12,0,3,31,0,1,13,50,0.184,0.233,0.272,0.505,65,3,3,9,3,0
1999,Orix Blue Wave,igaras001aki,Akihito Igarashi*,31,85,161,141,16,33,6,0,2,15,0,0,15,25,0.234,0.306,0.319,0.625,45,4,0,4,1,1
1999,Orix Blue Wave,imamur001fum,Fumiaki Imamura,21,9,12,12,0,2,0,0,0,2,0,0,0,3,0.167,0.167,0.167,0.333,2,1,0,0,0,0
1999,Orix Blue Wave,kase--001tos,Toshihiro Kase*,22,80,81,68,20,10,1,0,0,6,2,0,8,24,0.147,0.247,0.162,0.409,11,0,1,4,0,1
1999,Orix Blue Wave,matsum001shu,Shuichiro Matsumoto*,27,90,175,147,30,38,4,2,0,10,2,3,21,47,0.259,0.355,0.313,0.668,46,3,1,6,0,0
1999,Orix Blue Wave,miwa--001tak,Takashi Miwa,29,85,233,198,15,46,13,1,2,24,1,3,13,25,0.232,0.297,0.338,0.635,67,1,6,14,2,0
1999,Orix Blue Wave,neel--001tro,Troy Neel*,33,74,305,252,37,66,8,0,17,52,1,0,48,65,0.262,0.39,0.496,0.886,125,5,5,0,0,5
1999,Orix Blue Wave,ogawa-001hir,Hirofumi Ogawa,32,112,367,321,40,88,16,0,6,37,2,2,39,66,0.274,0.35,0.38,0.73,122,13,0,4,3,1
1999,Orix Blue Wave,ohshim001koi,Koichi Oshima#,32,110,462,361,46,101,15,1,1,33,5,1,64,54,0.28,0.394,0.335,0.729,121,2,6,28,3,0
1999,Orix Blue Wave,perez-001rob,Robert Pérez,30,50,182,166,16,42,10,2,2,23,0,0,12,33,0.253,0.298,0.374,0.672,62,7,0,1,3,1
1999,Orix Blue Wave,pullia001har,Harvey Pulliam,31,122,502,446,59,125,21,0,20,85,0,2,50,85,0.28,0.359,0.462,0.821,206,14,5,0,1,3
1999,Orix Blue Wave,saitoh001hid,Hidemitsu Saito,24,41,16,12,2,1,0,0,0,0,0,0,3,3,0.083,0.267,0.083,0.35,1,0,0,1,0,0
1999,Orix Blue Wave,satake001man,Manabu Satake,24,62,148,140,14,28,5,0,2,16,1,0,6,27,0.2,0.243,0.279,0.522,39,5,2,0,0,1
1999,Orix Blue Wave,shioza001mak,Makoto Shiozaki,26,104,277,221,22,55,8,2,0,24,8,2,33,49,0.249,0.346,0.303,0.65,67,4,1,20,2,0
1999,Orix Blue Wave,sugimo000nao,Naofumi Sugimoto,28,2,5,5,1,2,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0.8,2,0,0,0,0,0
1999,Orix Blue Wave,suzuki001ich,Ichiro Suzuki*,25,103,468,411,80,141,27,2,21,68,12,1,45,46,0.343,0.412,0.572,0.984,235,5,7,0,5,15
1999,Orix Blue Wave,taguch001so-,So Taguchi,29,133,569,524,77,141,21,1,9,56,11,6,29,91,0.269,0.308,0.365,0.673,191,9,1,14,1,0
1999,Orix Blue Wave,takaha001nob,Nobuo Takahashi*,27,7,5,5,0,2,1,0,0,0,0,0,0,1,0.4,0.4,0.6,1,3,0,0,0,0,0
1999,Orix Blue Wave,tanaka004mas,Masaoki Tanaka*,22,8,14,13,1,2,2,0,0,0,0,1,0,6,0.154,0.154,0.308,0.462,4,0,0,1,0,0
1999,Orix Blue Wave,tani--001yos,Yoshitomo Tani,26,134,594,532,81,155,17,4,11,62,24,2,48,40,0.291,0.35,0.4,0.75,213,13,2,8,4,4
1999,Orix Blue Wave,yanagi001yui,Yuichi Yanagisawa,27,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
