Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2022,Fukuoka Softbank Hawks,akashi001ken,Kenji Akashi*,36,22,35,30,2,5,0,1,0,3,0,0,3,5,0.167,0.242,0.233,0.476,7,1,0,2,0,0
2022,Fukuoka Softbank Hawks,despai000alf,Alfredo Despaigne,36,89,331,297,29,80,10,0,14,40,0,0,28,80,0.269,0.338,0.444,0.783,132,5,4,0,2,1
2022,Fukuoka Softbank Hawks,galvis001fre,Freddy Galvis#,32,38,130,111,11,19,2,0,2,11,0,1,15,29,0.171,0.285,0.243,0.528,27,2,3,0,1,0
2022,Fukuoka Softbank Hawks,gracia000yur,Yurisbel Gracial,36,99,386,347,24,94,13,2,7,30,1,3,33,75,0.271,0.339,0.38,0.72,132,8,4,0,2,1
2022,Fukuoka Softbank Hawks,higash001nao,Nao Higashihama,32,23,4,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
2022,Fukuoka Softbank Hawks,imamiy000ken,Kenta Imamiya,30,130,510,450,56,133,30,0,7,47,3,4,37,71,0.296,0.352,0.409,0.761,184,14,3,19,1,0
2022,Fukuoka Softbank Hawks,ishika000syu,Shuta Ishikawa,30,23,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2022,Fukuoka Softbank Hawks,kai---000tak,Takuya Kai,29,130,405,323,25,58,9,1,1,27,1,3,38,85,0.18,0.275,0.223,0.498,72,9,5,38,1,0
2022,Fukuoka Softbank Hawks,kawara000jum,Jumpei Kawarada,20,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022,Fukuoka Softbank Hawks,kawase000hik,Hikaru Kawase*,24,73,106,90,15,25,5,0,0,11,2,2,8,21,0.278,0.327,0.333,0.66,30,4,0,5,3,0
2022,Fukuoka Softbank Hawks,kuriha000ryo,Ryoya Kurihara*,25,5,20,17,3,6,1,0,2,5,0,0,3,1,0.353,0.45,0.765,1.215,13,0,0,0,0,0
2022,Fukuoka Softbank Hawks,kurose000ken,Kenta Kurose,24,7,15,12,0,2,0,0,0,1,0,0,2,8,0.167,0.267,0.167,0.433,2,0,0,0,1,0
2022,Fukuoka Softbank Hawks,makiha000tai,Taisei Makihara*,29,120,441,409,45,123,18,4,6,42,13,4,16,71,0.301,0.331,0.408,0.739,167,5,4,9,3,0
2022,Fukuoka Softbank Hawks,masago000yus,Yusuke Masago,28,29,29,28,3,2,0,0,0,0,0,0,0,10,0.071,0.071,0.071,0.143,2,0,0,1,0,0
2022,Fukuoka Softbank Hawks,masaki000tom,Tomoya Masaki,22,35,80,67,6,17,4,0,3,5,0,0,10,24,0.254,0.367,0.448,0.815,30,1,2,1,0,0
2022,Fukuoka Softbank Hawks,masuda000shu,Shu Masuda,23,15,45,39,4,10,3,1,1,6,0,1,3,6,0.256,0.302,0.462,0.764,18,0,0,2,1,0
2022,Fukuoka Softbank Hawks,matsud001nob,Nobuhiro Matsuda,39,43,106,98,2,20,2,1,0,7,1,0,6,20,0.204,0.255,0.245,0.5,24,1,1,0,1,0
