Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2007,Nippon Ham Fighters,darvis001yu-,Yu Darvish,20,26,8,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2007,Nippon Ham Fighters,ejiri-001shi,Shintaro Ejiri,30,42,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,Nippon Ham Fighters,glynn-001rya,Ryan Glynn,32,24,9,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
2007,Nippon Ham Fighters,green-003and,Andy Green,29,18,67,61,2,12,5,0,0,3,0,0,6,12,0.197,0.269,0.279,0.547,17,1,0,0,0,0
2007,Nippon Ham Fighters,iiyama001yuj,Yuji Iiyama,27,105,55,49,16,15,3,0,0,7,3,0,4,14,0.306,0.352,0.367,0.719,18,1,0,1,1,0
2007,Nippon Ham Fighters,inaba-001ats,Atsunori Inaba*,34,137,579,527,61,176,39,0,17,87,6,3,35,69,0.334,0.387,0.505,0.892,266,10,13,0,4,7
2007,Nippon Ham Fighters,inada-001nao,Naoto Inada*,27,83,175,160,15,44,2,1,0,14,0,1,5,23,0.275,0.293,0.3,0.593,48,3,0,8,2,1
2007,Nippon Ham Fighters,itoi--001yos,Yoshio Itoi*,25,7,11,11,1,1,0,0,0,0,1,0,0,1,0.091,0.091,0.091,0.182,1,0,0,0,0,0
2007,Nippon Ham Fighters,jones-001mit,Mitch Jones,29,30,102,94,3,15,6,1,1,7,1,0,4,32,0.16,0.208,0.277,0.485,26,2,2,1,1,0
2007,Nippon Ham Fighters,kaneko001mak,Makoto Kaneko,31,132,470,419,34,102,15,4,4,53,9,5,27,78,0.243,0.296,0.327,0.623,137,9,4,20,0,0
2007,Nippon Ham Fighters,kaneko001yoh,Yohei Kaneko,25,33,65,62,4,8,2,0,3,10,1,0,2,23,0.129,0.156,0.307,0.463,19,3,0,1,0,0
2007,Nippon Ham Fighters,kawash001kei,Keizo Kawashima,23,10,21,18,2,4,1,0,0,0,1,0,0,3,0.222,0.3,0.278,0.578,5,0,2,1,0,0
2007,Nippon Ham Fighters,kimoto001kun,Kuniyuki Kimoto*,28,18,37,35,2,3,0,0,0,1,0,0,1,10,0.086,0.111,0.086,0.197,3,0,0,1,0,0
2007,Nippon Ham Fighters,kinosh001tat,Tatsuo Kinoshita,19,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Nippon Ham Fighters,konta-001tos,Toshimasa Konta*,26,94,59,57,14,14,2,1,0,5,7,1,1,17,0.246,0.259,0.316,0.574,18,0,0,1,0,0
2007,Nippon Ham Fighters,koyano001eii,Eiichi Koyano,26,113,398,364,39,92,12,1,5,37,5,1,16,57,0.253,0.289,0.332,0.621,121,6,4,10,4,0
2007,Nippon Ham Fighters,kudoh-001tak,Takahito Kudo*,26,72,231,215,23,62,6,4,0,17,9,1,12,44,0.288,0.329,0.354,0.682,76,0,1,3,0,4
2007,Nippon Ham Fighters,morimo001hic,Hichori Morimoto,26,144,660,584,91,175,27,3,3,44,31,3,47,111,0.3,0.355,0.372,0.726,217,6,6,17,6,1
2007,Nippon Ham Fighters,nakaji001sat,Satoshi Nakajima,38,60,15,15,1,1,0,0,1,3,0,0,0,5,0.067,0.067,0.267,0.333,4,0,0,0,0,0
2007,Nippon Ham Fighters,oda---001tom,Tomoyuki Oda*,28,34,79,73,3,12,4,0,0,3,0,0,5,12,0.164,0.218,0.219,0.437,16,1,0,1,0,0
2007,Nippon Ham Fighters,oshimo001tak,Takehiko Oshimoto,24,36,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,Nippon Ham Fighters,seguig001fer,Fernando Seguignol#,32,134,546,470,50,117,21,0,21,68,0,0,65,130,0.249,0.35,0.428,0.778,201,14,9,0,2,11
2007,Nippon Ham Fighters,takagu001tak,Takayuki Takaguchi,23,3,8,7,0,0,0,0,0,0,0,0,0,3,0,0.125,0,0.125,0,0,1,0,0,0
2007,Nippon Ham Fighters,takaha002shi,Shinji Takahashi,28,112,422,385,38,98,23,0,10,43,2,0,26,64,0.255,0.306,0.392,0.698,151,9,4,4,3,0
2007,Nippon Ham Fighters,takeda001his,Hisashi Takeda*,28,64,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,Nippon Ham Fighters,takeda001mas,Masaru Takeda*,28,35,10,10,0,1,0,0,0,0,0,0,0,5,0.1,0.1,0.1,0.2,1,0,0,0,0,0
