Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2008,Chiba Lotte Marines,agbaya001ben,Benny Agbayani,36,97,323,279,35,79,12,3,5,42,3,1,42,51,0.283,0.378,0.401,0.779,112,8,1,0,1,0
2008,Chiba Lotte Marines,daita-001tak,Takenori Daita#,34,2,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
2008,Chiba Lotte Marines,fukuur001kaz,Kazuya Fukuura*,32,105,370,310,39,78,9,0,1,44,0,0,50,49,0.252,0.352,0.29,0.643,90,10,2,1,7,2
2008,Chiba Lotte Marines,hashim001tas,Tasuku Hashimoto*,32,93,329,280,34,87,28,1,11,55,1,0,45,58,0.311,0.404,0.536,0.939,150,4,0,2,2,3
2008,Chiba Lotte Marines,hayaka001dai,Daisuke Hayakawa#,33,133,416,369,53,92,14,4,5,32,18,8,18,60,0.249,0.305,0.35,0.655,129,7,13,13,3,0
2008,Chiba Lotte Marines,hayasa001kei,Keisuke Hayasaka#,24,17,25,24,2,2,0,0,0,0,0,0,0,9,0.083,0.083,0.083,0.167,2,0,0,1,0,0
2008,Chiba Lotte Marines,heiuch001his,Hisao Heiuchi*,26,40,66,59,8,9,1,0,2,2,0,0,2,18,0.153,0.18,0.271,0.452,16,1,0,5,0,0
2008,Chiba Lotte Marines,hori--001koi,Koichi Hori,39,41,104,93,5,19,3,0,0,6,2,1,6,17,0.204,0.26,0.237,0.497,22,3,1,4,0,0
2008,Chiba Lotte Marines,hosoya001kei,Kei Hosoya,20,20,50,48,4,8,2,0,0,4,0,0,1,15,0.167,0.184,0.208,0.392,10,1,0,1,0,0
2008,Chiba Lotte Marines,imae--001tos,Toshiaki Imae,24,117,450,405,57,125,37,4,12,55,3,1,19,48,0.309,0.344,0.509,0.853,206,7,6,14,6,1
2008,Chiba Lotte Marines,ito---001yos,Yoshihiro Ito,26,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Chiba Lotte Marines,kakuna001kat,Katsuya Kakunaka*,21,10,23,18,2,2,0,0,1,1,0,0,4,4,0.111,0.273,0.278,0.551,5,0,0,1,0,0
2008,Chiba Lotte Marines,kanaza002tak,Takeshi Kanazawa*,24,15,47,44,5,12,2,1,0,10,0,0,2,11,0.273,0.319,0.364,0.683,16,1,1,0,0,0
2008,Chiba Lotte Marines,karaka001yuk,Yuki Karakawa,18,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Chiba Lotte Marines,kobaya001hir,Hiroyuki Kobayashi,30,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Chiba Lotte Marines,kobe--001tak,Takumi Kobe*,23,23,50,48,5,10,1,0,2,3,1,0,1,16,0.208,0.225,0.354,0.579,17,0,0,1,0,0
2008,Chiba Lotte Marines,kubo--001yas,Yasutomo Kubo,27,33,4,4,0,1,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,1,0,0,0,0,0
2008,Chiba Lotte Marines,minami001ryu,Ryusuke Minami,26,21,44,40,5,9,2,0,1,2,1,0,3,11,0.225,0.279,0.35,0.629,14,0,0,1,0,0
2008,Chiba Lotte Marines,naruse001yos,Yoshihisa Naruse*,22,22,6,4,0,1,0,1,0,0,0,0,0,2,0.25,0.25,0.75,1,3,0,0,2,0,0
2008,Chiba Lotte Marines,nemoto001shu,Shunichi Nemoto*,24,110,360,314,45,93,21,6,3,29,9,6,32,60,0.296,0.369,0.43,0.799,135,1,4,10,0,0
2008,Chiba Lotte Marines,nishio002tsu,Tsuyoshi Nishioka#,23,116,522,473,78,142,26,6,13,49,18,11,36,68,0.3,0.357,0.463,0.82,219,3,7,4,2,1
2008,Chiba Lotte Marines,ohmats001sho,Shoitsu Omatsu*,26,134,489,447,62,117,30,2,24,91,1,1,33,73,0.262,0.316,0.499,0.815,223,6,4,1,4,2
2008,Chiba Lotte Marines,ohmura001sab,Saburo Omura,32,105,390,346,43,100,22,2,6,56,6,4,36,70,0.289,0.359,0.416,0.775,144,5,4,0,4,1
2008,Chiba Lotte Marines,ono---001shi,Shingo Ono,33,15,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2008,Chiba Lotte Marines,ortiz-003jos,José Ortiz,31,100,373,337,52,97,21,1,11,37,1,1,32,61,0.288,0.35,0.454,0.804,153,8,1,1,2,1
2008,Chiba Lotte Marines,ohtsuk001aki,Akira Otsuka,33,103,159,139,19,37,14,0,3,20,7,4,13,27,0.266,0.327,0.432,0.759,60,4,0,6,1,0
2008,Chiba Lotte Marines,satoza001tom,Tomoya Satozaki,32,92,381,330,54,86,8,0,15,45,1,1,44,92,0.261,0.351,0.421,0.772,139,8,3,2,2,2
2008,Chiba Lotte Marines,shimiz001nao,Naoyuki Shimizu,32,25,7,6,1,1,0,0,0,0,0,0,0,4,0.167,0.167,0.167,0.333,1,0,0,1,0,0
2008,Chiba Lotte Marines,shinza001ken,Ken Shinzato,27,5,7,6,1,1,0,0,0,0,0,0,1,4,0.167,0.286,0.167,0.452,1,0,0,0,0,0
2008,Chiba Lotte Marines,sikors001bri,Brian Sikorski,33,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Chiba Lotte Marines,takeha001nao,Naotaka Takehara,28,67,139,116,19,21,8,0,3,16,1,2,20,24,0.181,0.307,0.328,0.634,38,4,1,2,0,0
2008,Chiba Lotte Marines,tanaka002mas,Masahiko Tanaka,26,45,73,66,8,17,2,0,0,5,2,0,5,13,0.258,0.31,0.288,0.598,19,0,0,2,0,0
2008,Chiba Lotte Marines,watana002mas,Masato Watanabe,29,28,40,36,4,11,2,0,1,3,0,0,2,13,0.306,0.342,0.444,0.787,16,0,0,2,0,0
2008,Chiba Lotte Marines,watana001shu,Shunsuke Watanabe,31,26,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,Chiba Lotte Marines,zuleta001jul,Julio Zuleta,33,73,263,241,21,52,15,1,8,33,1,1,16,72,0.216,0.274,0.386,0.66,93,14,4,0,2,1
