Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2011,Hanshin Tigers,akiyam001tak,Takumi Akiyama*,20,2,4,3,0,1,0,0,0,1,0,0,1,1,0.333,0.5,0.333,0.833,1,0,0,0,0,0
2011,Hanshin Tigers,arai--001ryo,Ryota Arai,27,43,27,26,3,5,0,0,0,3,0,0,1,8,0.192,0.222,0.192,0.415,5,1,0,0,0,0
2011,Hanshin Tigers,arai--001tak,Takahiro Arai,34,144,602,550,68,148,25,3,17,93,5,0,41,106,0.269,0.321,0.418,0.739,230,20,4,0,7,2
2011,Hanshin Tigers,asai--001ryo,Ryo Asai,31,63,75,65,6,9,4,0,0,5,0,1,6,15,0.139,0.219,0.2,0.419,13,0,1,2,1,0
2011,Hanshin Tigers,brazel001cra,Craig Brazell*,31,120,456,422,33,119,21,0,16,69,0,1,21,71,0.282,0.322,0.446,0.768,188,15,7,0,6,1
2011,Hanshin Tigers,cheng-001kai,Kai Wen Cheng,22,3,3,3,1,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1,2,1,0,0,0,0
2011,Hanshin Tigers,fujiha001mas,Masanori Fujihara*,23,19,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011,Hanshin Tigers,fujii-001aki,Akihito Fujii,35,99,298,265,19,59,9,1,2,15,1,1,16,48,0.223,0.27,0.287,0.556,76,10,1,16,0,2
2011,Hanshin Tigers,fujika001shu,Shunsuke Fujikawa,23,108,205,190,20,46,6,2,1,9,5,3,9,28,0.242,0.276,0.311,0.587,59,2,0,6,0,0
2011,Hanshin Tigers,fukuha001shi,Shinobu Fukuhara,34,55,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
