Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2012,Hokkaido Nippon Ham Fighters,hoffpa001jam,Micah Hoffpauir*,32,109,325,296,28,73,13,0,14,37,1,1,25,81,0.247,0.311,0.432,0.743,128,3,3,0,1,2
2012,Hokkaido Nippon Ham Fighters,iiyama001yuj,Yuji Iiyama,32,85,74,68,7,12,1,0,0,2,1,0,1,17,0.177,0.2,0.191,0.391,13,1,1,4,0,0
2012,Hokkaido Nippon Ham Fighters,imanam001tak,Takahiro Imanami*,27,13,18,18,0,3,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.333,3,1,0,0,0,0
2012,Hokkaido Nippon Ham Fighters,inaba-001ats,Atsunori Inaba*,39,127,497,449,46,130,23,3,10,61,0,0,32,70,0.29,0.342,0.421,0.762,189,3,5,8,3,3
2012,Hokkaido Nippon Ham Fighters,itoi--001yos,Yoshio Itoi*,30,134,597,510,72,155,21,3,9,48,22,9,75,86,0.304,0.404,0.41,0.814,209,9,11,0,1,2
2012,Hokkaido Nippon Ham Fighters,iwadat001man,Manabu Iwadate,31,24,33,31,3,4,0,0,2,3,0,0,0,4,0.129,0.156,0.323,0.479,10,0,1,1,0,0
2012,Hokkaido Nippon Ham Fighters,kaneko001mak,Makoto Kaneko,36,103,311,277,21,63,18,0,0,22,1,4,15,53,0.227,0.265,0.292,0.558,81,2,0,17,2,0
2012,Hokkaido Nippon Ham Fighters,kato--001mas,Masayoshi Kato*,25,20,36,28,6,4,0,0,1,2,0,0,4,8,0.143,0.242,0.25,0.492,7,0,0,3,1,0
2012,Hokkaido Nippon Ham Fighters,kondo-000ken,Kensuke Kondoh*,18,20,30,26,2,5,0,0,0,2,0,0,2,5,0.192,0.241,0.192,0.434,5,1,0,1,1,0
2012,Hokkaido Nippon Ham Fighters,koyano001eii,Eiichi Koyano,31,134,550,478,31,109,20,1,3,39,6,2,27,72,0.228,0.275,0.293,0.567,140,8,4,40,1,0
2012,Hokkaido Nippon Ham Fighters,murata001kaz,Kazuya Murata*,26,15,10,9,3,1,0,0,0,0,0,1,1,3,0.111,0.2,0.111,0.311,1,0,0,0,0,0
2012,Hokkaido Nippon Ham Fighters,nakash000tak,Takuya Nakashima*,21,105,82,70,9,8,0,0,0,0,2,0,1,17,0.114,0.127,0.114,0.241,8,0,0,11,0,0
2012,Hokkaido Nippon Ham Fighters,nakata001sho,Sho Nakata,23,144,606,547,79,131,25,1,24,77,5,4,50,101,0.24,0.307,0.421,0.727,230,8,5,0,4,1
2012,Hokkaido Nippon Ham Fighters,nioka-001tom,Tomohiro Nioka,36,65,94,85,4,30,1,0,2,14,0,0,7,13,0.353,0.404,0.435,0.84,37,3,1,0,1,1
2012,Hokkaido Nippon Ham Fighters,nishik000har,Haruki Nishikawa*,20,71,155,134,22,32,6,1,2,13,7,0,14,34,0.239,0.311,0.343,0.654,46,0,0,7,0,0
2012,Hokkaido Nippon Ham Fighters,ono---001sho,Shota Ohno,25,70,159,140,7,24,4,0,2,11,0,2,8,30,0.171,0.227,0.243,0.47,34,2,2,9,0,0
2012,Hokkaido Nippon Ham Fighters,saito-000yuk,Yuki Saitoh,24,19,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2012,Hokkaido Nippon Ham Fighters,sledge001ter,Terrmel Sledge*,35,47,152,138,12,32,7,1,5,23,0,0,12,47,0.232,0.303,0.406,0.708,56,2,2,0,0,0
2012,Hokkaido Nippon Ham Fighters,sugiya002ken,Kenshi Sugiya#,21,58,133,115,11,27,3,1,2,12,4,2,7,18,0.235,0.28,0.33,0.61,38,1,1,8,2,0
2012,Hokkaido Nippon Ham Fighters,tadano001kaz,Kazuhito Tadano,32,18,5,5,1,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,0,0,0,0,0
2012,Hokkaido Nippon Ham Fighters,takeda001mas,Masaru Takeda*,33,28,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2012,Hokkaido Nippon Ham Fighters,tanaka001ken,Kensuke Tanaka*,31,114,505,457,49,137,14,3,3,32,13,9,35,36,0.3,0.35,0.363,0.713,166,2,2,8,3,2
2012,Hokkaido Nippon Ham Fighters,tanigu000yuy,Yuya Taniguchi*,20,4,6,5,0,2,1,0,0,1,0,0,0,2,0.4,0.4,0.6,1,3,0,0,1,0,0
2012,Hokkaido Nippon Ham Fighters,tsuruo001shi,Shinya Tsuruoka,31,116,328,289,22,77,10,1,0,25,3,2,14,41,0.266,0.302,0.308,0.61,89,11,1,23,1,0
2012,Hokkaido Nippon Ham Fighters,ugumor001ats,Atsushi Ugumori,25,20,37,32,4,7,0,0,4,6,0,0,4,9,0.219,0.306,0.594,0.899,19,0,0,1,0,0
2012,Hokkaido Nippon Ham Fighters,wolfe-001bri,Brian Wolfe,31,26,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2012,Hokkaido Nippon Ham Fighters,yagi--001tom,Tomoya Yagi*,28,13,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012,Hokkaido Nippon Ham Fighters,yang--001chu,Daikan Yoh,25,144,599,533,71,153,28,5,7,55,17,6,37,123,0.287,0.337,0.398,0.735,212,10,6,18,5,1
2012,Hokkaido Nippon Ham Fighters,yoshik001mit,Mitsuo Yoshikawa*,24,25,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
