Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2012,Tohoku Rakuten Golden Eagles,abe---000tos,Toshihito Abe*,23,30,51,47,3,14,0,0,0,2,1,3,0,9,0.298,0.313,0.298,0.61,14,0,1,3,0,0
2012,Tohoku Rakuten Golden Eagles,akamin001gin,Ginji Akaminai*,24,126,485,432,37,121,16,2,4,45,8,4,22,37,0.28,0.318,0.354,0.672,153,4,4,23,4,0
2012,Tohoku Rakuten Golden Eagles,enomot000aoi,Aoi Enomoto*,19,16,22,19,3,3,0,1,0,0,0,0,3,1,0.158,0.273,0.263,0.536,5,0,0,0,0,0
2012,Tohoku Rakuten Golden Eagles,fernan004jos,José Fernández,37,129,489,440,30,107,19,1,3,51,2,3,44,67,0.243,0.313,0.311,0.624,137,11,2,0,3,1
2012,Tohoku Rakuten Golden Eagles,fujita001kaz,Kazuya Fujita*,29,63,188,172,17,53,8,2,0,15,5,2,4,10,0.308,0.322,0.378,0.7,65,4,0,11,1,0
2012,Tohoku Rakuten Golden Eagles,garcia002lui,Luis Garcia,33,77,296,269,20,61,12,0,7,30,0,1,23,65,0.227,0.291,0.349,0.64,94,6,2,0,2,0
2012,Tohoku Rakuten Golden Eagles,harper001bre,Brett Harper*,30,19,51,46,2,8,2,0,0,1,0,0,3,16,0.174,0.255,0.217,0.472,10,1,2,0,0,0
2012,Tohoku Rakuten Golden Eagles,hijiri001ryo,Ryo Hijirisawa*,26,138,595,523,78,141,14,3,4,45,54,11,49,104,0.27,0.338,0.331,0.669,173,4,7,12,4,0
2012,Tohoku Rakuten Golden Eagles,inada-001nao,Naoto Inada*,32,2,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,1,1,0,0,0,0
2012,Tohoku Rakuten Golden Eagles,ishimi001tad,Tadashi Ishimine*,27,11,28,24,3,4,1,0,0,1,0,0,3,5,0.167,0.259,0.208,0.468,5,0,0,1,0,0
2012,Tohoku Rakuten Golden Eagles,iwamur001aki,Akinori Iwamura*,33,26,79,67,9,14,6,0,1,5,0,0,11,10,0.209,0.317,0.343,0.66,23,0,0,0,1,0
2012,Tohoku Rakuten Golden Eagles,jimene001kel,Kelvin Jiménez,31,18,5,4,0,0,0,0,0,0,0,0,1,1,0,0.2,0,0.2,0,1,0,0,0,0
2012,Tohoku Rakuten Golden Eagles,kamata000yos,Yoshinao Kamata,18,20,7,7,0,1,1,0,0,0,0,0,0,4,0.143,0.143,0.286,0.429,2,1,0,0,0,0
2012,Tohoku Rakuten Golden Eagles,karash001wat,Wataru Karashima*,21,16,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2012,Tohoku Rakuten Golden Eagles,kawata001his,Hisashi Kawata*,32,18,47,41,0,12,0,0,0,5,0,0,5,6,0.293,0.362,0.293,0.654,12,2,0,0,1,0
2012,Tohoku Rakuten Golden Eagles,kosai-001yus,Yusuke Kosai*,29,11,20,17,2,3,1,0,1,5,0,0,0,3,0.177,0.158,0.412,0.57,7,0,0,1,2,0
2012,Tohoku Rakuten Golden Eagles,kusano001dai,Daisuke Kusano*,35,24,65,58,5,14,2,0,1,6,0,1,3,10,0.241,0.313,0.328,0.64,19,0,3,1,0,1
2012,Tohoku Rakuten Golden Eagles,makida001aki,Akihisa Makida,30,123,424,378,38,85,11,1,9,53,5,7,23,49,0.225,0.283,0.331,0.613,125,11,9,10,4,1
2012,Tohoku Rakuten Golden Eagles,masuda001shi,Shintaro Masuda*,24,79,290,254,29,75,14,3,5,32,1,1,19,56,0.295,0.35,0.433,0.783,110,2,5,7,5,2
2012,Tohoku Rakuten Golden Eagles,matsui001kaz,Kazuo Matsui#,36,106,433,402,55,107,22,4,9,43,14,3,26,55,0.266,0.312,0.408,0.72,164,6,1,3,1,3
2012,Tohoku Rakuten Golden Eagles,mima--000man,Manabu Mima*,25,23,9,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0
2012,Tohoku Rakuten Golden Eagles,nakamu001mas,Masato Nakamura*,30,25,59,53,5,12,2,0,1,6,0,0,2,8,0.226,0.255,0.321,0.575,17,0,0,4,0,0
2012,Tohoku Rakuten Golden Eagles,nakash001tos,Toshiya Nakashima,32,58,108,96,7,24,2,0,0,6,1,1,7,15,0.25,0.301,0.271,0.572,26,0,0,5,0,0
2012,Tohoku Rakuten Golden Eagles,nishid000tet,Tetsuro Nishida,20,20,27,22,2,3,0,0,0,1,0,0,1,4,0.136,0.208,0.136,0.345,3,0,1,3,0,0
2012,Tohoku Rakuten Golden Eagles,nishim001wat,Wataru Nishimura#,28,82,42,38,14,11,7,0,0,5,0,3,2,11,0.29,0.317,0.474,0.791,18,0,0,1,1,0
2012,Tohoku Rakuten Golden Eagles,okajim000tak,Takero Okajima*,22,43,125,120,12,31,3,0,2,11,3,1,4,15,0.258,0.288,0.333,0.621,40,1,1,0,0,0
2012,Tohoku Rakuten Golden Eagles,oyama-001kei,Keiji Oyama,31,22,65,58,4,13,1,0,0,6,0,1,3,15,0.224,0.254,0.241,0.495,14,1,0,2,2,0
2012,Tohoku Rakuten Golden Eagles,sadaok000tak,Takuma Sadaoka,25,16,37,32,4,5,3,0,0,2,0,0,3,16,0.156,0.229,0.25,0.479,8,0,0,2,0,0
2012,Tohoku Rakuten Golden Eagles,shima-001mot,Motohiro Shima,27,91,316,265,32,77,4,2,1,8,3,4,33,51,0.291,0.376,0.332,0.708,88,5,4,13,1,0
2012,Tohoku Rakuten Golden Eagles,shimau002hir,Hiroaki Shimauchi*,22,41,104,97,11,29,6,1,2,17,1,0,2,8,0.299,0.31,0.443,0.753,43,2,0,4,1,0
2012,Tohoku Rakuten Golden Eagles,shiomi000tak,Takahiro Shiomi*,23,19,6,6,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.5,0.833,3,0,0,0,0,0
2012,Tohoku Rakuten Golden Eagles,takasu001yos,Yosuke Takasu,36,58,212,176,16,43,7,0,0,9,2,0,24,15,0.244,0.338,0.284,0.622,50,5,2,8,2,0
2012,Tohoku Rakuten Golden Eagles,tanaka003mas,Masahiro Tanaka,23,22,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2012,Tohoku Rakuten Golden Eagles,terrer001lui,Luis Terrero,32,34,121,111,8,17,2,0,1,7,2,0,7,30,0.153,0.215,0.198,0.413,22,0,2,0,1,0
2012,Tohoku Rakuten Golden Eagles,tsuchi001tep,Teppei Tsuchiya*,29,121,355,315,34,79,7,3,1,33,8,5,11,45,0.251,0.285,0.302,0.587,95,7,6,18,5,0
2012,Tohoku Rakuten Golden Eagles,uchimu001ken,Kensuke Uchimura#,26,55,131,113,10,19,1,1,0,12,8,1,6,23,0.168,0.217,0.195,0.411,22,0,1,11,0,0
2012,Tohoku Rakuten Golden Eagles,yokoga001fum,Fuminori Yokogawa*,27,11,22,20,1,3,0,0,0,1,1,0,2,7,0.15,0.227,0.15,0.377,3,0,0,0,0,0
