Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2013,Yakult Swallows,aikawa002ryo,Ryoji Aikawa,36,66,239,219,23,61,13,0,6,30,1,1,14,42,0.279,0.319,0.42,0.739,92,2,0,4,2,1
2013,Yakult Swallows,akagaw001kat,Katsuki Akagawa*,22,9,14,13,0,2,0,0,0,0,0,0,0,4,0.154,0.154,0.154,0.308,2,0,0,1,0,0
2013,Yakult Swallows,araki-001tak,Takahiro Araki,25,12,44,43,6,11,1,0,1,3,0,1,0,3,0.256,0.256,0.349,0.605,15,0,0,1,0,0
2013,Yakult Swallows,balent001wla,Wladimir Balentien,28,130,547,439,94,145,17,0,60,131,0,0,103,105,0.33,0.455,0.779,1.234,342,14,1,0,4,9
2013,Yakult Swallows,fujimo001ats,Atsushi Fujimoto*,35,4,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2013,Yakult Swallows,furuno000mas,Masato Furuno,26,10,9,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2013,Yakult Swallows,hatake001kaz,Kazuhiro Hatakeyama,30,99,393,360,28,79,18,0,12,51,0,0,30,69,0.219,0.279,0.369,0.648,133,10,0,2,1,1
2013,Yakult Swallows,hiyane000wat,Wataru Hiyane,26,63,176,156,30,39,5,1,1,10,14,6,14,20,0.25,0.314,0.314,0.628,49,1,1,4,1,0
2013,Yakult Swallows,iihara001yas,Yasushi Iihara,30,70,193,168,24,46,8,2,3,23,2,2,21,25,0.274,0.355,0.399,0.753,67,6,0,4,0,0
2013,Yakult Swallows,ishika001mas,Masanori Ishikawa*,33,24,46,38,1,6,0,0,0,1,0,0,1,11,0.158,0.18,0.158,0.337,6,0,0,7,0,0
2013,Yakult Swallows,ishiya000tai,Taichi Ishiyama,24,60,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013,Yakult Swallows,iwamur001aki,Akinori Iwamura*,34,75,159,142,11,35,4,0,3,17,0,0,15,48,0.247,0.315,0.338,0.653,48,0,0,0,2,0
2013,Yakult Swallows,kawaba001shi,Shingo Kawabata*,25,70,312,267,36,83,7,2,5,37,2,2,37,28,0.311,0.393,0.408,0.802,109,6,0,7,1,1
2013,Yakult Swallows,kawasa000nar,Nariaki Kawasaki,27,11,15,12,1,3,1,0,0,1,0,0,2,3,0.25,0.4,0.333,0.733,4,0,1,0,0,0
2013,Yakult Swallows,kawash001kei,Keizo Kawashima,29,101,268,225,27,48,5,0,4,14,7,2,23,38,0.213,0.299,0.289,0.588,65,4,5,14,1,2
2013,Yakult Swallows,kiya--000ryo,Ryohei Kiya,24,28,18,14,1,2,0,0,0,1,0,0,3,7,0.143,0.294,0.143,0.437,2,1,0,1,0,0
2013,Yakult Swallows,leroux001chr,Chris Leroux*,29,5,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2013,Yakult Swallows,matsui000jun,Jun Matsui*,25,11,32,30,1,7,1,0,0,0,0,1,1,8,0.233,0.281,0.267,0.548,8,0,1,0,0,1
2013,Yakult Swallows,matsum001yui,Yuichi Matsumoto*,32,44,153,139,19,43,1,1,4,25,0,0,10,17,0.309,0.368,0.417,0.786,58,4,3,1,0,1
2013,Yakult Swallows,matsuo001ken,Kenichi Matsuoka,31,34,15,12,0,1,0,0,0,0,0,0,0,8,0.083,0.083,0.083,0.167,1,0,0,3,0,0
2013,Yakult Swallows,milled001las,Lastings Milledge,28,96,423,374,56,94,21,0,16,49,7,3,42,54,0.251,0.329,0.436,0.764,163,12,2,3,2,2
2013,Yakult Swallows,miwa--001mas,Masayoshi Miwa*,29,75,56,45,10,15,0,0,0,5,6,0,6,6,0.333,0.412,0.333,0.745,15,0,0,5,0,0
2013,Yakult Swallows,miyamo001shi,Shinya Miyamoto,42,104,259,237,13,63,1,0,0,17,1,0,14,28,0.266,0.308,0.27,0.578,64,8,1,6,1,0
2013,Yakult Swallows,mizuta001kei,Keisuke Mizuta,32,5,7,7,1,1,0,0,1,1,0,0,0,2,0.143,0.143,0.571,0.714,4,0,0,0,0,0
2013,Yakult Swallows,moriok001ryu,Ryosuke Morioka*,28,109,347,295,28,73,10,1,1,21,0,0,36,61,0.248,0.333,0.298,0.632,88,5,3,11,2,1
2013,Yakult Swallows,murana001kyo,Kyohei Muranaka*,25,25,33,27,1,1,0,0,0,0,0,0,1,17,0.037,0.071,0.037,0.108,1,0,0,5,0,0
2013,Yakult Swallows,nakamu001yuh,Yuhei Nakamura,23,84,286,239,17,56,5,2,4,24,1,1,30,37,0.234,0.325,0.322,0.647,77,8,3,12,2,2
2013,Yakult Swallows,nakaza001mas,Masato Nakazawa*,28,3,5,4,0,1,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,1,0,0,1,0,0
2013,Yakult Swallows,nishid000aki,Akihisa Nishida,21,5,8,8,1,1,0,0,0,0,0,0,0,1,0.125,0.125,0.125,0.25,1,0,0,0,0,0
