Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2016,Yomiuri Giants,abe---001shi,Shinnosuke Abe*,37,91,387,335,43,104,13,0,12,52,0,1,44,55,0.31,0.394,0.457,0.851,153,8,4,1,3,1
2016,Yomiuri Giants,aikawa002ryo,Ryoji Aikawa,39,37,48,41,2,10,2,0,0,4,0,0,6,10,0.244,0.333,0.293,0.626,12,0,0,0,1,1
2016,Yomiuri Giants,anders002les,Leslie Anderson*,33,3,12,12,0,3,0,0,0,1,0,0,0,4,0.25,0.25,0.25,0.5,3,0,0,0,0,0
2016,Yomiuri Giants,chono-001his,Hisayoshi Chono,31,143,618,576,58,163,28,4,11,42,8,2,33,78,0.283,0.326,0.403,0.729,232,7,5,1,3,0
2016,Yomiuri Giants,cruz--001lui,Luis Cruz,32,81,314,298,26,75,14,0,11,37,0,2,11,40,0.252,0.28,0.409,0.69,122,7,2,0,3,0
2016,Yomiuri Giants,donoue001tak,Takehiro Donoue*,31,43,53,48,4,8,2,0,2,6,0,0,4,11,0.167,0.245,0.333,0.579,16,2,1,0,0,0
2016,Yomiuri Giants,egaras000yuk,Yuki Egarashi,29,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,Yomiuri Giants,fujimu000dai,Daisuke Fujimura*,26,5,6,4,1,0,0,0,0,0,0,0,1,0,0,0.2,0,0.2,0,0,0,1,0,0
2016,Yomiuri Giants,garcia048jos,Adolis García,23,4,7,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2016,Yomiuri Giants,hasega000jun,Jun Hasegawa,25,3,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,1,0,0
2016,Yomiuri Giants,hashim001ita,Itaru Hashimoto*,26,74,259,219,27,51,15,1,2,20,7,3,20,45,0.233,0.297,0.338,0.635,74,4,0,20,0,0
2016,Yomiuri Giants,imamur000nob,Nobutaka Imamura*,22,16,24,22,0,2,0,0,0,0,0,0,0,9,0.091,0.091,0.091,0.182,2,0,0,2,0,0
2016,Yomiuri Giants,jones-002gar,Garrett Jones*,35,123,465,422,48,109,22,1,24,68,0,1,39,106,0.258,0.327,0.486,0.813,205,10,4,0,0,0
2016,Yomiuri Giants,kamei-001yos,Yoshiyuki Kamei*,33,66,240,226,21,57,14,0,3,23,0,2,11,35,0.252,0.287,0.354,0.641,80,7,0,3,0,0
2016,Yomiuri Giants,kataok001yas,Yasuyuki Kataoka,33,32,93,81,10,18,3,0,2,4,4,0,6,8,0.222,0.276,0.333,0.609,27,2,0,6,0,1
2016,Yomiuri Giants,kita--001ats,Atsushi Kita*,27,3,7,5,0,1,0,0,0,0,0,0,1,3,0.2,0.429,0.2,0.629,1,1,1,0,0,0
2016,Yomiuri Giants,kobaya001sei,Seiji Kobayashi,27,129,458,398,27,81,12,1,4,35,2,1,36,76,0.204,0.276,0.269,0.544,107,10,4,19,1,5
2016,Yomiuri Giants,koyama000yuk,Yuki Koyama,27,9,2,2,0,1,0,0,0,1,0,0,0,1,0.5,0.5,0.5,1,1,0,0,0,0,0
2016,Yomiuri Giants,mathie001sco,Scott Mathieson,32,70,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
