Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2021,Orix Buffaloes,adachi000ryo,Ryoichi Adachi,33,100,382,321,36,83,14,0,0,18,5,4,46,65,0.259,0.351,0.302,0.653,97,7,0,14,1,0
2021,Orix Buffaloes,fukuda002shu,Shuhei Fukuda*,28,107,471,408,47,112,14,1,1,21,9,1,43,52,0.275,0.354,0.321,0.675,131,6,8,10,2,0
2021,Orix Buffaloes,fusimi000tor,Torai Fushimi,31,91,262,238,21,52,11,1,4,25,0,1,14,39,0.219,0.269,0.324,0.592,77,5,3,5,2,0
2021,Orix Buffaloes,gibo--000sho,Sho Gibo*,20,33,28,25,4,4,2,0,0,1,0,0,1,7,0.16,0.222,0.24,0.462,6,1,1,1,0,0
2021,Orix Buffaloes,goto--000shu,Shunta Gotoh*,28,56,17,16,3,2,0,0,1,1,2,1,1,6,0.125,0.177,0.313,0.489,5,0,0,0,0,0
2021,Orix Buffaloes,jones-001ada,Adam Jones,35,72,180,154,10,36,4,0,4,23,0,0,22,35,0.234,0.339,0.338,0.677,52,7,3,0,1,1
2021,Orix Buffaloes,katsum000sho,Shoki Katsumata*,23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Orix Buffaloes,kita--000ryo,Ryoto Kita*,18,23,76,71,5,15,3,0,2,8,1,2,3,30,0.211,0.25,0.338,0.588,24,1,1,0,1,2
2021,Orix Buffaloes,kureba000kot,Kotaro Kurebayashi,19,136,473,448,37,102,22,2,10,48,2,1,12,101,0.228,0.251,0.353,0.603,158,11,3,6,4,0
2021,Orix Buffaloes,masui-001hir,Hirotoshi Masui,37,15,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
2021,Orix Buffaloes,matsui001mas,Masato Matsui*,33,10,7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2021,Orix Buffaloes,miyagi001hir,Hiroya Miyagi*,19,23,6,6,0,1,0,0,0,0,0,0,0,5,0.167,0.167,0.167,0.333,1,0,0,0,0,0
2021,Orix Buffaloes,moya--001ste,Steven Moya*,29,106,375,354,26,81,10,1,13,47,1,0,17,81,0.229,0.261,0.373,0.634,132,11,0,0,4,3
2021,Orix Buffaloes,mune--000yum,Yuma Mune*,25,139,543,481,71,131,17,7,9,42,8,4,33,62,0.272,0.335,0.393,0.728,189,15,13,14,2,1
2021,Orix Buffaloes,nakaga000kei,Keita Nakagawa,25,61,169,156,19,33,3,1,1,7,1,0,8,23,0.212,0.259,0.263,0.522,41,4,2,3,0,0
2021,Orix Buffaloes,nishim011ryo,Ryo Nishimura,25,13,45,42,0,9,2,0,0,2,0,0,3,6,0.214,0.267,0.262,0.529,11,1,0,0,0,0
2021,Orix Buffaloes,nishin000mas,Masahiro Nishino*,30,18,42,41,3,6,0,0,0,1,0,0,1,6,0.146,0.167,0.146,0.313,6,0,0,0,0,0
2021,Orix Buffaloes,oda---000yuy,Yuya Oda*,31,101,18,15,18,1,0,0,0,0,5,2,1,4,0.067,0.177,0.067,0.243,1,0,1,1,0,0
2021,Orix Buffaloes,oshiro000koj,Koji Ohshiro,28,49,71,61,4,11,3,0,0,5,1,0,3,14,0.18,0.242,0.23,0.472,14,2,2,5,0,0
2021,Orix Buffaloes,ohshit000sei,Seiichiro Ohshita,23,15,27,25,1,4,0,0,1,2,0,0,1,7,0.16,0.222,0.28,0.502,7,0,1,0,0,0
2021,Orix Buffaloes,ota---000ryo,Ryo Ohta,20,53,159,151,10,26,2,0,3,9,1,0,4,44,0.172,0.194,0.245,0.439,37,3,0,4,0,0
2021,Orix Buffaloes,okada-001tak,Takahiro Okada*,33,115,407,357,45,86,16,1,17,63,2,3,35,86,0.241,0.322,0.434,0.756,155,2,10,0,5,4
2021,Orix Buffaloes,ravelo001ran,Rangel Ravelo,29,2,7,7,1,3,0,0,0,0,0,0,0,1,0.429,0.429,0.429,0.857,3,1,0,0,0,0
2021,Orix Buffaloes,romero003ste,Stefen Romero,32,20,80,77,10,13,2,1,3,9,0,0,2,31,0.169,0.2,0.338,0.538,26,1,1,0,0,0
2021,Orix Buffaloes,sano--000kod,Kodai Sano,24,67,87,82,15,12,2,1,1,2,8,2,1,26,0.146,0.167,0.232,0.398,19,0,1,3,0,0
2021,Orix Buffaloes,sano--000yuk,Yukikazu Sano*,22,10,9,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0
2021,Orix Buffaloes,sugimo000yut,Yutaro Sugimoto,30,134,542,478,73,144,20,2,32,83,3,3,51,116,0.301,0.378,0.552,0.931,264,15,10,0,3,4
2021,Orix Buffaloes,tajima000dai,Daiki Tajima*,24,24,1,0,0,0,0,0,0,0,0,0,1,0,NA,1,NA,NA,0,0,0,0,0,0
2021,Orix Buffaloes,takeya000dai,Daichi Takeyasu,26,17,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,Orix Buffaloes,tongu-000yum,Yuma Tongu,24,46,125,112,11,26,4,0,5,14,0,0,8,41,0.232,0.298,0.402,0.7,45,0,3,1,1,0
2021,Orix Buffaloes,wakats000ken,Kenya Wakatsuki,25,68,140,117,11,25,4,0,5,16,1,0,11,27,0.214,0.29,0.376,0.666,44,2,2,9,1,0
2021,Orix Buffaloes,yamaas000tat,Tatsuya Yamaashi,27,53,39,33,8,9,0,0,0,1,0,0,4,5,0.273,0.351,0.273,0.624,9,0,0,2,0,0
2021,Orix Buffaloes,yamamo004yos,Yoshinobu Yamamoto,22,26,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2021,Orix Buffaloes,yamaok000tai,Taisuke Yamaoka*,25,12,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2021,Orix Buffaloes,yamasa000sac,Sachiya Yamasaki*,28,22,2,2,1,1,1,0,0,0,0,0,0,0,0.5,0.5,1,1.5,2,0,0,0,0,0
2021,Orix Buffaloes,cho---000yak,Chang Yi,27,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Orix Buffaloes,yoshid002mas,Masataka Yoshida*,27,110,455,389,61,132,22,1,21,72,0,0,58,26,0.339,0.429,0.563,0.992,219,9,5,0,3,6
