Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2021,Saitama Seibu Lions,dermod001mat,Matt Dermody,30,11,5,3,0,0,0,0,0,0,0,0,1,2,0,0.25,0,0.25,0,0,0,1,0,0
2021,Saitama Seibu Lions,genda-000sos,Sosuke Genda*,28,119,516,464,60,126,15,7,2,29,24,9,31,67,0.272,0.319,0.347,0.666,161,5,2,17,2,0
2021,Saitama Seibu Lions,hiranu000sho,Shota Hiranuma*,23,9,13,13,0,2,1,0,0,0,0,0,0,5,0.154,0.154,0.231,0.385,3,0,0,0,0,0
2021,Saitama Seibu Lions,imai--000tat,Tatsuya Imai,23,25,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2021,Saitama Seibu Lions,kaneko001yuj,Yuji Kaneko#,31,101,220,198,24,38,7,1,0,9,9,9,12,39,0.192,0.243,0.237,0.48,47,7,2,6,2,0
2021,Saitama Seibu Lions,kawago000sei,Seiji Kawagoe*,28,63,174,160,12,36,3,1,5,11,1,0,12,44,0.225,0.283,0.35,0.633,56,2,1,1,0,0
2021,Saitama Seibu Lions,kimura001fum,Fumikazu Kimura,32,20,56,50,4,9,2,0,0,3,0,0,3,18,0.18,0.222,0.22,0.442,11,0,0,2,1,0
2021,Saitama Seibu Lions,kishi-000jun,Junichiro Kishi,24,100,338,304,29,67,9,1,9,30,2,1,13,49,0.22,0.263,0.345,0.609,105,10,5,15,1,0
2021,Saitama Seibu Lions,kumash000mas,Masato Kumashiro,32,60,9,7,8,2,0,0,0,0,1,1,0,1,0.286,0.375,0.286,0.661,2,0,1,1,0,0
2021,Saitama Seibu Lions,kuriya001tak,Takumi Kuriyama*,37,117,446,387,33,97,15,0,4,43,1,0,49,58,0.251,0.334,0.32,0.655,124,11,3,0,7,1
2021,Saitama Seibu Lions,matsum000wat,Wataru Matsumoto,24,28,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,Saitama Seibu Lions,mejia-001ern,Ernesto Mejia,35,16,22,21,1,3,2,0,1,3,0,0,1,12,0.143,0.182,0.381,0.563,8,0,0,0,0,1
2021,Saitama Seibu Lions,mori--000tom,Tomoya Mori*,25,125,520,431,70,133,32,2,11,41,5,2,79,65,0.309,0.42,0.469,0.889,202,4,6,1,3,3
2021,Saitama Seibu Lions,moriwa000ryo,Ryosuke Moriwaki,28,45,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,Saitama Seibu Lions,nakamu001tak,Takeya Nakamura,37,123,475,430,50,122,13,0,18,74,0,0,39,114,0.284,0.343,0.44,0.783,189,12,2,0,4,3
2021,Saitama Seibu Lions,nishik000man,Manaya Nishikawa*,22,12,27,20,1,0,0,0,0,2,0,0,4,8,0,0.154,0,0.154,0,1,0,1,2,0
