Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1950,Tokyu Flyers,P,yoneka000yas,Yasuo Yonekawa,58,NA,NA,NA,NA,NA,NA,NA
1950,Tokyu Flyers,P,shirak000gii,Giichiro Shiraki,37,NA,NA,NA,NA,NA,NA,NA
1950,Tokyu Flyers,P,kuwana000shi,Shigeharu Kuwana,33,NA,NA,NA,NA,NA,NA,NA
1950,Tokyu Flyers,P,tarui-000kat,Seiichi Tarui,27,NA,NA,NA,NA,NA,NA,NA
1950,Tokyu Flyers,P,itoh--000mak,Makizo Ito,21,NA,NA,NA,NA,NA,NA,NA
1950,Tokyu Flyers,P,hamada000hir,Hiroshi Hamada,12,NA,NA,NA,NA,NA,NA,NA
1950,Tokyu Flyers,P,tsunem000shi,Shigeru Tsunemi,7,NA,NA,NA,NA,NA,NA,NA
1950,Tokyu Flyers,P,teraka000sho,Shoji Terakawa,6,NA,NA,NA,NA,NA,NA,NA
1950,Tokyu Flyers,P,tsuta-000fum,Fumiya Tsuta,5,NA,NA,NA,NA,NA,NA,NA
1950,Tokyu Flyers,P,kimura000tom,Tomio Kimura,2,NA,NA,NA,NA,NA,NA,NA
1950,Tokyu Flyers,P,kubode000aki,Akira Kubodera,1,NA,NA,NA,NA,NA,NA,NA
1950,Tokyu Flyers,P,shiose000mor,Morimichi Shiose,1,NA,NA,NA,NA,NA,NA,NA
1950,Tokyu Flyers,P,yasui-000koi,Koichi Yasui,1,NA,NA,NA,NA,NA,NA,NA
