Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1951,Daiei Stars,P,hayash000gii,Giichi Hayashi,34,NA,NA,NA,NA,NA,NA,NA
1951,Daiei Stars,P,himeno000yos,Yoshiharu Himeno,30,NA,NA,NA,NA,NA,NA,NA
1951,Daiei Stars,P,takama000tos,Toshio Takamatsu,29,NA,NA,NA,NA,NA,NA,NA
1951,Daiei Stars,P,ogawa-000yos,Yoshiharu Ogawa,23,NA,NA,NA,NA,NA,NA,NA
1951,Daiei Stars,P,yabumo000kaz,Kazuo Yabumoto,16,NA,NA,NA,NA,NA,NA,NA
1951,Daiei Stars,P,starfi000vic,Victor Starffin,14,NA,NA,NA,NA,NA,NA,NA
1951,Daiei Stars,P,ikeda-000zen,Zenzo Ikeda,7,NA,NA,NA,NA,NA,NA,NA
1951,Daiei Stars,P,koba--000iwa,Iwao Koba,6,NA,NA,NA,NA,NA,NA,NA
1951,Daiei Stars,P,takeuc000kaz,Kazuo Takeuchi,4,NA,NA,NA,NA,NA,NA,NA
1951,Daiei Stars,P,araoka000aki,Akira Araoka,2,NA,NA,NA,NA,NA,NA,NA
1951,Daiei Stars,P,iio---000tak,Takao Iio,2,NA,NA,NA,NA,NA,NA,NA
