Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1951,Nagoya Dragons,P,sugish000shi,Shigeru Sugishita,58,NA,NA,NA,NA,NA,NA,NA
1951,Nagoya Dragons,P,miyash000nob,Nobuaki Miyashita,27,NA,NA,NA,NA,NA,NA,NA
1951,Nagoya Dragons,P,mitomi000tsu,Tsuneo Mitomi,25,NA,NA,NA,NA,NA,NA,NA
1951,Nagoya Dragons,P,hoshid000jir,Jiro Hoshida,22,NA,NA,NA,NA,NA,NA,NA
1951,Nagoya Dragons,P,honda-000its,Itsuro Honda,17,NA,NA,NA,NA,NA,NA,NA
1951,Nagoya Dragons,P,kato--000aki,Akiro Kato,15,NA,NA,NA,NA,NA,NA,NA
1951,Nagoya Dragons,P,kondo-000sad,Sadao Kondo,13,NA,NA,NA,NA,NA,NA,NA
1951,Nagoya Dragons,P,tokuna000kik,Kikuo Tokunaga,13,NA,NA,NA,NA,NA,NA,NA
1951,Nagoya Dragons,P,nakani000yos,Yoshiyuki Nakanishi,9,NA,NA,NA,NA,NA,NA,NA
1951,Nagoya Dragons,P,hattor000tsu,Tsuguhiro Hattori,5,NA,NA,NA,NA,NA,NA,NA
1951,Nagoya Dragons,P,kondo-000tei,Teizo Kondo,5,NA,NA,NA,NA,NA,NA,NA
1951,Nagoya Dragons,P,kodama000tos,Riichi Kodama,4,NA,NA,NA,NA,NA,NA,NA
1951,Nagoya Dragons,P,kojima000tei,Teiji Kojima,4,NA,NA,NA,NA,NA,NA,NA
1951,Nagoya Dragons,P,itoh--001shi,Shiro Ito,3,NA,NA,NA,NA,NA,NA,NA
