Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1952,Nishitetsu Lions,P,otsu--000mam,Mamoru Otsu,46,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,P,noguch000mas,Masaaki Noguchi,45,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,P,kawasa000tok,Tokuji Kawasaki,41,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,P,nomoto000kii,Kiichiro Nomoto,29,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,P,oneil-002mar,Marion O'Neil,26,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,P,takesu000shi,Shisho Takesue,23,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,P,kinosh000isa,Isamu Kinoshita,15,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,P,shimab000yuk,Yukio Shimabara,15,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,P,ogata-001tos,Toshiaki Ogata,3,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,P,abe---000nag,Nagahisa Abe,1,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,P,okamot001ken,Kenji Okamoto,1,NA,NA,NA,NA,NA,NA,NA
