Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1953,Mainichi Orions,3B,kochi-000tak,Takuji Kouchi,68,NA,NA,NA,NA,NA,NA,NA
1953,Mainichi Orions,3B,kitamu000sho,Shoji Kitamura,42,NA,NA,NA,NA,NA,NA,NA
1953,Mainichi Orions,3B,inagak000sad,Sadao Inagaki,16,NA,NA,NA,NA,NA,NA,NA
1953,Mainichi Orions,3B,shimad000tsu,Tsuneyuki Shimada,16,NA,NA,NA,NA,NA,NA,NA
1953,Mainichi Orions,3B,hood--003cha,Charlie Hood,13,NA,NA,NA,NA,NA,NA,NA
1953,Mainichi Orions,3B,nishiw001koj,Koji Nishiwaki,8,NA,NA,NA,NA,NA,NA,NA
1953,Mainichi Orions,3B,hashim000chi,Chikara Hashimoto,5,NA,NA,NA,NA,NA,NA,NA
1953,Mainichi Orions,3B,hagiwa000aki,Akira Hagiwara,1,NA,NA,NA,NA,NA,NA,NA
1953,Mainichi Orions,3B,hondo-000yas,Yasuya Hondo,1,NA,NA,NA,NA,NA,NA,NA
1953,Mainichi Orions,3B,yamane001tos,Toshihide Yamane,1,NA,NA,NA,NA,NA,NA,NA
