Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1957,Kintetsu Pearls,1B,hyodo-000kiy,Tadashi Hyodo,72,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,1B,kimino000ken,Kenichi Kimino,67,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,1B,kito--000sei,Masakazu Kito,4,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,1B,shiomu000nor,Tenji Shiomura,2,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,1B,ebara-000yos,Yoshimi Ebara,1,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,1B,iko---000ter,Teruo Iko,1,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,1B,itoh--001shi,Shiro Ito,1,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,1B,kashiw000kun,Kunio Kashiwagi,1,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,1B,nagai-000yas,Yasuo Nagai,1,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,1B,sato--000ryo,Ryoichi Sato,1,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,1B,yamash000nob,Noboru Yamashita,1,NA,NA,NA,NA,NA,NA,NA
