Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1957,Mainichi Orions,OF,yamauc001kaz,Kazuhiro Yamauchi,125,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,OF,moroki000mot,Motohiro Moroki,117,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,OF,hashim000chi,Chikara Hashimoto,106,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,OF,arakaw000hir,Hiroshi Arakawa,74,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,OF,komori000kos,Kosei Komori,37,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,OF,go----000sho,Shosei Go,21,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,OF,numaza000koi,Koichiro Numazawa,9,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,OF,suzuki000hid,Hideyuki Suzuki,9,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,OF,miyake001tak,Takuzo Miyake,5,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,OF,otake-000hit,Hitoshi Otake,5,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,OF,katsur000tak,Takao Katsuragi,2,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,OF,nagahi000isa,Isao Nagahira,1,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,OF,shimiz003hir,Hirokazu Shimizu,1,NA,NA,NA,NA,NA,NA,NA
