Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1958,Daimai Orions,OF,yato--000tak,Takao Yato,125,NA,NA,NA,NA,NA,NA,NA
1958,Daimai Orions,OF,moroki000mot,Motohiro Moroki,94,NA,NA,NA,NA,NA,NA,NA
1958,Daimai Orions,OF,arakaw000hir,Hiroshi Arakawa,86,NA,NA,NA,NA,NA,NA,NA
1958,Daimai Orions,OF,yamauc001kaz,Kazuhiro Yamauchi,74,NA,NA,NA,NA,NA,NA,NA
1958,Daimai Orions,OF,hashim000chi,Chikara Hashimoto,69,NA,NA,NA,NA,NA,NA,NA
1958,Daimai Orions,OF,arai--000shi,Shigeru Arai,28,NA,NA,NA,NA,NA,NA,NA
1958,Daimai Orions,OF,takano000kai,Kaishi Takano,15,NA,NA,NA,NA,NA,NA,NA
1958,Daimai Orions,OF,suzuki000hid,Hideyuki Suzuki,14,NA,NA,NA,NA,NA,NA,NA
1958,Daimai Orions,OF,numaza000koi,Koichiro Numazawa,9,NA,NA,NA,NA,NA,NA,NA
1958,Daimai Orions,OF,inagak000tad,Tadayoshi Inagaki,7,NA,NA,NA,NA,NA,NA,NA
1958,Daimai Orions,OF,komori000kos,Kosei Komori,5,NA,NA,NA,NA,NA,NA,NA
1958,Daimai Orions,OF,katsur000tak,Takao Katsuragi,3,NA,NA,NA,NA,NA,NA,NA
1958,Daimai Orions,OF,wada--001isa,Isao Wada,2,NA,NA,NA,NA,NA,NA,NA
1958,Daimai Orions,OF,ota---000mas,Masao Ota,1,NA,NA,NA,NA,NA,NA,NA
