Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1958,Kintetsu Pearls,OF,iko---000ter,Teruo Iko,75,NA,NA,NA,NA,NA,NA,NA
1958,Kintetsu Pearls,OF,kusaka000tak,Takashi Kusaka,74,NA,NA,NA,NA,NA,NA,NA
1958,Kintetsu Pearls,OF,saida-000tad,Tadatoshi Saida,65,NA,NA,NA,NA,NA,NA,NA
1958,Kintetsu Pearls,OF,sekimo000mas,Masaharu Sekimori,62,NA,NA,NA,NA,NA,NA,NA
1958,Kintetsu Pearls,OF,sekine000jun,Junzo Sekine,57,NA,NA,NA,NA,NA,NA,NA
1958,Kintetsu Pearls,OF,oishi-000mas,Masaaki Oishi,51,NA,NA,NA,NA,NA,NA,NA
1958,Kintetsu Pearls,OF,kato--005mas,Masatoshi Kato,44,NA,NA,NA,NA,NA,NA,NA
1958,Kintetsu Pearls,OF,goto--000mic,Michinobu Goto,27,NA,NA,NA,NA,NA,NA,NA
1958,Kintetsu Pearls,OF,kimura000tsu,Tsutomu Kimura,19,NA,NA,NA,NA,NA,NA,NA
1958,Kintetsu Pearls,OF,watana005hir,Hiroyuki Watanabe,19,NA,NA,NA,NA,NA,NA,NA
1958,Kintetsu Pearls,OF,kishi-000ter,Teruo Kishi,17,NA,NA,NA,NA,NA,NA,NA
1958,Kintetsu Pearls,OF,tsukud000aki,Akitada Tsukuda,6,NA,NA,NA,NA,NA,NA,NA
1958,Kintetsu Pearls,OF,kimino000ken,Kenichi Kimino,2,NA,NA,NA,NA,NA,NA,NA
1958,Kintetsu Pearls,OF,kato--000aki,Akiro Kato,1,NA,NA,NA,NA,NA,NA,NA
