Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1958,Osaka Tigers,P,koyama000mas,Masaaki Koyama,53,NA,NA,NA,NA,NA,NA,NA
1958,Osaka Tigers,P,watana000sho,Shozo Watanabe,43,NA,NA,NA,NA,NA,NA,NA
1958,Osaka Tigers,P,nishio000shi,Shigetaka Nishio,40,NA,NA,NA,NA,NA,NA,NA
1958,Osaka Tigers,P,nakamu000kaz,Kazuomi Nakamura,36,NA,NA,NA,NA,NA,NA,NA
1958,Osaka Tigers,P,ishika000yos,Yoshiteru Ishikawa,34,NA,NA,NA,NA,NA,NA,NA
1958,Osaka Tigers,P,osaki-000mit,Mitsuo Osaki,26,NA,NA,NA,NA,NA,NA,NA
1958,Osaka Tigers,P,doi---000yut,Yutaka Doi,20,NA,NA,NA,NA,NA,NA,NA
1958,Osaka Tigers,P,nishim002kaz,Kazunori Nishimura,12,NA,NA,NA,NA,NA,NA,NA
1958,Osaka Tigers,P,umemot000mas,Masayuki Umemoto,5,NA,NA,NA,NA,NA,NA,NA
1958,Osaka Tigers,P,honma-000mas,Masaru Honma,3,NA,NA,NA,NA,NA,NA,NA
1958,Osaka Tigers,P,miyaza000its,Itsuhito Miyazaki,2,NA,NA,NA,NA,NA,NA,NA
