Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1959,Nishitetsu Lions,OF,tamadu000yoj,Yoji Tamatsukuri,124,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,takaku000ter,Teruyuki Takakura,120,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,sekigu000sei,Seiji Sekiguchi,100,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,hanai-000yu-,Yu Hanai,95,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,oshita000hir,Hiroshi Oshita,79,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,tanabe000yos,Yoshizo Tanabe,34,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,ogi---000tak,Takao Ogi,27,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,tanaka000kus,Kusuo Tanaka,23,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,hirats000tak,Takara Hiratsuka,5,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,miyake000tak,Takao Miyake,5,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,wako--000tad,Tadao Wako,3,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,hibino000tak,Takeshi Hibino,2,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,nakani000fut,Futoshi Nakanishi,2,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,inao--000kaz,Kazuhisa Inao,1,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,inoue-000tad,Tadayuki Inoue,1,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,ogawa-000yas,Yasuo Ogawa,1,NA,NA,NA,NA,NA,NA,NA
1959,Nishitetsu Lions,OF,shimab000yuk,Yukio Shimabara,1,NA,NA,NA,NA,NA,NA,NA
