Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1962,Taiyo Whales,1B,mcmanu002jam,Jim McManus,110,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,1B,shimad000yuk,Yukio Shimada,45,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,1B,kondo-000kaz,Kazuhiko Kondo,11,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,1B,grunwa001alf,Al Grunwald,7,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,1B,ueda--000shi,Shigeo Ueda,2,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,1B,agcaoi001fra,Francis Agcaoili,1,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,1B,haijim000his,Hisami Haijima,1,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,1B,hakota000jun,Jun Hakota,1,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,1B,kuwata000tak,Takeshi Kuwata,1,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,1B,matoba000yug,Yugo Matoba,1,NA,NA,NA,NA,NA,NA,NA
