Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1963,Daimai Orions,2B,hatta-000tad,Tadashi Hatta,85,NA,NA,NA,NA,NA,NA,NA
1963,Daimai Orions,2B,iwamot000sus,Susumu Iwamoto,34,NA,NA,NA,NA,NA,NA,NA
1963,Daimai Orions,2B,tsujim000yas,Yasunao Tsujimoto,28,NA,NA,NA,NA,NA,NA,NA
1963,Daimai Orions,2B,takair000kaz,Kazuo Takaira,19,NA,NA,NA,NA,NA,NA,NA
1963,Daimai Orions,2B,saito-000tat,Tatsuo Saito,15,NA,NA,NA,NA,NA,NA,NA
1963,Daimai Orions,2B,osaka-000mas,Masahiko Osaka,11,NA,NA,NA,NA,NA,NA,NA
1963,Daimai Orions,2B,shinoh000yos,Yoshiaki Shinohara,6,NA,NA,NA,NA,NA,NA,NA
1963,Daimai Orions,2B,kamijo000tak,Takahiro Kamijo,4,NA,NA,NA,NA,NA,NA,NA
1963,Daimai Orions,2B,doi---000sho,Shosuke Doi,1,NA,NA,NA,NA,NA,NA,NA
1963,Daimai Orions,2B,nakani000kat,Katsumi Nakanishi,1,NA,NA,NA,NA,NA,NA,NA
1963,Daimai Orions,2B,yato--000tak,Takao Yato,1,NA,NA,NA,NA,NA,NA,NA
