Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1963,Kokutetsu Swallows,P,shibut000sei,Seiji Shibutani,57,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,P,kaneda002mas,Masaichi Kaneda,53,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,P,suzuki000kiy,Kiyotake Suzuki,48,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,P,murata000gen,Genichi Murata,40,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,P,tadoko000zen,Zenjiro Tadokoro,35,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,P,arakaw000iwa,Iwao Arakawa,30,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,P,morita002yos,Yoshimi Moritaki,30,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,P,nishit001wil,Bill Nishita,30,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,P,ishido000shi,Shiroku Ishido,10,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,P,motegi000tad,Tadayuki Motegi,10,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,P,inagak000hir,Hiroaki Inagaki,8,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,P,tatsum000haj,Hajimu Tatsumi,6,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,P,miyash000yog,Yogo Miyashita,1,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,P,shimat000isa,Isao Shimatani,1,NA,NA,NA,NA,NA,NA,NA
