Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1964,Tokyo Orions,OF,yato--000tak,Takao Yato,133,NA,NA,NA,NA,NA,NA,NA
1964,Tokyo Orions,OF,palys-001sta,Stan Palys,128,NA,NA,NA,NA,NA,NA,NA
1964,Tokyo Orions,OF,solomk001mic,Michael Solomko,118,NA,NA,NA,NA,NA,NA,NA
1964,Tokyo Orions,OF,nishid001tak,Takayuki Nishida,113,NA,NA,NA,NA,NA,NA,NA
1964,Tokyo Orions,OF,ikebe-000tak,Takenori Ikebe,79,NA,NA,NA,NA,NA,NA,NA
1964,Tokyo Orions,OF,shiodu000yos,Yoshio Shiotsu,30,NA,NA,NA,NA,NA,NA,NA
1964,Tokyo Orions,OF,nishiy002kaz,Kazuyoshi Nishiyama,19,NA,NA,NA,NA,NA,NA,NA
1964,Tokyo Orions,OF,kobaya000hid,Hideyuki Kobayashi,10,NA,NA,NA,NA,NA,NA,NA
1964,Tokyo Orions,OF,kamijo000tak,Takahiro Kamijo,2,NA,NA,NA,NA,NA,NA,NA
1964,Tokyo Orions,OF,konish000hid,Hidero Konishi,2,NA,NA,NA,NA,NA,NA,NA
1964,Tokyo Orions,OF,kurata000shi,Shinji Kurataka,2,NA,NA,NA,NA,NA,NA,NA
1964,Tokyo Orions,OF,hasega000kaz,Kazuo Hasegawa,1,NA,NA,NA,NA,NA,NA,NA
1964,Tokyo Orions,OF,osaka-000mas,Masahiko Osaka,1,NA,NA,NA,NA,NA,NA,NA
