Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1965,Toei Flyers,OF,harimo000isa,Isao Harimoto,129,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,busuji000sho,Shoichi Busujima,121,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,sakaza000kaz,Kazuhiko Sakazaki,84,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,hagiwa000chi,Chiaki Hagiwara,83,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,miyaha000hid,Hideaki Miyahara,62,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,kurosa000tak,Takeshi Kurosaki,39,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,haku--000jin,In-cheon Paek,26,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,osugi-000kat,Katsuo Osugi,9,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,yamaza002mas,Masayuki Yamazaki,9,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,suzuki000nor,Norio Suzuki,4,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,yoshid000sad,Sadataka Yoshida,4,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,dobash000mas,Masayuki Dobashi,2,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,ishika000yoz,Yozo Ishikawa,2,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,ikezaw000yos,Yoshiyuki Ikezawa,1,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,iwashi000koi,Koichi Iwashita,1,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,misawa000kes,Kesaharu Misawa,1,NA,NA,NA,NA,NA,NA,NA
1965,Toei Flyers,OF,ozaki-000yuk,Yukio Ozaki,1,NA,NA,NA,NA,NA,NA,NA
