Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1966,Chunichi Dragons,P,bando-000eij,Eiji Bando,60,NA,NA,NA,NA,NA,NA,NA
1966,Chunichi Dragons,P,ogawa-000ken,Kentaro Ogawa,45,NA,NA,NA,NA,NA,NA,NA
1966,Chunichi Dragons,P,sato--000kim,Kimihiro Sato,42,NA,NA,NA,NA,NA,NA,NA
1966,Chunichi Dragons,P,kawamu000yas,Yasuhiko Kawamura,39,NA,NA,NA,NA,NA,NA,NA
1966,Chunichi Dragons,P,mizuta000his,Hisanobu Mizutani,38,NA,NA,NA,NA,NA,NA,NA
1966,Chunichi Dragons,P,yamana000tat,Tatsumi Yamanaka,34,NA,NA,NA,NA,NA,NA,NA
1966,Chunichi Dragons,P,kondo-001mit,Mitsuro Kondo,29,NA,NA,NA,NA,NA,NA,NA
1966,Chunichi Dragons,P,kitaka000fuj,Fujio Kitakado,22,NA,NA,NA,NA,NA,NA,NA
1966,Chunichi Dragons,P,kadook000nob,Nobuyuki Kadooka,14,NA,NA,NA,NA,NA,NA,NA
1966,Chunichi Dragons,P,chihar000yoz,Yozaburo Chihara,8,NA,NA,NA,NA,NA,NA,NA
1966,Chunichi Dragons,P,mizuta000mic,Michio Mizutani,7,NA,NA,NA,NA,NA,NA,NA
1966,Chunichi Dragons,P,makita000mas,Masahiko Makita,4,NA,NA,NA,NA,NA,NA,NA
1966,Chunichi Dragons,P,takaok000eij,Eiji Takaoka,3,NA,NA,NA,NA,NA,NA,NA
1966,Chunichi Dragons,P,matsum001shi,Shinobu Matsumoto,1,NA,NA,NA,NA,NA,NA,NA
1966,Chunichi Dragons,P,toyona000ryu,Takamori Toyonaga,1,NA,NA,NA,NA,NA,NA,NA
